Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-8.5,0.2,-4.4,9.6
0.010,-8.9,0.1,-4.5,10.0
0.020,-8.9,0.1,-4.5,10.0
0.030,-8.9,0.1,-4.5,10.0
0.040,-8.9,0.1,-4.5,10.0
0.050,-8.8,0.1,-4.5,9.9
0.060,-8.8,0.1,-4.5,9.9
0.070,-8.6,0.0,-4.6,9.7
0.080,-8.6,0.0,-4.6,9.7
0.090,-8.6,0.0,-4.6,9.7
0.100,-8.6,0.0,-4.6,9.7
0.110,-8.6,0.0,-4.6,9.7
0.120,-8.8,0.0,-4.4,9.8
0.130,-8.8,0.0,-4.4,9.8
0.140,-8.8,0.0,-4.4,9.8
0.150,-8.8,0.0,-4.4,9.8
0.160,-8.8,0.2,-4.5,9.8
0.170,-8.8,0.2,-4.5,9.8
0.180,-8.8,0.2,-4.5,9.8
0.190,-8.8,0.2,-4.5,9.8
0.200,-8.8,0.2,-4.5,9.8
0.210,-8.8,-0.1,-4.6,9.9
0.220,-8.8,-0.1,-4.6,9.9
0.230,-8.8,-0.1,-4.6,9.9
0.240,-8.8,-0.1,-4.6,9.9
0.250,-8.8,-0.1,-4.6,9.9
0.260,-8.8,0.1,-4.6,9.9
0.270,-8.8,0.1,-4.6,9.9
0.280,-8.8,0.1,-4.6,9.9
0.290,-8.8,0.1,-4.6,9.9
0.300,-8.8,0.1,-4.6,9.9
0.310,-8.7,0.0,-4.7,9.9
0.320,-8.7,0.0,-4.7,9.9
0.330,-8.7,0.0,-4.7,9.9
0.340,-8.7,0.0,-4.7,9.9
0.350,-8.7,0.1,-4.3,9.8
0.360,-8.7,0.1,-4.3,9.8
0.370,-8.7,0.1,-4.3,9.8
0.380,-8.7,0.1,-4.3,9.8
0.390,-8.7,0.1,-4.3,9.8
0.400,-8.8,0.1,-4.5,9.9
0.410,-8.8,0.1,-4.5,9.9
0.420,-8.8,0.1,-4.5,9.9
0.430,-8.8,0.1,-4.5,9.9
0.440,-8.8,0.1,-4.5,9.9
0.450,-8.7,0.0,-4.4,9.7
0.460,-8.7,0.0,-4.4,9.7
0.470,-8.9,0.1,-4.3,9.9
0.480,-8.9,0.1,-4.3,9.9
0.490,-8.9,0.1,-4.3,9.9
0.500,-8.9,0.1,-4.3,9.9
0.510,-8.8,0.2,-4.2,9.8
0.520,-8.8,0.2,-4.2,9.8
0.530,-8.8,0.2,-4.2,9.8
0.540,-8.8,0.2,-4.2,9.8
0.550,-8.9,0.2,-4.1,9.8
0.560,-8.9,0.2,-4.1,9.8
0.570,-8.9,0.2,-4.1,9.8
0.580,-8.9,0.2,-4.1,9.8
0.590,-9.1,0.0,-4.4,10.1
0.600,-9.1,0.0,-4.4,10.1
0.610,-9.1,0.0,-4.4,10.1
0.620,-9.1,0.0,-4.4,10.1
0.630,-9.0,0.4,-4.0,9.8
0.640,-9.0,0.4,-4.0,9.8
0.650,-9.0,0.4,-4.0,9.8
0.660,-9.0,0.4,-4.0,9.8
0.670,-9.0,0.4,-4.0,9.8
0.680,-9.1,0.7,-3.9,10.0
0.690,-9.1,0.7,-3.9,10.0
0.700,-9.1,0.7,-3.9,10.0
0.710,-9.1,0.7,-3.9,10.0
0.720,-9.1,0.7,-3.9,10.0
0.730,-9.2,0.4,-3.9,10.0
0.740,-9.2,0.4,-3.9,10.0
0.750,-9.2,0.4,-3.9,10.0
0.760,-9.0,0.4,-4.1,9.9
0.770,-9.0,0.4,-4.1,9.9
0.780,-9.0,0.4,-4.1,9.9
0.790,-9.3,0.5,-4.0,10.1
0.800,-9.3,0.5,-4.0,10.1
0.810,-9.3,0.5,-4.0,10.1
0.820,-9.3,0.5,-4.0,10.1
0.830,-9.3,0.5,-4.0,10.1
0.840,-9.0,0.1,-3.9,9.8
0.850,-9.0,0.1,-3.9,9.8
0.860,-9.0,0.1,-3.9,9.8
0.870,-9.0,0.1,-3.9,9.8
0.880,-9.0,0.1,-3.9,9.8
0.890,-8.9,0.2,-4.0,9.8
0.900,-8.9,0.2,-4.0,9.8
0.910,-8.9,0.2,-4.0,9.8
0.920,-8.9,0.2,-4.0,9.8
0.930,-8.9,-0.1,-4.1,9.8
0.940,-8.9,-0.1,-4.1,9.8
0.950,-8.9,-0.1,-4.1,9.8
0.960,-8.9,-0.1,-4.1,9.8
0.970,-8.7,0.1,-4.4,9.8
0.980,-8.7,0.1,-4.4,9.8
0.990,-8.7,0.1,-4.4,9.8
1.000,-8.1,-0.3,-4.5,9.3
1.010,-8.1,-0.3,-4.5,9.3
1.020,-8.1,-0.3,-4.5,9.3
1.030,-8.1,-0.3,-4.5,9.3
1.040,-8.1,-0.3,-4.5,9.3
1.050,-6.5,-0.7,-4.0,7.7
1.060,-6.5,-0.7,-4.0,7.7
1.070,-6.5,-0.7,-4.0,7.7
1.080,-6.5,-0.7,-4.0,7.7
1.090,-6.5,-0.7,-4.0,7.7
1.100,-9.9,-0.9,-4.3,10.9
1.110,-9.9,-0.9,-4.3,10.9
1.120,-9.9,-0.9,-4.3,10.9
1.130,-9.9,-0.9,-4.3,10.9
1.140,-11.2,1.0,-3.9,11.9
1.150,-11.2,1.0,-3.9,11.9
1.160,-11.2,1.0,-3.9,11.9
1.170,-11.2,1.0,-3.9,11.9
1.180,-11.2,1.0,-3.9,11.9
1.190,-8.9,-0.9,-3.9,9.7
1.200,-8.9,-0.9,-3.9,9.7
1.210,-8.9,-0.9,-3.9,9.7
