Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.7,0.3,-1.7,9.9
0.010,-9.6,0.2,-1.7,9.7
0.020,-9.6,0.2,-1.7,9.7
0.030,-9.6,0.2,-1.7,9.7
0.040,-9.6,0.2,-1.7,9.7
0.050,-9.6,0.2,-1.7,9.7
0.060,-10.0,0.2,-1.6,10.1
0.070,-10.0,0.2,-1.6,10.1
0.080,-10.0,0.2,-1.6,10.1
0.090,-10.0,0.2,-1.6,10.1
0.100,-10.0,0.2,-1.6,10.1
0.110,-9.8,0.2,-1.8,10.0
0.120,-9.8,0.2,-1.8,10.0
0.130,-9.8,0.2,-1.8,10.0
0.140,-9.8,0.2,-1.8,10.0
0.150,-9.6,-0.1,-2.2,9.8
0.160,-9.6,-0.1,-2.2,9.8
0.170,-9.6,-0.1,-2.2,9.8
0.180,-9.6,-0.1,-2.2,9.8
0.190,-9.6,-0.1,-2.2,9.8
0.200,-9.6,0.0,-2.2,9.8
0.210,-9.8,0.0,-2.4,10.1
0.220,-9.8,0.0,-2.4,10.1
0.230,-9.8,0.0,-2.4,10.1
0.240,-9.8,0.0,-2.4,10.1
0.250,-9.8,0.0,-2.4,10.1
0.260,-9.9,-0.1,-2.6,10.2
0.270,-9.9,-0.1,-2.6,10.2
0.280,-9.9,-0.1,-2.6,10.2
0.290,-9.9,-0.1,-2.6,10.2
0.300,-9.6,-0.3,-3.0,10.0
0.310,-9.6,-0.3,-3.0,10.0
0.320,-9.6,-0.3,-3.0,10.0
0.330,-9.6,-0.3,-3.0,10.0
0.340,-9.6,-0.3,-3.0,10.0
0.350,-9.6,-0.3,-3.0,10.0
0.360,-9.6,-0.3,-3.0,10.0
0.370,-9.6,-0.3,-3.0,10.0
0.380,-8.9,-0.3,-3.4,9.6
0.390,-8.9,-0.3,-3.4,9.6
0.400,-8.9,-0.3,-3.4,9.6
0.410,-8.9,-0.3,-3.4,9.6
0.420,-8.9,-0.3,-3.4,9.6
0.430,-9.5,0.2,-3.0,10.0
0.440,-9.5,0.2,-3.0,10.0
0.450,-9.5,0.2,-3.0,10.0
0.460,-9.5,0.2,-3.0,10.0
0.470,-9.5,0.2,-3.0,10.0
0.480,-12.2,-0.2,-2.0,12.3
0.490,-12.2,-0.2,-2.0,12.3
0.500,-12.2,-0.2,-2.0,12.3
0.510,-12.2,-0.2,-2.0,12.3
0.520,-12.2,-0.2,-2.0,12.3
0.530,-8.8,-0.1,-2.2,9.0
0.540,-8.8,-0.1,-2.2,9.0
0.550,-8.8,-0.1,-2.2,9.0
0.560,-8.8,-0.1,-2.2,9.0
0.570,-9.4,0.1,-3.0,9.9
0.580,-9.4,0.1,-3.0,9.9
0.590,-9.4,0.1,-3.0,9.9
