Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.8,0.2,-1.4,9.9
0.010,-10.4,-0.1,-0.8,10.4
0.020,-10.4,-0.1,-0.8,10.4
0.030,-10.4,-0.1,-0.8,10.4
0.040,-10.4,-0.1,-0.8,10.4
0.050,-9.9,-0.1,-1.3,10.0
0.060,-9.9,-0.1,-1.3,10.0
0.070,-9.9,-0.1,-1.3,10.0
0.080,-9.9,-0.1,-1.3,10.0
0.090,-9.9,-0.1,-1.3,10.0
0.100,-9.8,-0.3,-1.4,9.9
0.110,-9.8,-0.3,-1.4,9.9
0.120,-9.8,-0.3,-1.4,9.9
0.130,-9.8,-0.3,-1.4,9.9
0.140,-9.8,-0.3,-1.4,9.9
0.150,-9.8,-0.1,-1.4,9.9
0.160,-9.8,-0.1,-1.4,9.9
0.170,-9.8,-0.1,-1.4,9.9
0.180,-9.8,-0.1,-1.4,9.9
0.190,-9.8,-0.1,-1.4,9.9
0.200,-9.8,-0.1,-1.3,9.9
0.210,-9.8,-0.1,-1.3,9.9
0.220,-9.8,-0.1,-1.3,9.9
0.230,-9.9,-0.2,-1.3,10.0
0.240,-9.9,-0.2,-1.3,10.0
0.250,-9.9,-0.2,-1.3,10.0
0.260,-9.9,-0.2,-1.3,10.0
0.270,-10.0,-0.1,-1.2,10.0
0.280,-10.0,-0.1,-1.2,10.0
0.290,-10.0,-0.1,-1.2,10.0
0.300,-10.0,-0.1,-1.2,10.0
0.310,-9.9,-0.4,-1.3,10.0
0.320,-9.9,-0.4,-1.3,10.0
0.330,-9.9,-0.4,-1.3,10.0
0.340,-9.9,-0.4,-1.3,10.0
0.350,-9.9,-0.4,-1.3,10.0
0.360,-9.7,-0.6,-1.4,9.8
0.370,-9.7,-0.6,-1.4,9.8
0.380,-9.7,-0.6,-1.4,9.8
0.390,-9.7,-0.6,-1.4,9.8
0.400,-9.7,-0.6,-1.4,9.8
0.410,-9.5,0.0,-1.3,9.5
0.420,-9.5,0.0,-1.3,9.5
0.430,-9.5,0.0,-1.3,9.5
0.440,-9.5,0.0,-1.3,9.5
0.450,-9.8,-0.1,-1.5,10.0
0.460,-9.8,-0.1,-1.5,10.0
0.470,-9.8,-0.1,-1.5,10.0
0.480,-9.8,-0.1,-1.5,10.0
0.490,-9.8,-0.1,-1.5,10.0
0.500,-9.8,-0.1,-1.4,9.9
0.510,-9.8,-0.1,-1.4,9.9
0.520,-9.8,-0.1,-1.4,9.9
0.530,-9.8,-0.1,-1.4,9.9
0.540,-9.9,-0.1,-1.3,10.0
0.550,-9.9,-0.1,-1.3,10.0
0.560,-9.9,-0.1,-1.3,10.0
0.570,-9.9,-0.1,-1.3,10.0
0.580,-9.9,-0.2,-1.1,10.0
0.590,-9.9,-0.2,-1.1,10.0
0.600,-9.9,-0.2,-1.1,10.0
0.610,-9.9,-0.2,-1.1,10.0
0.620,-9.9,-0.2,-1.1,10.0
0.630,-9.9,-0.1,-1.2,10.0
0.640,-9.9,-0.1,-1.2,10.0
0.650,-9.9,-0.1,-1.2,10.0
0.660,-9.9,-0.1,-1.2,10.0
0.670,-9.9,-0.1,-1.3,10.0
0.680,-9.9,-0.1,-1.3,10.0
0.690,-9.9,-0.1,-1.3,10.0
0.700,-9.9,-0.1,-1.3,10.0
0.710,-9.9,-0.1,-1.3,10.0
0.720,-9.8,-0.1,-1.3,9.9
0.730,-9.8,-0.1,-1.3,9.9
0.740,-9.8,-0.1,-1.3,9.9
0.750,-9.8,-0.1,-1.3,9.9
0.760,-9.8,-0.1,-1.3,9.9
0.770,-9.8,-0.1,-1.3,9.9
0.780,-9.8,-0.1,-1.3,9.9
0.790,-9.9,-0.2,-1.2,10.0
0.800,-9.9,-0.2,-1.2,10.0
0.810,-9.9,-0.2,-1.2,10.0
0.820,-9.9,-0.2,-1.2,10.0
0.830,-9.8,-0.1,-1.3,9.9
0.840,-9.8,-0.1,-1.3,9.9
0.850,-9.8,-0.1,-1.3,9.9
0.860,-9.8,-0.1,-1.3,9.9
0.870,-9.8,-0.1,-1.3,9.9
0.880,-9.8,-0.2,-1.3,9.9
0.890,-9.8,-0.2,-1.3,9.9
0.900,-9.8,-0.2,-1.3,9.9
0.910,-9.8,-0.2,-1.3,9.9
0.920,-9.8,-0.2,-1.3,9.9
0.930,-9.8,-0.2,-1.3,9.9
0.940,-9.8,-0.2,-1.3,9.9
0.950,-9.8,-0.2,-1.3,9.9
0.960,-9.8,-0.2,-1.3,9.9
0.970,-9.9,-0.6,-1.2,10.0
0.980,-9.9,-0.6,-1.2,10.0
0.990,-9.9,-0.6,-1.2,10.0
1.000,-9.9,-0.6,-1.2,10.0
1.010,-9.9,-0.6,-1.2,10.0
1.020,-9.9,-0.8,-1.2,10.0
1.030,-9.9,-0.8,-1.2,10.0
1.040,-9.9,-1.0,-1.5,10.0
1.050,-9.9,-1.0,-1.5,10.0
1.060,-9.9,-1.0,-1.5,10.0
1.070,-9.9,-1.0,-1.5,10.0
1.080,-9.9,-1.0,-1.5,10.0
1.090,-9.9,-1.0,-1.4,10.0
1.100,-9.9,-1.0,-1.4,10.0
1.110,-9.9,-1.0,-1.4,10.0
1.120,-9.9,-1.0,-1.4,10.0
1.130,-9.9,-1.0,-1.4,10.0
