Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.3,0.2,-2.8,9.7
0.010,-9.5,0.1,-2.8,9.9
0.020,-9.5,0.1,-2.8,9.9
0.030,-9.5,0.1,-2.8,9.9
0.040,-9.5,0.1,-2.8,9.9
0.050,-9.5,0.1,-2.8,9.9
0.060,-9.4,0.1,-3.0,9.8
0.070,-9.4,0.1,-3.0,9.8
0.080,-9.4,0.1,-3.0,9.8
0.090,-9.4,0.1,-3.0,9.8
0.100,-9.4,0.1,-3.0,9.8
0.110,-9.3,0.2,-3.1,9.8
0.120,-9.3,0.2,-3.1,9.8
0.130,-9.3,0.2,-2.9,9.7
0.140,-9.3,0.2,-2.9,9.7
0.150,-9.3,0.2,-2.9,9.7
0.160,-9.3,0.2,-2.9,9.7
0.170,-9.3,0.2,-2.9,9.7
0.180,-9.3,0.1,-3.1,9.8
0.190,-9.3,0.1,-3.1,9.8
0.200,-9.3,0.1,-3.1,9.8
0.210,-9.3,0.1,-3.1,9.8
0.220,-9.5,0.0,-3.1,10.0
0.230,-9.5,0.0,-3.1,10.0
0.240,-9.5,0.0,-3.1,10.0
0.250,-9.5,0.0,-3.1,10.0
0.260,-9.5,-0.2,-3.1,10.0
0.270,-9.5,-0.2,-3.1,10.0
0.280,-9.5,-0.2,-3.1,10.0
0.290,-9.5,-0.2,-3.1,10.0
0.300,-9.5,-0.2,-3.1,10.0
0.310,-9.6,0.1,-3.2,10.2
0.320,-9.6,0.1,-3.2,10.2
0.330,-9.6,0.1,-3.2,10.2
0.340,-9.6,0.1,-3.2,10.2
0.350,-9.6,0.1,-3.2,10.2
0.360,-9.4,-0.1,-2.9,9.8
0.370,-9.4,-0.1,-2.9,9.8
0.380,-9.4,-0.1,-2.9,9.8
0.390,-9.4,-0.1,-2.9,9.8
0.400,-9.4,-0.1,-2.9,9.8
0.410,-9.4,-0.2,-3.2,10.0
0.420,-9.4,-0.2,-3.2,10.0
0.430,-9.4,-0.2,-3.2,10.0
0.440,-9.4,-0.2,-3.2,10.0
0.450,-9.4,-0.2,-3.2,10.0
