Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.6,-0.1,-2.6,9.9
0.010,-9.6,0.0,-2.6,9.9
0.020,-9.6,0.0,-2.6,9.9
0.030,-9.6,-0.1,-2.5,9.9
0.040,-9.6,-0.1,-2.5,9.9
0.050,-9.6,-0.1,-2.5,9.9
0.060,-9.6,-0.1,-2.5,9.9
0.070,-9.6,-0.1,-2.5,9.9
0.080,-9.6,-0.1,-2.5,9.9
0.090,-9.6,-0.1,-2.5,9.9
0.100,-9.6,-0.1,-2.5,9.9
0.110,-9.7,-0.1,-2.6,10.0
0.120,-9.7,-0.1,-2.6,10.0
0.130,-9.7,-0.1,-2.6,10.0
0.140,-9.6,-0.1,-2.6,10.0
0.150,-9.6,-0.1,-2.6,10.0
0.160,-9.6,-0.1,-2.6,10.0
0.170,-9.6,-0.1,-2.6,10.0
0.180,-9.6,-0.1,-2.6,10.0
0.190,-9.6,-0.2,-2.5,9.9
0.200,-9.6,-0.2,-2.5,9.9
0.210,-9.6,-0.2,-2.5,9.9
0.220,-9.6,-0.2,-2.5,9.9
0.230,-9.7,-0.1,-2.4,10.0
0.240,-9.7,-0.1,-2.4,10.0
0.250,-9.7,-0.1,-2.4,10.0
0.260,-9.7,-0.1,-2.4,10.0
0.270,-9.7,-0.1,-2.4,10.0
0.280,-9.6,-0.1,-2.5,9.9
0.290,-9.6,-0.1,-2.5,9.9
0.300,-9.6,-0.1,-2.5,9.9
0.310,-9.6,-0.1,-2.5,9.9
0.320,-9.6,-0.1,-2.6,9.9
0.330,-9.6,-0.1,-2.6,9.9
0.340,-9.6,-0.1,-2.6,9.9
0.350,-9.6,-0.1,-2.6,9.9
0.360,-9.6,-0.1,-2.6,9.9
0.370,-9.8,-0.1,-2.4,10.1
0.380,-9.8,-0.1,-2.4,10.1
0.390,-9.8,-0.1,-2.4,10.1
0.400,-9.8,-0.1,-2.4,10.1
0.410,-9.8,-0.1,-2.4,10.1
0.420,-9.8,4.5E-4,-2.6,10.1
0.430,-9.8,4.5E-4,-2.6,10.1
0.440,-9.8,4.5E-4,-2.6,10.1
0.450,-9.8,4.5E-4,-2.6,10.1
0.460,-9.6,0.0,-2.7,9.9
0.470,-9.6,0.0,-2.7,9.9
0.480,-9.6,0.0,-2.7,9.9
0.490,-9.6,0.0,-2.7,9.9
0.500,-9.6,0.0,-2.7,9.9
0.510,-9.4,-0.1,-2.8,9.8
0.520,-9.4,-0.1,-2.8,9.8
0.530,-9.4,-0.1,-2.8,9.8
0.540,-9.4,-0.1,-2.8,9.8
0.550,-9.3,-0.3,-2.9,9.7
0.560,-9.3,-0.3,-2.9,9.7
0.570,-9.3,-0.3,-2.9,9.7
0.580,-9.4,-0.3,-2.9,9.9
0.590,-9.4,-0.3,-2.9,9.9
0.600,-9.4,-0.3,-2.9,9.9
0.610,-9.9,-0.2,-2.7,10.2
0.620,-9.9,-0.2,-2.7,10.2
0.630,-9.9,-0.2,-2.7,10.2
0.640,-9.9,-0.2,-2.7,10.2
0.650,-9.9,-0.2,-2.7,10.2
0.660,-9.8,-0.1,-2.8,10.2
0.670,-9.8,-0.1,-2.8,10.2
0.680,-9.8,-0.1,-2.8,10.2
0.690,-9.8,-0.1,-2.8,10.2
0.700,-9.3,0.0,-3.0,9.8
0.710,-9.3,0.0,-3.0,9.8
0.720,-9.3,0.0,-3.0,9.8
0.730,-9.3,0.0,-3.0,9.8
0.740,-9.1,-0.3,-3.2,9.6
0.750,-9.1,-0.3,-3.2,9.6
0.760,-9.1,-0.3,-3.2,9.6
0.770,-9.1,-0.3,-3.2,9.6
0.780,-9.1,-0.3,-3.2,9.6
0.790,-9.1,-0.3,-3.2,9.7
0.800,-9.1,-0.3,-3.2,9.7
0.810,-9.6,0.0,-3.1,10.1
0.820,-9.6,0.0,-3.1,10.1
0.830,-9.6,0.0,-3.1,10.1
0.840,-9.6,0.0,-3.1,10.1
0.850,-9.6,0.0,-3.1,10.1
0.860,-9.5,0.1,-3.2,10.0
0.870,-9.5,0.1,-3.2,10.0
0.880,-9.5,0.1,-3.2,10.0
0.890,-9.5,0.1,-3.2,10.0
0.900,-9.2,-0.2,-3.6,9.9
0.910,-9.2,-0.2,-3.6,9.9
0.920,-9.2,-0.2,-3.6,9.9
0.930,-9.2,-0.2,-3.6,9.9
0.940,-9.2,-0.2,-3.6,9.9
0.950,-9.1,-0.3,-3.7,9.8
0.960,-9.1,-0.3,-3.7,9.8
0.970,-9.1,-0.3,-3.7,9.8
0.980,-9.1,-0.3,-3.7,9.8
0.990,-9.1,-0.3,-3.7,9.8
1.000,-8.8,-0.5,-3.7,9.6
1.010,-8.8,-0.5,-3.7,9.6
1.020,-8.8,-0.5,-3.7,9.6
1.030,-8.8,-0.5,-3.7,9.6
1.040,-7.5,-0.5,-3.8,8.5
1.050,-7.5,-0.5,-3.8,8.5
1.060,-7.5,-0.5,-3.8,8.5
1.070,-7.5,-0.5,-3.8,8.5
1.080,-7.5,-0.5,-3.8,8.5
1.090,-7.2,-1.7,-4.5,8.7
1.100,-7.2,-1.7,-4.5,8.7
1.110,-7.2,-1.7,-4.5,8.7
1.120,-9.3,-1.4,-5.2,10.8
1.130,-9.3,-1.4,-5.2,10.8
