Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.7,-0.8,-1.1,9.8
0.010,-9.8,-0.5,-1.2,9.9
0.020,-9.8,-0.5,-1.2,9.9
0.030,-9.8,-0.5,-1.2,9.9
0.040,-9.8,-0.5,-1.2,9.9
0.050,-9.9,-0.6,-1.3,10.0
0.060,-9.9,-0.6,-1.3,10.0
0.070,-9.9,-0.6,-1.3,10.0
0.080,-9.9,-0.6,-1.3,10.0
0.090,-9.9,-0.6,-1.3,10.0
0.100,-9.7,-0.8,-1.4,9.8
0.110,-9.7,-0.8,-1.4,9.8
0.120,-9.7,-0.8,-1.4,9.8
0.130,-9.7,-0.8,-1.4,9.8
0.140,-9.7,-0.6,-1.3,9.9
0.150,-9.8,-0.5,-1.3,9.9
0.160,-9.8,-0.5,-1.3,9.9
0.170,-9.8,-0.5,-1.3,9.9
0.180,-9.8,-0.5,-1.3,9.9
0.190,-9.8,-0.5,-1.3,9.9
0.200,-9.7,-0.7,-1.3,9.9
0.210,-9.7,-0.7,-1.3,9.9
0.220,-9.7,-0.7,-1.3,9.9
0.230,-9.7,-0.7,-1.3,9.9
0.240,-9.7,-0.7,-1.3,9.9
0.250,-9.8,-0.9,-1.3,9.9
0.260,-9.8,-0.9,-1.3,9.9
0.270,-9.8,-0.9,-1.3,9.9
0.280,-9.8,-0.9,-1.3,9.9
0.290,-9.7,-1.0,-1.2,9.8
0.300,-9.7,-1.0,-1.2,9.8
0.310,-9.7,-1.0,-1.2,9.8
0.320,-9.5,-0.9,-1.4,9.7
0.330,-9.5,-0.9,-1.4,9.7
0.340,-9.5,-0.9,-1.4,9.7
0.350,-10.4,0.0,-1.2,10.4
0.360,-10.4,0.0,-1.2,10.4
0.370,-10.4,0.0,-1.2,10.4
0.380,-9.7,-0.7,-1.2,9.8
0.390,-9.7,-0.7,-1.2,9.8
0.400,-9.7,-0.7,-1.2,9.8
0.410,-9.7,-0.7,-1.2,9.8
0.420,-9.7,-0.7,-1.2,9.8
0.430,-9.9,-0.6,-1.3,10.0
0.440,-9.9,-0.6,-1.3,10.0
0.450,-9.9,-0.6,-1.3,10.0
0.460,-9.9,-0.6,-1.3,10.0
0.470,-9.9,-0.6,-1.3,10.0
0.480,-9.8,-0.5,-1.3,9.9
0.490,-9.8,-0.5,-1.3,9.9
0.500,-9.8,-0.5,-1.3,9.9
0.510,-9.8,-0.5,-1.3,9.9
0.520,-9.8,-0.5,-1.3,9.9
0.530,-9.8,-0.5,-1.3,9.9
0.540,-9.8,-0.5,-1.3,9.9
0.550,-9.8,-0.5,-1.3,9.9
0.560,-9.8,-0.5,-1.3,9.9
0.570,-9.8,-0.4,-1.3,9.9
0.580,-9.9,-0.4,-1.2,10.0
0.590,-9.9,-0.4,-1.2,10.0
0.600,-9.9,-0.4,-1.2,10.0
0.610,-9.9,-0.4,-1.2,10.0
0.620,-9.9,-0.4,-1.2,10.0
0.630,-9.8,-0.6,-1.3,9.9
0.640,-9.8,-0.6,-1.3,9.9
0.650,-9.8,-0.6,-1.3,9.9
0.660,-9.8,-0.6,-1.3,9.9
0.670,-9.8,-0.6,-1.3,9.9
0.680,-9.8,-0.6,-1.3,9.9
0.690,-9.8,-0.6,-1.3,9.9
0.700,-9.8,-0.6,-1.3,9.9
0.710,-9.8,-0.6,-1.3,9.9
0.720,-9.8,-0.6,-1.3,9.9
0.730,-9.8,-0.7,-1.3,9.9
0.740,-9.8,-0.7,-1.3,9.9
0.750,-9.8,-0.7,-1.3,9.9
0.760,-9.8,-0.7,-1.3,9.9
0.770,-9.8,-0.7,-1.3,9.9
0.780,-9.9,-0.8,-1.3,10.1
0.790,-9.9,-0.8,-1.3,10.1
0.800,-9.8,-0.8,-1.4,9.9
0.810,-9.8,-0.8,-1.4,9.9
0.820,-9.8,-0.8,-1.4,9.9
0.830,-9.8,-0.8,-1.4,9.9
0.840,-9.9,-1.2,-1.5,10.1
0.850,-9.9,-1.2,-1.5,10.1
0.860,-9.9,-1.2,-1.5,10.1
0.870,-9.9,-1.2,-1.5,10.1
0.880,-9.9,-1.2,-1.5,10.1
0.890,-9.9,-1.1,-1.6,10.1
0.900,-9.7,-0.9,-1.7,9.9
0.910,-9.7,-0.9,-1.7,9.9
0.920,-9.7,-0.9,-1.7,9.9
0.930,-9.7,-0.9,-1.7,9.9
0.940,-9.7,-0.9,-1.7,9.9
0.950,-10.0,-1.2,-1.9,10.2
0.960,-10.0,-1.2,-1.9,10.2
0.970,-10.0,-1.2,-1.9,10.2
0.980,-10.0,-1.2,-1.9,10.2
0.990,-10.0,-1.2,-1.9,10.2
1.000,-8.8,-0.4,-2.5,9.2
1.010,-8.8,-0.4,-2.5,9.2
1.020,-8.8,-0.4,-2.5,9.2
1.030,-8.8,-0.4,-2.5,9.2
1.040,-8.8,-0.4,-2.5,9.2
1.050,-7.4,0.2,-2.0,7.6
1.060,-7.4,0.2,-2.0,7.6
1.070,-7.4,0.2,-2.0,7.6
1.080,-7.4,0.2,-2.0,7.6
1.090,-11.5,-0.8,-2.0,11.7
1.100,-11.5,-0.8,-2.0,11.7
1.110,-11.5,-0.8,-2.0,11.7
1.120,-11.5,-0.8,-2.0,11.7
1.130,-11.5,-0.8,-2.0,11.7
1.140,-9.0,0.2,-0.6,9.0
1.150,-9.0,0.2,-0.6,9.0
1.160,-9.0,0.2,-0.6,9.0
1.170,-9.0,0.2,-0.6,9.0
1.180,-9.0,0.2,-0.6,9.0
1.190,-9.0,0.7,-0.2,9.1
1.200,-9.0,0.7,-0.2,9.1
1.210,-9.0,0.7,-0.2,9.1
1.220,-9.0,0.7,-0.2,9.1
1.230,-8.0,0.7,-2.0,8.3
1.240,-8.0,0.7,-2.0,8.3
1.250,-8.0,0.7,-2.0,8.3
1.260,-6.3,-1.6,-3.2,7.3
1.270,-6.3,-1.6,-3.2,7.3
1.280,-6.3,-1.6,-3.2,7.3
1.290,-6.3,-1.6,-3.2,7.3
1.300,-6.3,-1.6,-3.2,7.3
1.310,-5.9,-3.0,-2.1,7.0
1.320,-5.9,-3.0,-2.1,7.0
1.330,-5.9,-1.4,-2.4,6.5
1.340,-5.9,-1.4,-2.4,6.5
1.350,-5.9,-1.4,-2.4,6.5
1.360,-5.9,-1.4,-2.4,6.5
1.370,-5.9,-1.4,-2.4,6.5
1.380,-6.7,-0.7,-2.0,7.0
1.390,-6.7,-0.7,-2.0,7.0
1.400,-6.7,-0.7,-2.0,7.0
1.410,-6.7,-0.7,-2.0,7.0
1.420,-6.7,-0.7,-2.0,7.0
1.430,-5.9,-1.1,-2.9,6.6
1.440,-5.9,-1.1,-2.9,6.6
1.450,-8.2,-1.8,-2.3,8.7
1.460,-8.2,-1.8,-2.3,8.7
1.470,-8.2,-1.8,-2.3,8.7
1.480,-8.2,-1.8,-2.3,8.7
1.490,-8.2,-1.8,-2.3,8.7
1.500,-8.5,-0.2,-2.4,8.8
1.510,-8.5,-0.2,-2.4,8.8
1.520,-8.5,-0.2,-2.4,8.8
1.530,-8.1,0.8,-3.1,8.7
1.540,-8.1,0.8,-3.1,8.7
1.550,-8.1,0.8,-3.1,8.7
1.560,-8.1,0.8,-3.1,8.7
1.570,-8.1,0.8,-3.1,8.7
1.580,-8.5,0.3,-4.3,9.5
1.590,-8.5,0.3,-4.3,9.5
1.600,-8.5,0.3,-4.3,9.5
1.610,-8.5,0.3,-4.3,9.5
1.620,-8.5,0.3,-4.3,9.5
1.630,-9.6,2.0,-4.0,10.6
1.640,-9.6,2.0,-4.0,10.6
1.650,-9.6,2.0,-4.0,10.6
1.660,-9.6,2.0,-4.0,10.6
1.670,-9.6,2.0,-4.0,10.6
1.680,-11.3,1.2,-3.2,11.8
1.690,-11.3,1.2,-3.2,11.8
1.700,-11.3,1.2,-3.2,11.8
1.710,-11.3,1.2,-3.2,11.8
1.720,-11.3,1.2,-3.2,11.8
1.730,-13.8,1.4,-2.6,14.1
1.740,-13.8,1.4,-2.6,14.1
1.750,-13.8,1.4,-2.6,14.1
1.760,-13.8,1.4,-2.6,14.1
1.770,-13.8,1.4,-2.6,14.1
1.780,-13.4,0.2,-2.0,13.6
1.790,-13.4,0.2,-2.0,13.6
1.800,-13.4,0.2,-2.0,13.6
1.810,-13.4,-0.1,-1.3,13.5
1.820,-13.4,-0.1,-1.3,13.5
1.830,-13.4,-0.1,-1.3,13.5
1.840,-13.4,-0.1,-1.3,13.5
1.850,-13.4,-0.1,-1.3,13.5
1.860,-13.0,0.2,-0.6,13.0
1.870,-13.0,0.2,-0.6,13.0
1.880,-13.0,0.2,-0.6,13.0
1.890,-13.0,0.2,-0.6,13.0
1.900,-12.9,0.6,-1.6,13.0
1.910,-12.9,0.6,-1.6,13.0
1.920,-14.2,1.5,0.0,14.2
1.930,-14.2,1.5,0.0,14.2
1.940,-14.2,1.5,0.0,14.2
1.950,-14.2,1.5,0.0,14.2
1.960,-14.2,1.5,0.0,14.2
1.970,-9.5,-1.2,-1.0,9.7
1.980,-9.5,-1.2,-1.0,9.7
1.990,-9.5,-1.2,-1.0,9.7
2.000,-9.5,-1.2,-1.0,9.7
2.010,-9.5,-1.2,-1.0,9.7
2.020,-9.6,-1.1,-1.1,9.7
2.030,-9.6,-1.1,-1.1,9.7
2.040,-10.2,0.8,-1.5,10.4
2.050,-10.2,0.8,-1.5,10.4
2.060,-10.2,0.8,-1.5,10.4
2.070,-10.2,0.8,-1.5,10.4
2.080,-10.2,0.8,-1.5,10.4
2.090,-8.7,0.5,-2.3,9.0
2.100,-8.7,0.5,-2.3,9.0
2.110,-8.7,0.5,-2.3,9.0
2.120,-8.7,0.5,-2.3,9.0
2.130,-10.0,1.0,-1.2,10.1
2.140,-10.0,1.0,-1.2,10.1
2.150,-10.0,1.0,-1.2,10.1
2.160,-10.0,1.0,-1.2,10.1
2.170,-10.0,1.0,-1.2,10.1
2.180,-10.4,1.8,-1.6,10.6
2.190,-10.4,1.8,-1.6,10.6
2.200,-10.4,1.8,-1.6,10.6
2.210,-10.4,1.8,-1.6,10.6
2.220,-10.4,1.8,-1.6,10.6
2.230,-9.1,1.6,-1.9,9.5
