Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.8,0.1,-1.5,10.0
0.010,-9.9,0.2,-1.1,10.0
0.020,-9.9,0.2,-1.1,10.0
0.030,-9.9,0.2,-1.1,10.0
0.040,-9.9,0.2,-1.1,10.0
0.050,-9.9,0.2,-1.1,10.0
0.060,-9.9,0.2,-1.1,10.0
0.070,-9.9,0.2,-1.1,10.0
0.080,-9.9,0.2,-1.1,10.0
0.090,-9.9,0.2,-1.0,9.9
0.100,-9.9,0.2,-1.0,9.9
0.110,-9.9,0.2,-1.0,9.9
0.120,-9.9,0.2,-1.0,9.9
0.130,-9.9,0.2,-1.0,9.9
0.140,-9.9,0.2,-1.2,10.0
0.150,-9.9,0.2,-1.2,10.0
0.160,-9.9,0.2,-1.2,10.0
0.170,-9.9,0.2,-1.2,10.0
0.180,-9.7,0.1,-1.3,9.8
0.190,-9.7,0.1,-1.3,9.8
0.200,-9.7,0.1,-1.3,9.8
0.210,-9.7,0.1,-1.3,9.8
0.220,-9.7,0.1,-1.3,9.8
0.230,-9.8,0.2,-1.2,9.9
0.240,-9.8,0.2,-1.2,9.9
0.250,-9.8,0.2,-1.2,9.9
0.260,-9.8,0.2,-1.2,9.9
0.270,-9.8,0.2,-1.2,9.9
0.280,-10.2,0.2,-1.0,10.2
0.290,-10.2,0.2,-1.0,10.2
0.300,-10.2,0.2,-1.0,10.2
0.310,-10.2,0.2,-1.0,10.2
0.320,-10.2,0.2,-1.0,10.2
0.330,-10.2,0.2,-1.0,10.2
0.340,-9.3,0.5,-0.9,9.3
0.350,-9.3,0.5,-0.9,9.3
0.360,-9.3,0.5,-0.9,9.3
0.370,-10.0,0.0,-1.1,10.1
0.380,-10.0,0.0,-1.1,10.1
0.390,-10.0,0.0,-1.1,10.1
0.400,-10.0,0.0,-1.1,10.1
0.410,-9.9,0.2,-1.1,10.0
0.420,-9.9,0.2,-1.1,10.0
0.430,-9.9,0.2,-1.1,10.0
0.440,-9.9,0.2,-1.1,10.0
0.450,-9.8,0.1,-1.3,9.9
0.460,-9.8,0.1,-1.3,9.9
0.470,-9.8,0.1,-1.3,9.9
0.480,-9.8,0.1,-1.3,9.9
0.490,-9.8,0.1,-1.3,9.9
0.500,-9.8,0.1,-1.2,9.9
0.510,-9.8,0.1,-1.2,9.9
0.520,-9.8,0.1,-1.2,9.9
0.530,-9.8,0.1,-1.2,9.9
0.540,-9.8,0.1,-1.2,9.9
0.550,-9.9,0.1,-1.2,10.0
0.560,-9.9,0.1,-1.2,10.0
0.570,-9.9,0.1,-1.2,10.0
0.580,-9.9,0.1,-1.2,10.0
0.590,-9.9,0.1,-1.2,10.0
0.600,-9.9,0.1,-1.3,9.9
0.610,-9.9,0.1,-1.3,9.9
0.620,-9.9,0.1,-1.3,9.9
0.630,-9.9,0.1,-1.3,9.9
0.640,-9.9,0.1,-1.3,9.9
0.650,-9.9,0.1,-1.3,9.9
0.660,-9.9,0.1,-1.3,9.9
0.670,-9.9,0.1,-1.3,9.9
0.680,-9.9,0.2,-1.3,10.0
0.690,-9.9,0.2,-1.3,10.0
0.700,-9.9,0.2,-1.3,10.0
0.710,-9.9,0.2,-1.3,10.0
0.720,-9.9,0.2,-1.3,10.0
0.730,-9.9,0.2,-1.3,10.0
0.740,-9.9,0.2,-1.3,10.0
0.750,-9.9,0.2,-1.3,10.0
0.760,-9.9,0.2,-1.3,10.0
0.770,-9.9,0.2,-1.3,10.0
0.780,-9.9,0.2,-1.3,10.0
0.790,-9.9,0.2,-1.5,10.0
0.800,-9.9,0.2,-1.5,10.0
0.810,-9.9,0.2,-1.5,10.0
0.820,-9.9,0.2,-1.5,10.0
0.830,-10.2,0.3,-1.4,10.3
0.840,-10.2,0.3,-1.4,10.3
0.850,-10.2,0.3,-1.4,10.3
0.860,-10.2,0.3,-1.4,10.3
0.870,-10.2,0.3,-1.4,10.3
0.880,-10.2,0.5,-1.4,10.3
0.890,-10.2,0.5,-1.4,10.3
0.900,-10.2,0.5,-1.4,10.3
0.910,-10.2,0.5,-1.4,10.3
0.920,-10.2,0.5,-1.4,10.3
0.930,-9.8,0.1,-1.7,10.0
0.940,-9.8,0.1,-1.7,10.0
0.950,-9.8,0.1,-1.7,10.0
0.960,-9.8,0.1,-1.7,10.0
0.970,-9.8,0.1,-1.7,10.0
0.980,-8.9,0.1,-1.5,9.1
0.990,-8.9,0.1,-1.5,9.1
