Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-8.8,0.0,-3.7,9.5
0.010,-9.5,-0.3,-3.7,10.2
0.020,-9.5,-0.3,-3.7,10.2
0.030,-9.5,-0.3,-3.7,10.2
0.040,-9.5,-0.3,-3.7,10.2
0.050,-9.5,-0.3,-3.7,10.2
0.060,-8.7,0.2,-3.6,9.4
0.070,-8.7,0.2,-3.6,9.4
0.080,-8.7,0.2,-3.6,9.4
0.090,-8.7,0.2,-3.6,9.4
0.100,-8.7,0.2,-3.6,9.4
0.110,-9.4,-0.2,-3.7,10.1
0.120,-9.4,-0.2,-3.7,10.1
0.130,-9.4,-0.2,-3.7,10.1
0.140,-9.4,-0.2,-3.7,10.1
0.150,-9.1,0.0,-3.6,9.8
0.160,-9.1,0.0,-3.6,9.8
0.170,-9.1,0.0,-3.6,9.8
0.180,-9.1,0.0,-3.6,9.8
0.190,-9.1,0.0,-3.6,9.8
0.200,-9.1,0.0,-3.5,9.7
0.210,-9.1,0.0,-3.5,9.7
0.220,-9.1,0.0,-3.5,9.7
0.230,-9.1,0.0,-3.5,9.7
0.240,-8.8,-0.3,-3.4,9.5
0.250,-8.8,-0.3,-3.4,9.5
0.260,-8.8,-0.3,-3.4,9.5
0.270,-8.8,-0.3,-3.4,9.5
0.280,-9.3,-0.8,-3.1,9.8
0.290,-9.3,-0.8,-3.1,9.8
0.300,-9.3,-0.8,-3.1,9.8
0.310,-9.3,-0.8,-3.1,9.8
0.320,-10.5,1.8,-3.3,11.1
0.330,-10.5,1.8,-3.3,11.1
0.340,-10.5,1.8,-3.3,11.1
0.350,-10.5,1.8,-3.3,11.1
0.360,-10.5,1.8,-3.3,11.1
0.370,-9.2,-0.1,-3.2,9.7
0.380,-9.2,-0.1,-3.2,9.7
0.390,-9.2,-0.1,-3.2,9.7
0.400,-9.2,-0.1,-3.2,9.7
0.410,-9.2,0.2,-3.2,9.8
0.420,-9.2,0.2,-3.2,9.8
0.430,-9.2,0.2,-3.2,9.8
0.440,-9.2,0.2,-3.2,9.8
0.450,-9.4,0.3,-3.4,10.0
0.460,-9.4,0.3,-3.4,10.0
0.470,-9.4,0.3,-3.4,10.0
0.480,-9.4,0.3,-3.4,10.0
0.490,-9.4,0.3,-3.4,10.0
0.500,-9.3,0.2,-3.5,9.9
0.510,-9.3,0.2,-3.5,9.9
0.520,-9.0,0.3,-3.5,9.6
0.530,-9.0,0.3,-3.5,9.6
0.540,-9.0,0.3,-3.5,9.6
0.550,-9.0,0.3,-3.5,9.6
0.560,-9.0,0.3,-3.5,9.6
0.570,-9.0,0.4,-3.4,9.7
0.580,-9.0,0.4,-3.4,9.7
0.590,-9.0,0.4,-3.4,9.7
0.600,-9.0,0.4,-3.4,9.7
0.610,-9.1,0.4,-3.4,9.7
0.620,-9.1,0.4,-3.4,9.7
0.630,-9.3,0.3,-3.2,9.8
0.640,-9.3,0.3,-3.2,9.8
0.650,-9.3,0.3,-3.2,9.8
0.660,-9.3,0.3,-3.2,9.8
0.670,-9.3,0.3,-3.2,9.8
0.680,-9.3,0.2,-3.1,9.8
0.690,-9.3,0.2,-3.1,9.8
0.700,-9.3,0.2,-3.1,9.8
0.710,-9.3,0.2,-3.1,9.8
0.720,-9.8,0.1,-3.0,10.2
0.730,-9.8,0.1,-3.0,10.2
0.740,-9.8,0.1,-3.0,10.2
0.750,-9.8,0.1,-3.0,10.2
0.760,-9.6,0.1,-2.9,10.0
0.770,-9.6,0.1,-2.9,10.0
0.780,-9.6,0.1,-2.9,10.0
0.790,-9.7,0.1,-2.8,10.1
0.800,-9.7,0.1,-2.8,10.1
0.810,-9.7,0.1,-2.8,10.1
0.820,-9.7,0.1,-2.8,10.1
0.830,-9.7,0.1,-2.8,10.1
0.840,-9.4,0.7,-2.5,9.8
0.850,-9.4,0.7,-2.5,9.8
0.860,-9.4,0.7,-2.5,9.8
0.870,-9.4,0.7,-2.5,9.8
0.880,-9.4,0.7,-2.5,9.8
0.890,-9.2,0.6,-2.5,9.6
0.900,-9.2,0.6,-2.5,9.6
0.910,-9.2,0.6,-2.5,9.6
0.920,-9.2,0.6,-2.5,9.6
0.930,-9.6,0.7,-2.6,10.0
0.940,-9.6,0.7,-2.6,10.0
0.950,-9.6,0.7,-2.6,10.0
0.960,-9.6,0.7,-2.6,10.0
0.970,-9.6,0.7,-2.6,10.0
0.980,-9.8,0.9,-2.5,10.2
0.990,-9.8,0.9,-2.5,10.2
1.000,-9.7,0.6,-2.4,10.0
1.010,-9.7,0.6,-2.4,10.0
1.020,-9.7,0.6,-2.4,10.0
1.030,-9.3,0.8,-2.8,9.7
1.040,-9.3,0.8,-2.8,9.7
1.050,-9.3,0.8,-2.8,9.7
1.060,-9.3,0.8,-2.8,9.7
1.070,-9.3,0.8,-2.8,9.7
1.080,-8.6,1.1,-2.5,9.1
1.090,-8.6,1.1,-2.5,9.1
1.100,-8.6,1.1,-2.5,9.1
1.110,-8.6,1.1,-2.5,9.1
1.120,-8.6,1.1,-2.5,9.1
1.130,-8.0,1.7,-2.2,8.5
1.140,-8.0,1.7,-2.2,8.5
1.150,-8.0,1.7,-2.2,8.5
1.160,-8.0,1.7,-2.2,8.5
1.170,-6.7,1.5,-3.0,7.5
1.180,-6.7,1.5,-3.0,7.5
1.190,-6.7,1.5,-3.0,7.5
1.200,-6.7,1.5,-3.0,7.5
1.210,-6.7,1.5,-3.0,7.5
1.220,-6.7,0.1,-4.5,8.0
1.230,-6.7,0.1,-4.5,8.0
1.240,-6.7,0.1,-4.5,8.0
1.250,-6.7,0.1,-4.5,8.0
1.260,-6.7,0.1,-4.5,8.0
1.270,-10.1,-1.1,-4.0,11.0
1.280,-10.1,-1.1,-4.0,11.0
1.290,-10.1,-1.1,-4.0,11.0
1.300,-10.1,-1.1,-4.0,11.0
1.310,-10.1,-1.1,-4.0,11.0
1.320,-14.2,0.1,-1.9,14.3
1.330,-14.2,0.1,-1.9,14.3
1.340,-14.2,0.1,-1.9,14.3
1.350,-14.2,0.1,-1.9,14.3
1.360,-14.2,0.1,-1.9,14.3
1.370,-15.2,1.2,-2.2,15.4
1.380,-15.2,1.2,-2.2,15.4
1.390,-15.2,1.2,-2.2,15.4
1.400,-15.2,1.2,-2.2,15.4
1.410,-15.2,1.2,-2.2,15.4
1.420,-13.0,1.7,-2.8,13.4
1.430,-13.0,1.7,-2.8,13.4
1.440,-13.0,1.7,-2.8,13.4
1.450,-13.0,1.7,-2.8,13.4
1.460,-13.0,1.7,-2.8,13.4
1.470,-11.4,0.5,-2.3,11.6
1.480,-11.4,0.5,-2.3,11.6
1.490,-11.4,0.5,-2.3,11.6
1.500,-11.4,0.5,-2.3,11.6
1.510,-11.4,0.5,-2.3,11.6
1.520,-7.8,0.2,-1.9,8.1
1.530,-7.8,0.2,-1.9,8.1
1.540,-7.8,0.2,-1.9,8.1
1.550,-7.8,0.2,-1.9,8.1
1.560,-7.8,0.2,-1.9,8.1
1.570,-4.8,-0.8,-1.5,5.1
1.580,-4.8,-0.8,-1.5,5.1
1.590,-4.8,-0.8,-1.5,5.1
1.600,-4.8,-0.8,-1.5,5.1
1.610,-4.8,-0.8,-1.5,5.1
1.620,-3.9,-0.6,-1.5,4.3
1.630,-3.9,-0.6,-1.5,4.3
1.640,-3.9,-0.6,-1.5,4.3
1.650,-3.9,-0.6,-1.5,4.3
1.660,-3.9,-0.6,-1.5,4.3
1.670,-5.5,0.7,-3.8,6.8
1.680,-5.5,0.7,-3.8,6.8
1.690,-5.5,0.7,-3.8,6.8
1.700,-5.5,0.7,-3.8,6.8
1.710,-7.8,1.7,-4.1,8.9
1.720,-7.8,1.7,-4.1,8.9
1.730,-7.8,1.7,-4.1,8.9
1.740,-7.8,1.7,-4.1,8.9
1.750,-12.6,3.5,-3.5,13.5
1.760,-12.6,3.5,-3.5,13.5
1.770,-12.6,3.5,-3.5,13.5
1.780,-12.6,3.5,-3.5,13.5
1.790,-10.3,-2.2,-2.2,10.8
1.800,-10.3,-2.2,-2.2,10.8
