Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.8,-0.9,-0.2,9.9
0.010,-9.9,-1.0,-0.1,10.0
0.020,-9.9,-1.0,-0.1,10.0
0.030,-9.9,-1.0,-0.1,10.0
0.040,-9.9,-1.0,-0.1,10.0
0.050,-9.9,-1.0,-0.1,10.0
0.060,-9.9,-1.1,-0.1,10.0
0.070,-9.9,-1.1,-0.1,10.0
0.080,-9.9,-1.1,-0.1,10.0
0.090,-9.9,-1.1,-0.1,10.0
0.100,-9.7,-0.9,-0.2,9.7
0.110,-9.7,-0.9,-0.2,9.7
0.120,-9.7,-0.9,-0.2,9.7
0.130,-9.7,-0.9,-0.2,9.7
0.140,-9.8,-1.1,-0.1,9.9
0.150,-9.8,-1.1,-0.1,9.9
0.160,-9.8,-1.1,-0.1,9.9
0.170,-9.8,-1.1,-0.1,9.9
0.180,-9.8,-1.1,-0.1,9.9
0.190,-9.9,-0.9,-0.1,9.9
0.200,-9.9,-0.9,-0.1,9.9
0.210,-9.9,-0.9,-0.1,9.9
0.220,-9.9,-0.9,-0.1,9.9
0.230,-9.8,-0.9,-0.1,9.8
0.240,-9.8,-0.9,-0.1,9.8
0.250,-9.8,-0.9,-0.1,9.8
0.260,-9.8,-0.9,-0.1,9.8
0.270,-9.8,-0.9,-0.1,9.8
0.280,-9.9,-1.3,0.0,10.0
0.290,-9.9,-1.3,0.0,10.0
0.300,-9.9,-1.3,0.0,10.0
0.310,-9.9,-1.3,0.0,10.0
0.320,-9.9,-1.3,0.0,10.0
0.330,-9.9,-0.6,-0.2,9.9
0.340,-9.9,-0.6,-0.2,9.9
0.350,-9.9,-0.6,-0.2,9.9
0.360,-9.9,-0.6,-0.2,9.9
0.370,-9.9,-0.6,-0.2,9.9
0.380,-9.8,-1.0,0.0,9.9
0.390,-9.8,-1.0,0.0,9.9
0.400,-9.8,-1.0,0.0,9.9
0.410,-9.8,-1.0,0.0,9.9
0.420,-9.9,-1.0,-0.1,9.9
0.430,-9.9,-1.0,-0.1,9.9
0.440,-9.9,-1.0,-0.1,9.9
0.450,-9.9,-1.0,-0.1,9.9
0.460,-9.9,-1.0,-0.1,9.9
0.470,-9.8,-0.9,-0.1,9.9
0.480,-9.8,-0.9,-0.1,9.9
0.490,-9.8,-0.9,-0.1,9.9
0.500,-9.8,-0.9,-0.1,9.9
0.510,-9.9,-0.9,-0.1,9.9
0.520,-9.9,-1.0,0.0,9.9
0.530,-9.9,-1.0,0.0,9.9
0.540,-9.9,-1.0,0.0,9.9
0.550,-9.9,-1.0,0.0,9.9
0.560,-9.9,-1.0,0.0,9.9
0.570,-9.9,-0.9,0.0,10.0
0.580,-9.9,-0.9,0.0,10.0
0.590,-9.9,-0.9,0.0,10.0
0.600,-9.9,-0.9,0.0,10.0
0.610,-9.8,-1.0,-0.1,9.8
0.620,-9.8,-1.0,-0.1,9.8
0.630,-9.8,-1.0,-0.1,9.8
0.640,-9.8,-1.0,-0.1,9.8
0.650,-9.8,-1.0,-0.1,9.8
0.660,-9.8,-1.1,-0.2,9.9
0.670,-9.8,-1.1,-0.2,9.9
0.680,-9.8,-1.1,-0.2,9.9
0.690,-9.8,-1.1,-0.2,9.9
0.700,-9.8,-1.1,-0.2,9.9
0.710,-9.7,-1.5,-0.2,9.9
0.720,-9.7,-1.5,-0.2,9.9
0.730,-9.7,-1.5,-0.2,9.9
0.740,-9.7,-1.5,-0.2,9.9
0.750,-9.7,-1.5,-0.2,9.9
0.760,-9.8,-1.6,-0.4,9.9
0.770,-9.8,-1.6,-0.4,9.9
0.780,-9.8,-1.6,-0.4,9.9
0.790,-9.8,-1.6,-0.4,9.9
0.800,-9.6,-1.4,-0.7,9.7
0.810,-9.6,-1.4,-0.7,9.7
0.820,-9.6,-1.4,-0.7,9.7
0.830,-9.6,-1.4,-0.7,9.7
0.840,-9.6,-1.4,-0.7,9.7
0.850,-9.5,-1.5,-0.5,9.6
0.860,-9.5,-1.5,-0.5,9.6
0.870,-9.5,-1.5,-0.5,9.6
0.880,-9.5,-1.5,-0.5,9.6
0.890,-10.1,-1.7,-0.3,10.2
0.900,-10.1,-1.7,-0.3,10.2
0.910,-10.1,-1.7,-0.3,10.2
0.920,-10.1,-1.7,-0.3,10.2
0.930,-9.8,-2.5,-0.2,10.1
0.940,-9.8,-2.5,-0.2,10.1
0.950,-9.8,-2.5,-0.2,10.1
0.960,-9.8,-2.5,-0.2,10.1
0.970,-9.8,-2.5,-0.2,10.1
0.980,-9.4,-2.6,-0.1,9.8
0.990,-9.4,-2.6,-0.1,9.8
1.000,-9.1,-2.3,0.1,9.4
1.010,-9.1,-2.3,0.1,9.4
1.020,-9.1,-2.3,0.1,9.4
1.030,-9.1,-2.3,0.1,9.4
1.040,-9.5,-1.6,0.0,9.6
1.050,-9.5,-1.6,0.0,9.6
1.060,-9.5,-1.6,0.0,9.6
1.070,-9.5,-1.6,0.0,9.6
1.080,-9.8,-1.0,-0.4,9.8
1.090,-9.8,-1.0,-0.4,9.8
1.100,-9.8,-1.0,-0.4,9.8
1.110,-9.3,-0.3,-0.6,9.3
1.120,-9.3,-0.3,-0.6,9.3
1.130,-9.3,-0.3,-0.6,9.3
1.140,-9.3,-0.3,-0.6,9.3
1.150,-9.5,-0.7,-0.7,9.6
1.160,-9.5,-0.7,-0.7,9.6
1.170,-9.5,-0.7,-0.7,9.6
1.180,-9.5,-0.7,-0.7,9.6
1.190,-9.8,-0.4,-0.5,9.8
1.200,-9.8,-0.4,-0.5,9.8
1.210,-9.5,-1.3,-0.2,9.6
1.220,-9.5,-1.3,-0.2,9.6
1.230,-9.5,-1.3,-0.2,9.6
1.240,-9.5,-1.3,-0.2,9.6
1.250,-9.5,-1.3,-0.2,9.6
1.260,-9.8,-1.2,-0.1,9.9
1.270,-9.8,-1.2,-0.1,9.9
1.280,-9.8,-1.2,-0.1,9.9
1.290,-10.4,-0.1,-0.2,10.4
1.300,-10.4,-0.1,-0.2,10.4
1.310,-10.4,-0.1,-0.2,10.4
1.320,-10.4,-0.1,-0.2,10.4
