Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.9,-1.0,-1.2,10.1
0.010,-9.8,-1.3,-1.2,9.9
0.020,-9.8,-1.3,-1.2,9.9
0.030,-9.8,-1.3,-1.2,9.9
0.040,-9.8,-1.3,-1.2,9.9
0.050,-9.4,-1.0,-1.1,9.5
0.060,-9.4,-1.0,-1.1,9.5
0.070,-9.4,-1.0,-1.1,9.5
0.080,-9.4,-1.0,-1.1,9.5
0.090,-9.4,-1.0,-1.1,9.5
0.100,-10.1,-1.3,-1.2,10.2
0.110,-10.1,-1.3,-1.2,10.2
0.120,-10.1,-1.3,-1.2,10.2
0.130,-9.8,-1.1,-1.1,9.9
0.140,-9.8,-1.1,-1.1,9.9
0.150,-9.8,-1.1,-1.1,9.9
0.160,-9.8,-1.1,-1.1,9.9
0.170,-9.8,-1.1,-1.1,9.9
0.180,-9.7,-0.9,-1.1,9.8
0.190,-9.7,-0.9,-1.1,9.8
0.200,-9.7,-0.9,-1.1,9.8
0.210,-9.7,-0.9,-1.1,9.8
0.220,-9.7,-0.9,-1.1,9.8
0.230,-9.6,-1.4,-1.1,9.8
0.240,-9.6,-1.4,-1.1,9.8
0.250,-9.6,-1.4,-1.1,9.8
0.260,-9.6,-1.4,-1.1,9.8
0.270,-9.9,-1.0,-1.2,10.1
0.280,-9.9,-1.0,-1.2,10.1
0.290,-9.9,-1.0,-1.2,10.1
0.300,-9.9,-1.0,-1.2,10.1
0.310,-9.9,-1.0,-1.2,10.1
0.320,-9.7,-1.2,-1.1,9.9
0.330,-9.7,-1.2,-1.1,9.9
0.340,-9.7,-1.2,-1.1,9.9
0.350,-9.7,-1.0,-1.0,9.8
0.360,-9.7,-1.0,-1.0,9.8
0.370,-9.7,-1.0,-1.0,9.8
0.380,-9.7,-1.0,-1.0,9.8
0.390,-9.7,-1.0,-1.0,9.8
0.400,-10.0,-1.1,-1.0,10.1
0.410,-10.0,-1.1,-1.0,10.1
0.420,-10.0,-1.1,-1.0,10.1
0.430,-10.0,-1.1,-1.0,10.1
0.440,-9.8,-1.2,-1.0,9.9
0.450,-9.8,-1.2,-1.0,9.9
0.460,-9.8,-1.2,-1.0,9.9
0.470,-9.8,-1.2,-1.0,9.9
0.480,-9.8,-1.2,-1.0,9.9
0.490,-9.9,-1.2,-1.1,10.0
0.500,-9.9,-1.2,-1.1,10.0
0.510,-9.9,-1.2,-1.1,10.0
0.520,-9.9,-1.2,-1.1,10.0
0.530,-9.9,-1.2,-1.1,10.0
0.540,-10.0,-1.3,-1.2,10.2
0.550,-10.0,-1.3,-1.2,10.2
0.560,-10.0,-1.3,-1.2,10.2
0.570,-10.0,-1.3,-1.2,10.2
0.580,-10.0,-1.4,-1.4,10.2
0.590,-10.0,-1.4,-1.4,10.2
0.600,-10.0,-1.4,-1.4,10.2
0.610,-10.0,-1.4,-1.4,10.2
0.620,-10.0,-1.2,-1.6,10.2
0.630,-10.0,-1.2,-1.6,10.2
0.640,-10.0,-1.2,-1.6,10.2
0.650,-10.0,-1.2,-1.6,10.2
0.660,-10.0,-1.2,-1.6,10.2
0.670,-10.1,-0.8,-1.3,10.3
0.680,-10.1,-0.8,-1.3,10.3
0.690,-10.1,-0.8,-1.3,10.3
0.700,-10.1,-0.8,-1.3,10.3
0.710,-10.1,-0.8,-1.3,10.3
0.720,-10.0,-0.1,-1.7,10.2
0.730,-10.0,-0.1,-1.7,10.2
0.740,-10.0,-0.1,-1.7,10.2
0.750,-10.0,-0.1,-1.7,10.2
0.760,-8.8,0.2,-1.7,8.9
0.770,-8.8,0.2,-1.7,8.9
0.780,-8.8,0.2,-1.7,8.9
0.790,-8.8,0.2,-1.7,8.9
0.800,-8.8,0.2,-1.7,8.9
0.810,-8.5,0.5,-2.0,8.8
0.820,-8.5,0.5,-2.0,8.8
0.830,-8.5,0.5,-2.0,8.8
0.840,-8.4,0.2,-1.6,8.6
0.850,-8.4,0.2,-1.6,8.6
0.860,-8.4,0.2,-1.6,8.6
0.870,-9.9,1.1,-1.6,10.0
0.880,-9.9,1.1,-1.6,10.0
0.890,-9.9,1.1,-1.6,10.0
0.900,-9.9,1.1,-1.6,10.0
0.910,-9.9,1.1,-1.6,10.0
0.920,-9.3,0.0,-1.1,9.4
0.930,-9.3,0.0,-1.1,9.4
0.940,-9.3,0.0,-1.1,9.4
0.950,-9.3,0.0,-1.1,9.4
0.960,-9.3,0.0,-1.1,9.4
0.970,-9.3,-0.6,-2.5,9.6
0.980,-9.3,-0.6,-2.5,9.6
0.990,-9.3,-0.6,-2.5,9.6
1.000,-9.3,-0.6,-2.5,9.6
1.010,-9.3,-0.6,-2.5,9.6
1.020,-8.7,-4.3,-1.9,9.9
1.030,-8.7,-4.3,-1.9,9.9
1.040,-8.7,-4.3,-1.9,9.9
1.050,-8.7,-4.3,-1.9,9.9
1.060,-11.5,-2.3,-1.8,11.9
1.070,-11.5,-2.3,-1.8,11.9
1.080,-11.5,-2.3,-1.8,11.9
1.090,-11.5,-2.3,-1.8,11.9
1.100,-11.5,-2.3,-1.8,11.9
1.110,-11.5,-2.3,-1.8,11.9
1.120,-10.5,-2.3,-2.4,11.0
1.130,-10.5,-2.3,-2.4,11.0
1.140,-10.5,-2.3,-2.4,11.0
1.150,-10.5,-2.3,-2.4,11.0
1.160,-10.7,-2.7,-2.2,11.2
1.170,-10.7,-2.7,-2.2,11.2
1.180,-10.7,-2.7,-2.2,11.2
1.190,-10.7,-2.7,-2.2,11.2
1.200,-10.7,-2.7,-2.2,11.2
1.210,-9.6,-2.0,-2.0,10.0
1.220,-9.6,-2.0,-2.0,10.0
1.230,-9.6,-2.0,-2.0,10.0
1.240,-9.6,-2.0,-2.0,10.0
1.250,-9.9,-1.1,-1.0,10.0
1.260,-9.9,-1.1,-1.0,10.0
1.270,-9.9,-1.1,-1.0,10.0
1.280,-9.9,-1.1,-1.0,10.0
1.290,-9.9,-1.1,-1.0,10.0
1.300,-8.9,0.1,-2.0,9.1
1.310,-8.9,0.1,-2.0,9.1
1.320,-8.9,0.1,-2.0,9.1
1.330,-8.9,0.1,-2.0,9.1
1.340,-8.9,0.1,-2.0,9.1
1.350,-9.9,-0.2,-2.3,10.1
1.360,-9.9,-0.2,-2.3,10.1
1.370,-9.9,-0.2,-2.3,10.1
1.380,-9.9,-0.2,-2.3,10.1
1.390,-9.9,-0.2,-2.3,10.1
1.400,-14.1,-1.3,-3.4,14.5
1.410,-14.1,-1.3,-3.4,14.5
1.420,-14.1,-1.3,-3.4,14.5
1.430,-14.1,-1.3,-3.4,14.5
1.440,-7.6,-2.2,-1.4,8.0
1.450,-7.6,-2.2,-1.4,8.0
1.460,-7.6,-2.2,-1.4,8.0
1.470,-7.6,-2.2,-1.4,8.0
1.480,-7.6,-2.2,-1.4,8.0
1.490,-7.7,-0.8,-2.1,8.1
1.500,-7.7,-0.8,-2.1,8.1
1.510,-7.7,-0.8,-2.1,8.1
1.520,-7.7,-0.8,-2.1,8.1
1.530,-7.7,-0.8,-2.1,8.1
1.540,-8.0,0.5,-1.9,8.2
1.550,-8.0,0.5,-1.9,8.2
1.560,-8.0,0.5,-1.9,8.2
1.570,-8.9,0.3,-1.1,9.0
1.580,-8.9,0.3,-1.1,9.0
1.590,-8.9,0.3,-1.1,9.0
1.600,-8.9,0.3,-1.1,9.0
1.610,-10.2,0.5,-1.3,10.2
1.620,-10.2,0.5,-1.3,10.2
1.630,-11.3,0.4,-1.0,11.3
1.640,-11.3,0.4,-1.0,11.3
1.650,-11.3,0.4,-1.0,11.3
1.660,-11.3,0.4,-1.0,11.3
1.670,-9.0,-0.8,-1.8,9.2
1.680,-9.0,-0.8,-1.8,9.2
1.690,-9.0,-0.8,-1.8,9.2
1.700,-9.0,-0.8,-1.8,9.2
1.710,-9.0,-0.8,-1.8,9.2
