Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-8.9,-1.8,-3.8,9.9
0.010,-8.8,-1.8,-3.9,9.8
0.020,-8.8,-1.8,-3.9,9.8
0.030,-8.8,-1.8,-3.9,9.8
0.040,-8.8,-1.8,-3.9,9.8
0.050,-8.8,-1.7,-4.2,9.9
0.060,-8.8,-1.7,-4.2,9.9
0.070,-8.8,-1.7,-4.2,9.9
0.080,-8.8,-1.7,-4.2,9.9
0.090,-8.8,-1.7,-4.2,9.9
0.100,-8.9,-1.8,-4.1,9.9
0.110,-8.9,-1.8,-4.1,9.9
0.120,-8.9,-1.8,-4.1,9.9
0.130,-8.9,-1.7,-4.0,9.9
0.140,-8.9,-1.7,-4.0,9.9
0.150,-8.9,-1.7,-4.0,9.9
0.160,-8.9,-1.7,-4.0,9.9
0.170,-8.7,-1.8,-4.1,9.8
0.180,-8.7,-1.8,-4.1,9.8
0.190,-8.7,-1.8,-4.1,9.8
0.200,-8.7,-1.8,-4.1,9.8
0.210,-8.7,-1.8,-4.1,9.8
0.220,-8.9,-1.7,-3.9,9.9
0.230,-8.9,-1.7,-3.9,9.9
0.240,-8.9,-1.7,-3.9,9.9
0.250,-8.9,-1.7,-3.9,9.9
0.260,-8.9,-1.7,-4.0,9.9
0.270,-8.9,-1.7,-4.0,9.9
0.280,-8.9,-1.7,-4.0,9.9
0.290,-8.9,-1.7,-4.0,9.9
0.300,-8.9,-1.7,-4.0,9.9
0.310,-8.8,-1.7,-4.0,9.8
0.320,-8.8,-1.7,-4.0,9.8
0.330,-8.8,-1.7,-4.0,9.8
0.340,-8.8,-1.7,-4.0,9.8
0.350,-8.8,-1.7,-4.0,9.8
0.360,-9.2,-1.6,-3.7,10.0
0.370,-9.2,-1.6,-3.7,10.0
0.380,-9.2,-1.6,-3.7,10.0
0.390,-9.0,-1.6,-3.9,10.0
0.400,-9.0,-1.6,-3.9,10.0
0.410,-9.0,-1.6,-3.9,10.0
0.420,-9.0,-1.6,-3.9,10.0
0.430,-9.0,-1.6,-3.9,10.0
0.440,-9.0,-1.6,-3.9,10.0
0.450,-9.0,-1.6,-3.9,10.0
0.460,-9.0,-1.6,-3.9,10.0
0.470,-8.9,-1.7,-3.9,9.9
0.480,-8.9,-1.7,-3.9,9.9
0.490,-8.9,-1.7,-3.9,9.9
0.500,-8.9,-1.7,-3.9,9.9
0.510,-8.9,-1.6,-3.9,9.9
0.520,-8.9,-1.6,-3.9,9.9
0.530,-8.9,-1.6,-3.9,9.9
0.540,-8.9,-1.6,-3.9,9.9
0.550,-8.9,-1.6,-3.9,9.9
0.560,-8.9,-1.7,-3.8,9.9
0.570,-8.9,-1.7,-3.8,9.9
0.580,-8.9,-1.7,-3.8,9.9
0.590,-8.9,-1.7,-3.8,9.9
0.600,-9.0,-1.7,-3.9,9.9
0.610,-9.1,-1.7,-3.9,10.0
0.620,-9.1,-1.7,-3.9,10.0
0.630,-9.1,-1.7,-3.9,10.0
0.640,-9.1,-1.7,-3.9,10.0
0.650,-9.1,-1.7,-3.9,10.0
0.660,-9.0,-1.6,-3.8,9.9
0.670,-9.0,-1.6,-3.8,9.9
0.680,-9.0,-1.6,-3.8,9.9
0.690,-9.0,-1.6,-3.8,9.9
0.700,-8.9,-1.7,-3.9,9.9
0.710,-8.9,-1.7,-3.9,9.9
0.720,-8.9,-1.7,-3.9,9.9
0.730,-8.9,-1.7,-3.9,9.9
0.740,-8.9,-1.7,-3.8,9.9
0.750,-8.9,-1.7,-3.8,9.9
0.760,-8.9,-1.7,-3.8,9.9
0.770,-8.9,-1.7,-3.8,9.9
0.780,-8.9,-1.7,-3.8,9.9
0.790,-9.0,-1.6,-3.9,9.9
0.800,-9.0,-1.6,-3.9,9.9
0.810,-9.0,-1.6,-3.9,9.9
0.820,-9.0,-1.6,-3.9,9.9
0.830,-9.0,-1.7,-4.0,10.0
0.840,-9.0,-1.7,-4.0,10.0
0.850,-9.0,-1.7,-4.0,10.0
0.860,-9.0,-1.7,-4.0,10.0
0.870,-9.0,-1.7,-4.0,10.0
0.880,-8.9,-1.7,-3.9,9.8
0.890,-8.9,-1.7,-3.8,9.9
0.900,-8.9,-1.7,-3.8,9.9
0.910,-8.9,-1.7,-3.8,9.9
0.920,-8.9,-1.7,-3.8,9.9
0.930,-8.9,-1.7,-3.8,9.9
0.940,-8.9,-1.7,-3.9,9.9
0.950,-9.0,-1.6,-3.8,9.9
0.960,-9.0,-1.6,-3.8,9.9
0.970,-9.0,-1.6,-3.8,9.9
0.980,-9.0,-1.6,-3.8,9.9
0.990,-9.0,-1.6,-3.8,9.9
1.000,-9.0,-1.7,-4.0,10.0
1.010,-9.0,-1.7,-4.0,10.0
1.020,-9.0,-1.7,-4.0,10.0
1.030,-9.0,-1.7,-4.0,10.0
1.040,-9.0,-1.7,-3.9,9.9
1.050,-9.0,-1.7,-3.9,9.9
1.060,-9.0,-1.7,-3.9,9.9
1.070,-9.0,-1.7,-3.9,9.9
1.080,-9.0,-1.7,-3.9,9.9
1.090,-9.0,-1.7,-3.9,9.9
1.100,-9.0,-1.7,-3.9,9.9
1.110,-9.0,-1.7,-3.9,9.9
1.120,-9.0,-1.7,-3.9,9.9
1.130,-9.0,-1.7,-4.0,10.0
1.140,-9.0,-1.7,-4.0,10.0
1.150,-9.0,-1.7,-4.0,10.0
1.160,-9.0,-1.7,-4.0,10.0
1.170,-9.0,-1.7,-4.0,10.0
1.180,-9.0,-1.6,-3.9,9.9
1.190,-9.0,-1.6,-3.9,9.9
1.200,-9.0,-1.6,-3.9,9.9
1.210,-9.0,-1.6,-3.9,9.9
1.220,-9.0,-1.6,-3.9,9.9
1.230,-8.9,-1.7,-3.9,9.9
1.240,-8.9,-1.7,-3.9,9.9
1.250,-8.9,-1.7,-3.9,9.9
1.260,-9.0,-1.7,-3.9,9.9
1.270,-9.0,-1.7,-3.9,9.9
1.280,-9.0,-1.7,-3.9,9.9
1.290,-9.0,-1.7,-3.9,9.9
1.300,-9.0,-1.7,-3.9,9.9
1.310,-9.0,-1.7,-3.9,9.9
1.320,-9.0,-1.7,-3.9,9.9
1.330,-9.0,-1.7,-3.9,9.9
1.340,-9.0,-1.7,-3.8,9.9
1.350,-9.0,-1.7,-3.8,9.9
1.360,-9.0,-1.7,-3.8,9.9
1.370,-9.0,-1.7,-3.8,9.9
1.380,-9.0,-1.7,-3.8,9.9
1.390,-8.9,-1.7,-3.8,9.8
1.400,-8.9,-1.7,-3.8,9.8
1.410,-9.0,-1.7,-3.9,10.0
1.420,-9.0,-1.7,-3.9,10.0
1.430,-9.0,-1.7,-3.9,10.0
1.440,-9.0,-1.7,-3.9,10.0
1.450,-9.1,-1.5,-3.7,9.9
1.460,-9.1,-1.5,-3.7,9.9
1.470,-9.1,-1.5,-3.7,9.9
1.480,-9.1,-1.5,-3.7,9.9
1.490,-9.0,-1.7,-3.7,9.9
1.500,-9.0,-1.7,-3.7,9.9
1.510,-9.0,-1.7,-3.7,9.9
1.520,-9.0,-1.7,-3.7,9.9
1.530,-9.0,-1.7,-3.8,9.9
1.540,-9.0,-1.7,-3.8,9.9
1.550,-9.0,-1.7,-3.8,9.9
1.560,-8.9,-1.7,-3.7,9.8
1.570,-8.9,-1.7,-3.7,9.8
1.580,-8.9,-1.7,-3.7,9.8
1.590,-8.9,-1.7,-3.7,9.8
1.600,-8.9,-1.7,-3.7,9.8
1.610,-9.0,-1.7,-3.8,9.9
1.620,-9.0,-1.7,-3.8,9.9
1.630,-9.0,-1.6,-3.7,9.9
1.640,-9.0,-1.6,-3.7,9.9
1.650,-9.0,-1.6,-3.7,9.9
1.660,-9.0,-1.7,-3.8,9.9
1.670,-9.0,-1.7,-3.8,9.9
1.680,-9.0,-1.7,-3.8,9.9
1.690,-9.0,-1.7,-3.8,9.9
1.700,-9.0,-1.7,-3.8,9.9
1.710,-8.9,-1.5,-3.8,9.8
1.720,-8.9,-1.5,-3.8,9.8
1.730,-8.9,-1.5,-3.8,9.8
1.740,-8.9,-1.5,-3.8,9.8
1.750,-9.0,-1.5,-3.6,9.8
1.760,-9.0,-1.5,-3.6,9.8
1.770,-9.0,-1.5,-3.6,9.8
1.780,-9.0,-1.5,-3.6,9.8
1.790,-8.7,-1.9,-3.8,9.7
1.800,-8.7,-1.9,-3.8,9.7
1.810,-8.7,-1.9,-3.8,9.7
1.820,-8.7,-1.9,-3.8,9.7
1.830,-8.7,-1.9,-3.8,9.7
1.840,-8.8,-1.7,-3.9,9.7
1.850,-9.0,-1.2,-3.5,9.7
1.860,-9.0,-1.2,-3.5,9.7
1.870,-9.0,-1.2,-3.5,9.7
1.880,-9.0,-1.2,-3.5,9.7
1.890,-9.0,-1.2,-3.5,9.7
1.900,-9.2,-1.0,-3.2,9.8
1.910,-9.2,-1.0,-3.2,9.8
1.920,-9.2,-1.0,-3.2,9.8
1.930,-9.2,-1.0,-3.2,9.8
1.940,-9.2,-1.0,-3.2,9.8
1.950,-9.5,-1.3,-2.9,10.0
1.960,-9.5,-1.3,-2.9,10.0
1.970,-9.5,-1.3,-2.9,10.0
1.980,-9.5,-1.3,-2.9,10.0
1.990,-9.5,-1.3,-2.9,10.0
2.000,-9.3,-1.6,-2.9,9.9
2.010,-9.3,-1.6,-2.9,9.9
