Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-8.6,-2.0,-5.0,10.2
0.010,-8.1,-2.2,-5.1,9.8
0.020,-8.1,-2.2,-5.1,9.8
0.030,-8.1,-2.2,-5.1,9.8
0.040,-8.1,-2.2,-5.1,9.8
0.050,-8.2,-1.9,-5.0,9.8
0.060,-8.2,-1.9,-5.0,9.8
0.070,-8.2,-1.9,-5.0,9.8
0.080,-8.2,-1.9,-5.0,9.8
0.090,-8.2,-1.9,-5.0,9.8
0.100,-8.8,-2.0,-5.2,10.4
0.110,-8.8,-2.0,-5.2,10.4
0.120,-8.8,-2.0,-5.2,10.4
0.130,-8.8,-2.0,-5.2,10.4
0.140,-8.8,-2.0,-5.2,10.4
0.150,-8.2,-2.0,-4.9,9.7
0.160,-8.2,-2.0,-4.9,9.7
0.170,-8.2,-2.0,-4.9,9.7
0.180,-8.2,-2.0,-4.9,9.7
0.190,-8.2,-2.0,-4.9,9.7
0.200,-8.6,-1.8,-5.3,10.2
0.210,-8.6,-1.8,-5.3,10.2
0.220,-8.6,-1.8,-5.3,10.2
0.230,-8.6,-1.8,-5.3,10.2
0.240,-8.1,-1.7,-5.1,9.7
0.250,-8.1,-1.7,-5.1,9.7
0.260,-8.1,-1.7,-5.1,9.7
0.270,-8.1,-1.7,-5.1,9.7
0.280,-8.5,-1.6,-4.9,9.9
0.290,-8.5,-1.6,-4.9,9.9
0.300,-8.5,-1.6,-4.9,9.9
0.310,-8.5,-1.6,-4.9,9.9
0.320,-8.5,-1.6,-4.9,9.9
0.330,-8.2,-1.7,-4.9,9.8
0.340,-8.2,-1.7,-4.9,9.8
0.350,-8.3,-1.8,-4.8,9.8
0.360,-8.3,-1.8,-4.8,9.8
0.370,-8.3,-1.8,-4.8,9.8
0.380,-8.3,-1.8,-4.8,9.8
0.390,-8.3,-1.8,-4.8,9.8
0.400,-8.6,-1.6,-4.8,10.0
0.410,-8.6,-1.6,-4.8,10.0
0.420,-8.6,-1.6,-4.8,10.0
0.430,-8.8,-1.4,-4.5,10.0
0.440,-8.8,-1.4,-4.5,10.0
0.450,-8.8,-1.4,-4.5,10.0
0.460,-8.8,-1.4,-4.5,10.0
0.470,-8.8,-1.4,-4.5,10.0
0.480,-8.7,-1.3,-4.3,9.8
0.490,-8.7,-1.3,-4.3,9.8
0.500,-8.7,-1.3,-4.3,9.8
0.510,-8.7,-1.3,-4.3,9.8
0.520,-8.7,-1.6,-4.2,9.8
0.530,-8.7,-1.6,-4.2,9.8
0.540,-8.7,-1.6,-4.2,9.8
0.550,-8.7,-1.6,-4.2,9.8
0.560,-8.7,-1.6,-4.2,9.8
0.570,-8.5,-1.6,-4.1,9.6
