Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-10.1,0.1,-0.3,10.1
0.010,-9.9,0.2,-0.5,9.9
0.020,-9.9,0.2,-0.5,9.9
0.030,-9.9,0.2,-0.5,9.9
0.040,-9.9,0.2,-0.5,9.9
0.050,-9.8,0.1,-0.4,9.8
0.060,-9.8,0.1,-0.4,9.8
0.070,-9.8,0.1,-0.4,9.8
0.080,-9.8,0.1,-0.4,9.8
0.090,-9.8,0.1,-0.4,9.8
0.100,-10.0,0.1,-0.4,10.0
0.110,-10.0,0.1,-0.4,10.0
0.120,-10.0,0.1,-0.4,10.0
0.130,-10.0,0.1,-0.4,10.0
0.140,-10.0,0.1,-0.4,10.0
0.150,-9.8,0.1,-0.4,9.8
0.160,-9.8,0.1,-0.4,9.8
0.170,-9.8,0.1,-0.4,9.8
0.180,-9.8,0.1,-0.4,9.8
0.190,-9.8,0.1,-0.4,9.8
0.200,-9.9,0.2,-0.4,9.9
0.210,-9.9,0.2,-0.4,9.9
0.220,-9.9,0.2,-0.4,9.9
0.230,-9.9,0.2,-0.4,9.9
0.240,-9.9,0.2,-0.4,9.9
0.250,-9.9,0.0,-0.4,9.9
0.260,-9.9,0.0,-0.4,9.9
0.270,-9.9,0.0,-0.4,9.9
0.280,-9.9,0.0,-0.4,9.9
0.290,-9.9,0.0,-0.4,9.9
0.300,-9.9,0.2,-0.4,9.9
0.310,-9.9,0.2,-0.4,9.9
0.320,-9.9,0.2,-0.4,9.9
0.330,-9.9,0.2,-0.4,9.9
0.340,-9.9,0.2,-0.4,9.9
0.350,-9.8,0.1,-0.4,9.8
0.360,-9.8,0.1,-0.4,9.8
0.370,-9.8,0.1,-0.4,9.8
0.380,-9.8,0.1,-0.4,9.8
0.390,-9.8,0.1,-0.4,9.8
0.400,-9.9,0.1,-0.4,9.9
0.410,-9.9,0.1,-0.4,9.9
0.420,-9.9,0.1,-0.4,9.9
0.430,-9.9,0.1,-0.4,9.9
0.440,-9.9,0.1,-0.4,9.9
0.450,-9.9,0.1,-0.3,9.9
0.460,-9.9,0.1,-0.3,9.9
0.470,-9.9,0.1,-0.3,9.9
0.480,-9.9,0.1,-0.4,9.9
0.490,-9.9,0.1,-0.4,9.9
0.500,-9.9,0.1,-0.4,9.9
0.510,-9.9,0.1,-0.4,9.9
0.520,-9.9,0.1,-0.4,9.9
0.530,-9.9,0.1,-0.4,9.9
0.540,-9.9,0.1,-0.4,9.9
0.550,-9.9,0.1,-0.4,9.9
0.560,-9.9,0.1,-0.4,9.9
0.570,-9.9,0.1,-0.4,9.9
0.580,-9.9,0.1,-0.4,9.9
0.590,-9.9,0.1,-0.4,9.9
