Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0,-9.3,-2,-2.7,9.9
0.01,-9.4,-2.1,-2.7,10
0.02,-9.4,-2.1,-2.7,10
0.03,-9.4,-2.1,-2.7,10
0.04,-9.4,-2.1,-2.7,10
0.05,-9.6,-1.9,-2.8,10.2
0.06,-9.6,-1.9,-2.8,10.2
0.07,-9.6,-1.9,-2.8,10.2
0.08,-9.6,-1.9,-2.8,10.2
0.09,-9.2,-2,-2.7,9.8
0.1,-9.2,-2,-2.7,9.8
0.11,-9.2,-2,-2.7,9.8
0.12,-9.2,-2,-2.7,9.8
0.13,-9.2,-2,-2.7,9.8
0.14,-8.9,-2.3,-2.5,9.6
0.15,-8.9,-2.3,-2.5,9.6
0.16,-8.7,-2.1,-2.5,9.3
0.17,-8.7,-2.1,-2.5,9.3
0.18,-8.7,-2.1,-2.5,9.3
0.19,-8.7,-2.1,-2.5,9.3
0.2,-8.7,-2.1,-2.5,9.3
0.21,-9.6,-2.4,-2.3,10.2
0.22,-9.6,-2.4,-2.3,10.2
0.23,-9.6,-2.4,-2.3,10.2
0.24,-9.6,-2.4,-2.3,10.2
0.25,-9.6,-2.4,-2.3,10.2
0.26,-9.3,-0.5,-2.3,9.6
0.27,-9.3,-0.5,-2.3,9.6
0.28,-9.3,-0.5,-2.3,9.6
0.29,-9.3,-0.5,-2.3,9.6
0.3,-8.4,-2,-0.3,8.7
0.31,-8.4,-2,-0.3,8.7
0.32,-8.4,-2,-0.3,8.7
0.33,-8.4,-2,-0.3,8.7
0.34,-8.4,-2,-0.3,8.7
0.35,-13,-0.8,-0.7,13
0.36,-13,-0.8,-0.7,13
0.37,-13,-0.8,-0.7,13
0.38,-13,-0.8,-0.7,13
0.39,-13,-0.8,-0.7,13
0.4,-9.2,-1,-0.9,9.3
0.41,-9.2,-1,-0.9,9.3
0.42,-9.2,-1,-0.9,9.3
0.43,-9.2,-1,-0.9,9.3
0.44,-9.2,-1,-0.9,9.3
0.45,-10,-1.1,-0.6,10.1
0.46,-10,-1.1,-0.6,10.1
0.47,-10,-1.1,-0.6,10.1
0.48,-10,-1.1,-0.6,10.1
0.49,-10,-1.1,-0.6,10.1
0.5,-9.8,-1,-0.8,9.9
0.51,-9.8,-1,-0.8,9.9
0.52,-9.8,-1,-0.8,9.9
0.53,-9.8,-1,-0.8,9.9
0.54,-9.8,-1,-0.8,9.9
0.55,-9.8,-1,-0.7,9.9
0.56,-9.8,-1,-0.7,9.9
0.57,-9.8,-1,-0.7,9.9
0.58,-9.8,-1,-0.7,9.9
0.59,-9.8,-1,-0.7,9.9
0.6,-9.8,-1,-0.8,9.8
0.61,-9.8,-1,-0.8,9.8
0.62,-9.8,-1,-0.8,9.8
0.63,-9.8,-1,-0.9,9.9
0.64,-9.8,-1,-0.9,9.9
0.65,-9.8,-1,-0.9,9.9
0.66,-9.8,-1,-0.9,9.9
0.67,-9.8,-1,-0.9,9.9
0.68,-9.8,-1,-0.7,9.9
0.69,-9.8,-1,-0.7,9.9
0.7,-9.8,-1,-0.7,9.9
0.71,-9.8,-1,-0.7,9.9
0.72,-9.8,-1,-0.7,9.9
0.73,-9.8,-1,-0.7,9.8
0.74,-9.9,-1.1,-0.8,10
0.75,-9.9,-1.1,-0.8,10
0.76,-9.9,-1.1,-0.8,10
0.77,-9.9,-1.1,-0.8,10
0.78,-9.9,-1.1,-0.8,10
0.79,-9.8,-1.1,-0.7,9.9
0.8,-9.8,-1.1,-0.7,9.9
0.81,-9.8,-1.1,-0.7,9.9
0.82,-9.8,-1.1,-0.7,9.9
0.83,-9.8,-1.1,-0.7,9.9
0.84,-9.8,-1.1,-0.7,9.9
0.85,-9.8,-1.1,-0.7,9.9
0.86,-9.8,-1.1,-0.7,9.9
0.87,-9.8,-1.1,-0.7,9.9
0.88,-9.9,-1.1,-0.8,10
0.89,-9.9,-1.1,-0.8,10
0.9,-9.9,-1.1,-0.8,10
0.91,-9.9,-1.1,-0.8,10
0.92,-9.9,-1.1,-0.8,10
0.93,-9.9,-1.1,-0.8,10
0.94,-9.9,-1.1,-0.8,10
0.95,-9.9,-1.1,-0.8,10
0.96,-9.9,-1.1,-0.8,10
0.97,-9.9,-1.1,-0.8,10
0.98,-9.9,-1.1,-0.8,10
0.99,-9.9,-1.1,-0.8,10
1,-9.9,-1.1,-0.8,10
1.01,-9.9,-1.1,-0.8,10
1.02,-9.9,-1.1,-0.8,10
1.03,-9.9,-1,-1.1,10
1.04,-9.9,-1,-1.1,10
1.05,-9.9,-1,-1.1,10
1.06,-9.9,-1,-1.1,10
1.07,-9.9,-1,-1.1,10
1.08,-9.7,-1,-1.2,9.8
1.09,-9.7,-1,-1.2,9.8
1.1,-9.7,-1,-1.2,9.8
1.11,-9.7,-1,-1.2,9.8
1.12,-9.7,-1,-1.2,9.8
1.13,-9.6,-1.2,-1.2,9.8
1.14,-9.6,-1.2,-1.2,9.8
1.15,-9.6,-1.2,-1.2,9.8
1.16,-9.6,-1.2,-1.2,9.8
1.17,-9.6,-1.2,-1.2,9.8
1.18,-9.7,-1.3,-0.6,9.8
1.19,-9.7,-1.3,-0.6,9.8
1.2,-9.7,-1.3,-0.6,9.8
1.21,-9.7,-1.3,-0.6,9.8
1.22,-9.7,-1.3,-0.6,9.8
1.23,-9.1,-0.9,-1.1,9.2
1.24,-9.1,-0.9,-1.1,9.2
1.25,-9.1,-0.9,-1.1,9.2
1.26,-9.1,-0.9,-1.1,9.2
1.27,-9.1,-0.9,-1.1,9.2
1.28,-9.8,-0.6,-0.6,9.8
1.29,-9.8,-0.6,-0.6,9.8
1.3,-9.8,-0.6,-0.6,9.8
1.31,-9.8,-0.6,-0.6,9.8
1.32,-9.8,-0.6,-0.6,9.8
1.33,-11.4,-0.1,-0.2,11.4
1.34,-11.4,-0.1,-0.2,11.4
1.35,-11.4,-0.1,-0.2,11.4
1.36,-9.8,-0.1,-0.4,9.8
1.37,-9.8,-0.1,-0.4,9.8
1.38,-9.8,-0.1,-0.4,9.8
1.39,-9.8,-0.1,-0.4,9.8
1.4,-9.8,-0.1,-0.4,9.8
1.41,-9.5,0,-1,9.5
1.42,-9.5,0,-1,9.5
1.43,-9.5,0,-1,9.5
1.44,-9.5,0,-1,9.5
1.45,-9.3,0.1,-0.6,9.3
1.46,-9.3,0.1,-0.6,9.3
1.47,-9.3,0.1,-0.6,9.3
1.48,-9.3,0.1,-0.6,9.3
1.49,-9.3,0.1,-0.6,9.3
1.5,-9.8,0.3,-0.2,9.8
1.51,-9.8,0.3,-0.2,9.8
1.52,-9.8,0.3,-0.2,9.8
1.53,-9.8,0.3,-0.2,9.8
1.54,-9.8,0.3,-0.2,9.8
1.55,-9.7,0.2,-0.2,9.7
1.56,-9.7,0.2,-0.2,9.7
1.57,-9.6,-0.1,0,9.6
1.58,-9.6,-0.1,0,9.6
1.59,-9.6,-0.1,0,9.6
1.6,-9.6,-0.1,0,9.6
1.61,-10,0.2,0.2,10
1.62,-10,0.2,0.2,10
1.63,-10,0.2,0.2,10
1.64,-10,0.2,0.2,10
1.65,-9.9,0.7,0,9.9
1.66,-9.9,0.7,0,9.9
1.67,-9.9,0.7,0,9.9
1.68,-9.9,0.7,0,9.9
1.69,-9.9,0.7,0,9.9
1.7,-9.7,0.8,-0.1,9.7
1.71,-9.7,0.8,-0.1,9.7
1.72,-9.7,0.7,0,9.7
1.73,-9.7,0.7,0,9.7
1.74,-9.7,0.7,0,9.7
1.75,-9.7,0.7,0,9.7
1.76,-9.7,0.7,0,9.7
1.77,-9.8,0.5,0.2,9.8
1.78,-9.8,0.1,0,9.8
1.79,-9.8,0.1,0,9.8
1.8,-9.8,0.1,0,9.8
1.81,-9.8,0.1,0,9.8
1.82,-9.8,0.1,0,9.8
1.83,-9.8,-0.5,0.4,9.8
1.84,-9.8,-0.5,0.4,9.8
1.85,-9.8,-0.5,0.4,9.8
1.86,-9.8,-0.5,0.4,9.8
1.87,-9.8,-0.5,0.4,9.8
1.88,-12.6,-1.9,-1,12.8
1.89,-12.6,-1.9,-1,12.8
1.9,-12.6,-1.9,-1,12.8
1.91,-12.6,-1.9,-1,12.8
1.92,-12.6,-1.9,-1,12.8
1.93,-12.9,-0.2,-1.7,13.1
1.94,-12.9,-0.2,-1.7,13.1
1.95,-12.9,-0.2,-1.7,13.1
1.96,-12.9,-0.2,-1.7,13.1
1.97,-12.9,-0.2,-1.7,13.1
1.98,-9.5,2.7,-2.6,10.2
1.99,-9.5,2.7,-2.6,10.2
2,-9.5,2.7,-2.6,10.2
2.01,-9.5,2.7,-2.6,10.2
2.02,-7,0.2,-2.2,7.4
2.03,-7,0.2,-2.2,7.4
2.04,-7,0.2,-2.2,7.4
2.05,-7,0.2,-2.2,7.4
2.06,-10.2,-2.7,-1.9,10.7
2.07,-10.2,-2.7,-1.9,10.7
2.08,-10.2,-2.7,-1.9,10.7
2.09,-10.2,-2.7,-1.9,10.7
2.1,-10.2,-2.7,-1.9,10.7
2.11,-10.2,-2.7,-1.9,10.7
2.12,-9.3,-1.6,-1.2,9.5
2.13,-9.3,-1.6,-1.2,9.5
2.14,-9.3,-1.6,-1.2,9.5
2.15,-9.3,-1.6,-1.2,9.5
2.16,-9.5,-0.5,-0.5,9.5
2.17,-9.5,-0.5,-0.5,9.5
2.18,-9.5,-0.5,-0.5,9.5
2.19,-9.5,-0.5,-0.5,9.5
2.2,-9.5,-0.5,-0.5,9.5
2.21,-9.8,-1.1,-0.6,9.9
2.22,-9.8,-1.1,-0.6,9.9
2.23,-9.5,-1.6,-0.3,9.6
2.24,-9.5,-1.6,-0.3,9.6
2.25,-9.5,-1.6,-0.3,9.6
2.26,-9.5,-1.6,-0.3,9.6
2.27,-9.5,-1.6,-0.3,9.6
2.28,-9,-1.2,-0.2,9.1
2.29,-9,-1.2,-0.2,9.1
2.3,-9,-1.2,-0.2,9.1
2.31,-9,-1.2,-0.2,9.1
2.32,-9.3,-1.2,0,9.3
2.33,-9.3,-1.2,0,9.3
2.34,-9.3,-1.2,0,9.3
2.35,-9.3,-1.2,0,9.3
2.36,-8.9,-1.4,0.1,9
2.37,-8.9,-1.4,0.1,9
2.38,-8.9,-1.4,0.1,9
2.39,-8.9,-1.4,0.1,9
2.4,-8.9,-1.4,0.1,9
2.41,-9.1,-1.2,0.3,9.2
2.42,-9.1,-1.2,0.3,9.2
2.43,-9.1,-1.2,0.3,9.2
2.44,-9.1,-1.2,0.3,9.2
2.45,-9.1,-1.2,0.3,9.2
