Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.7,0.9,-0.6,9.8
0.010,-9.9,0.2,-0.9,9.9
0.020,-9.9,0.2,-0.9,9.9
0.030,-9.9,0.2,-0.9,9.9
0.040,-9.9,0.2,-0.9,9.9
0.050,-9.9,0.2,-0.9,9.9
0.060,-9.1,0.2,-1.0,9.2
0.070,-9.1,0.2,-1.0,9.2
0.080,-10.5,0.7,-0.8,10.5
0.090,-10.5,0.7,-0.8,10.5
0.100,-10.5,0.7,-0.8,10.5
0.110,-10.5,0.7,-0.8,10.5
0.120,-10.5,0.7,-0.8,10.5
0.130,-9.9,0.2,-0.9,10.0
0.140,-9.9,0.2,-0.9,10.0
0.150,-9.9,0.2,-0.9,10.0
0.160,-9.9,0.2,-0.9,10.0
0.170,-9.9,0.2,-0.9,10.0
0.180,-9.8,0.4,-0.8,9.8
0.190,-9.8,0.4,-0.8,9.8
0.200,-9.8,0.4,-0.8,9.8
0.210,-9.8,0.4,-0.8,9.8
0.220,-9.8,0.4,-0.8,9.8
0.230,-9.4,0.6,-0.5,9.4
0.240,-9.4,0.6,-0.5,9.4
0.250,-9.4,0.6,-0.5,9.4
0.260,-9.4,0.6,-0.5,9.4
0.270,-9.4,0.6,-0.5,9.4
0.280,-9.3,0.6,-0.4,9.3
0.290,-9.3,0.6,-0.4,9.3
0.300,-10.7,0.9,-0.1,10.7
0.310,-10.7,0.9,-0.1,10.7
0.320,-10.7,0.9,-0.1,10.7
0.330,-10.7,0.9,-0.1,10.7
0.340,-10.7,0.9,-0.1,10.7
0.350,-10.4,1.1,0.8,10.5
0.360,-10.4,1.1,0.8,10.5
0.370,-10.4,1.1,0.8,10.5
0.380,-10.3,1.0,0.3,10.4
0.390,-9.6,0.4,-0.2,9.6
0.400,-9.6,0.4,-0.2,9.6
0.410,-9.6,0.4,-0.2,9.6
0.420,-9.6,0.4,-0.2,9.6
0.430,-9.5,0.7,-0.2,9.6
0.440,-9.5,0.7,-0.2,9.6
0.450,-9.5,0.7,-0.2,9.6
0.460,-9.5,0.7,-0.2,9.6
0.470,-9.5,0.7,-0.2,9.6
0.480,-9.9,0.7,-0.3,10.0
0.490,-9.9,0.7,-0.3,10.0
0.500,-9.8,0.6,-0.1,9.8
0.510,-9.8,0.6,-0.1,9.8
0.520,-9.8,0.6,-0.1,9.8
0.530,-9.8,0.6,-0.1,9.8
0.540,-9.8,0.6,-0.1,9.8
0.550,-9.7,0.7,-0.2,9.8
0.560,-9.7,0.7,-0.2,9.8
0.570,-9.7,0.7,-0.2,9.8
0.580,-10.0,0.8,-0.1,10.0
0.590,-10.0,0.8,-0.1,10.0
0.600,-10.0,0.8,-0.1,10.0
0.610,-10.0,0.8,-0.1,10.0
0.620,-9.9,0.9,0.0,9.9
0.630,-9.9,0.9,0.0,9.9
0.640,-9.9,0.9,0.0,9.9
0.650,-9.9,0.9,0.0,9.9
0.660,-9.9,0.9,0.0,9.9
0.670,-9.8,0.8,-0.3,9.8
0.680,-9.8,0.8,-0.3,9.8
0.690,-9.8,0.8,-0.3,9.8
0.700,-9.8,0.8,-0.3,9.8
0.710,-9.8,0.9,-0.2,9.8
0.720,-9.8,0.9,-0.2,9.8
0.730,-9.8,0.9,-0.2,9.8
0.740,-9.8,0.9,-0.2,9.8
0.750,-9.8,0.9,-0.2,9.8
0.760,-10.0,0.9,0.0,10.0
0.770,-10.0,0.9,0.0,10.0
0.780,-10.3,0.6,-0.3,10.3
0.790,-10.3,0.6,-0.3,10.3
0.800,-10.3,0.6,-0.3,10.3
0.810,-10.3,0.6,-0.3,10.3
0.820,-10.0,0.1,-1.0,10.1
0.830,-10.0,0.1,-1.0,10.1
0.840,-10.0,0.1,-1.0,10.1
0.850,-10.0,0.1,-1.0,10.1
0.860,-10.0,0.1,-1.0,10.1
0.870,-9.5,0.3,-0.7,9.5
0.880,-9.5,0.3,-0.7,9.5
0.890,-9.5,0.3,-0.7,9.5
0.900,-9.5,0.3,-0.7,9.5
0.910,-9.5,0.3,-0.7,9.5
0.920,-9.4,0.8,-0.6,9.4
0.930,-9.4,0.8,-0.6,9.4
0.940,-9.4,1.2,-0.5,9.5
0.950,-9.4,1.2,-0.5,9.5
0.960,-9.4,1.2,-0.5,9.5
0.970,-9.4,1.2,-0.5,9.5
0.980,-9.4,1.2,-0.5,9.5
0.990,-10.4,0.2,-0.5,10.4
1.000,-10.4,0.2,-0.5,10.4
1.010,-10.4,0.2,-0.5,10.4
1.020,-10.4,0.2,-0.5,10.4
1.030,-10.4,0.2,-0.5,10.4
1.040,-10.6,-0.3,0.1,10.6
1.050,-10.6,-0.3,0.1,10.6
