Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.5,-0.1,-1.8,9.7
0.010,-9.9,0.1,-1.6,10.0
0.020,-9.9,0.1,-1.6,10.0
0.030,-9.9,0.1,-1.6,10.0
0.040,-9.9,0.1,-1.6,10.0
0.050,-9.8,-0.1,-1.7,9.9
0.060,-9.8,-0.1,-1.7,9.9
0.070,-9.8,-0.1,-1.7,9.9
0.080,-9.8,-0.1,-1.7,9.9
0.090,-9.8,-0.1,-1.7,9.9
0.100,-9.8,-0.1,-1.5,9.9
0.110,-9.8,-0.1,-1.5,9.9
0.120,-9.8,-0.1,-1.5,9.9
0.130,-9.8,-0.1,-1.5,9.9
0.140,-9.9,0.1,-1.4,10.0
0.150,-9.9,0.1,-1.4,10.0
0.160,-9.9,0.1,-1.4,10.0
0.170,-9.9,0.1,-1.4,10.0
0.180,-9.5,0.1,-1.5,9.6
0.190,-9.5,0.1,-1.5,9.6
0.200,-9.5,0.1,-1.5,9.6
0.210,-9.5,0.1,-1.5,9.6
0.220,-9.5,0.1,-1.5,9.6
0.230,-9.5,0.1,-1.5,9.6
0.240,-9.7,0.2,-1.5,9.8
0.250,-9.7,0.2,-1.5,9.8
0.260,-9.9,0.4,-1.4,10.0
0.270,-9.9,0.4,-1.4,10.0
0.280,-9.9,0.4,-1.4,10.0
0.290,-9.9,0.4,-1.4,10.0
0.300,-9.9,0.4,-1.4,10.0
0.310,-10.0,0.5,-1.5,10.1
0.320,-10.0,0.5,-1.5,10.1
0.330,-10.0,0.5,-1.5,10.1
0.340,-9.9,0.2,-1.0,10.0
0.350,-9.9,0.2,-1.0,10.0
0.360,-9.9,0.2,-1.0,10.0
0.370,-9.9,0.2,-1.0,10.0
0.380,-9.8,0.2,-1.2,9.8
0.390,-9.8,0.2,-1.2,9.8
0.400,-9.8,0.2,-1.2,9.8
0.410,-9.8,0.2,-1.2,9.8
0.420,-9.8,0.2,-1.1,9.9
0.430,-9.8,0.2,-1.1,9.9
0.440,-9.8,0.2,-1.1,9.9
0.450,-9.8,0.2,-1.1,9.9
0.460,-9.8,0.2,-1.1,9.9
0.470,-9.8,0.2,-1.1,9.9
0.480,-9.8,0.2,-1.1,9.9
0.490,-9.8,0.2,-1.1,9.9
0.500,-9.8,0.2,-1.1,9.9
0.510,-9.9,0.2,-1.2,10.0
0.520,-9.9,0.2,-1.2,10.0
0.530,-9.9,0.2,-1.2,10.0
0.540,-9.9,0.2,-1.2,10.0
0.550,-9.9,0.2,-1.2,10.0
0.560,-9.8,0.3,-1.1,9.9
0.570,-9.8,0.3,-1.1,9.9
0.580,-9.8,0.2,-1.2,9.9
0.590,-9.8,0.2,-1.2,9.9
0.600,-9.8,0.2,-1.2,9.9
0.610,-9.8,0.2,-1.2,9.9
0.620,-9.8,0.2,-1.2,9.9
0.630,-9.8,0.2,-1.1,9.8
0.640,-9.8,0.2,-1.1,9.8
0.650,-9.8,0.2,-1.1,9.8
0.660,-9.8,0.2,-1.1,9.8
0.670,-9.8,0.2,-1.2,9.9
0.680,-9.8,0.2,-1.2,9.9
0.690,-9.7,0.2,-1.2,9.8
0.700,-9.7,0.2,-1.2,9.8
0.710,-9.7,0.2,-1.2,9.8
0.720,-9.7,0.2,-1.2,9.8
0.730,-9.7,0.2,-1.2,9.8
0.740,-9.7,0.2,-1.2,9.8
0.750,-9.7,0.2,-1.2,9.8
0.760,-9.7,0.2,-1.2,9.8
0.770,-9.7,0.2,-1.2,9.8
0.780,-9.7,0.2,-1.1,9.8
0.790,-9.7,0.2,-1.1,9.8
0.800,-9.7,0.2,-1.1,9.8
0.810,-9.7,0.2,-1.1,9.8
0.820,-9.7,0.2,-1.1,9.8
0.830,-9.6,0.1,-1.1,9.6
0.840,-9.6,0.1,-1.1,9.6
0.850,-9.6,0.1,-1.1,9.6
0.860,-9.6,0.1,-1.1,9.6
0.870,-9.6,0.1,-1.1,9.6
0.880,-9.6,0.0,-1.0,9.7
0.890,-9.6,0.0,-1.0,9.7
0.900,-10.0,0.3,-1.0,10.0
0.910,-10.0,0.3,-1.0,10.0
0.920,-10.0,0.3,-1.0,10.0
0.930,-10.0,0.3,-1.0,10.0
0.940,-10.0,0.3,-1.0,10.0
0.950,-10.0,0.1,-0.7,10.0
0.960,-10.0,0.1,-0.7,10.0
0.970,-10.0,0.1,-0.7,10.0
0.980,-10.0,0.1,-0.7,10.0
0.990,-10.0,0.1,-0.7,10.0
1.000,-9.8,-0.4,-0.7,9.9
1.010,-9.8,-0.4,-0.7,9.9
1.020,-9.8,-0.4,-0.7,9.9
1.030,-9.8,-0.4,-0.7,9.9
1.040,-10.3,0.2,-0.8,10.3
1.050,-10.3,0.2,-0.8,10.3
1.060,-10.3,0.2,-0.8,10.3
1.070,-10.3,0.2,-0.8,10.3
1.080,-10.3,0.2,-0.8,10.3
1.090,-10.0,0.4,-1.1,10.1
1.100,-10.0,0.4,-1.1,10.1
1.110,-9.7,0.2,-1.5,9.9
1.120,-9.7,0.2,-1.5,9.9
1.130,-9.7,0.2,-1.5,9.9
1.140,-9.7,0.2,-1.5,9.9
1.150,-9.7,0.2,-1.5,9.9
1.160,-9.7,0.1,-1.4,9.8
1.170,-9.7,0.1,-1.4,9.8
1.180,-9.7,0.1,-1.4,9.8
1.190,-9.8,0.1,-1.5,9.9
1.200,-9.8,0.1,-1.5,9.9
1.210,-9.8,0.1,-1.5,9.9
1.220,-9.8,0.1,-1.5,9.9
1.230,-9.5,0.0,-1.6,9.7
1.240,-9.5,0.0,-1.6,9.7
1.250,-9.5,0.0,-1.6,9.7
1.260,-9.5,0.0,-1.6,9.7
1.270,-9.5,0.0,-1.6,9.7
1.280,-9.5,-0.2,-1.5,9.6
1.290,-9.5,-0.2,-1.5,9.6
1.300,-9.5,-0.2,-1.5,9.6
1.310,-9.5,-0.2,-1.5,9.6
1.320,-9.5,-0.2,-1.5,9.6
1.330,-9.8,0.0,-1.4,9.9
1.340,-9.8,0.0,-1.4,9.9
1.350,-9.8,0.0,-1.4,9.9
1.360,-9.8,0.0,-1.4,9.9
1.370,-9.8,0.0,-1.4,9.9
1.380,-9.7,-0.1,-1.2,9.8
1.390,-9.7,-0.1,-1.2,9.8
1.400,-9.7,-0.1,-1.2,9.8
1.410,-10.0,-0.3,-1.4,10.1
1.420,-10.0,-0.3,-1.4,10.1
1.430,-10.0,-0.3,-1.4,10.1
1.440,-10.1,-0.2,-1.5,10.2
1.450,-10.1,-0.2,-1.5,10.2
1.460,-10.1,-0.2,-1.5,10.2
1.470,-10.1,-0.2,-1.5,10.2
1.480,-10.1,-0.2,-1.5,10.2
1.490,-9.9,-0.2,-1.4,10.0
1.500,-9.9,-0.2,-1.4,10.0
1.510,-9.9,-0.2,-1.4,10.0
1.520,-9.9,-0.2,-1.4,10.0
1.530,-9.5,-0.3,-1.6,9.7
1.540,-9.5,-0.3,-1.6,9.7
1.550,-9.5,-0.3,-1.6,9.7
1.560,-9.5,-0.3,-1.6,9.7
1.570,-9.5,-0.3,-1.6,9.7
1.580,-9.7,-0.1,-1.2,9.7
1.590,-9.7,-0.1,-1.2,9.7
1.600,-9.7,-0.1,-1.2,9.7
1.610,-9.7,-0.1,-1.2,9.7
1.620,-9.7,-0.1,-1.2,9.7
1.630,-10.1,-0.6,-0.5,10.1
1.640,-10.1,-0.6,-0.5,10.1
1.650,-10.1,-0.6,-0.5,10.1
1.660,-10.1,-0.6,-0.5,10.1
1.670,-10.1,-1.0,-0.4,10.2
1.680,-10.1,-1.0,-0.4,10.2
1.690,-10.1,-1.0,-0.4,10.2
1.700,-10.4,-1.1,-0.5,10.5
1.710,-10.4,-1.1,-0.5,10.5
