Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.9,-1.6,-1.2,10.1
0.010,-9.6,-1.6,-1.1,9.8
0.020,-9.6,-1.6,-1.1,9.8
0.030,-9.6,-1.6,-1.1,9.8
0.040,-9.6,-1.6,-1.1,9.8
0.050,-9.6,-1.6,-1.1,9.8
0.060,-9.7,-1.3,-1.1,9.8
0.070,-9.7,-1.3,-1.1,9.8
0.080,-9.7,-1.3,-1.1,9.8
0.090,-9.7,-1.3,-1.1,9.8
0.100,-9.7,-1.3,-1.1,9.8
0.110,-9.7,-1.7,-1.1,9.9
0.120,-9.7,-1.7,-1.1,9.9
0.130,-9.7,-1.7,-1.1,9.9
0.140,-9.7,-1.7,-1.1,9.9
0.150,-9.7,-1.7,-1.1,9.9
0.160,-9.8,-1.6,-0.9,10.0
0.170,-9.8,-1.6,-0.9,10.0
0.180,-9.8,-1.6,-0.9,10.0
0.190,-9.8,-1.6,-0.9,10.0
0.200,-9.8,-1.6,-0.9,10.0
0.210,-9.7,-1.4,-0.8,9.9
0.220,-9.7,-1.4,-0.8,9.9
0.230,-9.7,-1.4,-0.8,9.9
0.240,-9.7,-1.4,-0.8,9.9
0.250,-9.7,-2.0,-0.8,9.9
0.260,-9.7,-2.0,-0.8,9.9
0.270,-9.7,-2.0,-0.8,9.9
0.280,-9.7,-2.0,-0.8,9.9
0.290,-9.7,-2.0,-0.8,9.9
0.300,-10.2,-0.9,-0.8,10.3
0.310,-10.2,-0.9,-0.8,10.3
0.320,-10.2,-0.9,-0.8,10.3
0.330,-10.2,-0.9,-0.8,10.3
0.340,-10.0,-1.4,-0.9,10.2
0.350,-10.0,-1.4,-0.9,10.2
0.360,-10.0,-1.4,-0.9,10.2
0.370,-10.0,-1.4,-0.9,10.2
0.380,-10.0,-1.4,-0.9,10.2
0.390,-9.8,-1.3,-1.0,9.9
0.400,-9.8,-1.3,-1.0,9.9
0.410,-9.8,-1.3,-1.0,9.9
0.420,-9.8,-1.3,-1.0,9.9
0.430,-9.7,-1.2,-0.9,9.8
0.440,-9.7,-1.2,-0.9,9.8
0.450,-9.7,-1.2,-0.9,9.8
0.460,-9.8,-1.2,-0.8,9.9
0.470,-9.8,-1.2,-0.8,9.9
0.480,-9.8,-1.2,-0.8,9.9
0.490,-9.8,-1.2,-0.8,9.9
0.500,-9.9,-1.3,-0.8,10.0
0.510,-9.9,-1.3,-0.8,10.0
0.520,-9.9,-1.3,-0.8,10.0
0.530,-9.7,-1.3,-0.9,9.9
0.540,-9.7,-1.3,-0.9,9.9
0.550,-9.7,-1.3,-0.9,9.9
0.560,-9.7,-1.3,-0.9,9.9
0.570,-9.9,-1.4,-0.9,10.0
0.580,-9.9,-1.4,-0.9,10.0
0.590,-9.9,-1.4,-0.9,10.0
0.600,-9.9,-1.4,-0.9,10.0
0.610,-9.9,-1.4,-0.9,10.0
0.620,-9.8,-1.5,-0.9,9.9
0.630,-9.8,-1.5,-0.9,9.9
0.640,-9.8,-1.5,-0.9,9.9
0.650,-9.8,-1.5,-0.9,9.9
0.660,-9.8,-1.5,-0.9,9.9
0.670,-9.8,-1.4,-0.9,10.0
0.680,-9.8,-1.4,-0.9,10.0
0.690,-9.8,-1.4,-0.9,10.0
0.700,-9.8,-1.4,-0.9,10.0
0.710,-9.8,-1.3,-0.9,9.9
0.720,-9.8,-1.3,-0.9,9.9
0.730,-9.8,-1.3,-0.9,9.9
0.740,-9.8,-1.3,-0.9,9.9
0.750,-9.8,-1.3,-0.8,9.9
0.760,-9.8,-1.3,-0.8,9.9
0.770,-9.8,-1.3,-0.8,9.9
0.780,-9.8,-1.3,-0.8,9.9
0.790,-9.8,-1.3,-0.8,9.9
0.800,-9.7,-1.3,-0.9,9.9
0.810,-9.7,-1.3,-0.9,9.9
0.820,-9.7,-1.3,-0.9,9.9
0.830,-9.7,-1.3,-0.9,9.9
0.840,-9.7,-1.3,-0.9,9.9
0.850,-9.8,-1.2,-0.8,9.9
0.860,-9.8,-1.2,-0.8,9.9
0.870,-9.8,-1.2,-0.8,9.9
0.880,-9.8,-1.2,-0.8,9.9
0.890,-9.8,-1.2,-0.8,9.9
0.900,-9.8,-1.3,-0.9,9.9
0.910,-9.8,-1.3,-0.9,9.9
0.920,-9.8,-1.3,-0.9,9.9
0.930,-9.7,-1.4,-0.9,9.9
0.940,-9.7,-1.4,-0.9,9.9
0.950,-9.7,-1.4,-0.9,9.9
0.960,-9.7,-1.4,-0.9,9.9
0.970,-9.7,-1.4,-0.9,9.9
0.980,-9.8,-1.4,-0.8,9.9
0.990,-9.8,-1.4,-0.8,9.9
1.000,-9.8,-1.4,-0.8,9.9
1.010,-9.8,-1.4,-0.8,9.9
1.020,-9.9,-1.4,-0.7,10.0
1.030,-9.9,-1.4,-0.7,10.0
1.040,-9.9,-1.4,-0.7,10.0
1.050,-9.9,-1.4,-0.7,10.0
1.060,-9.9,-1.4,-0.7,10.0
1.070,-10.0,-1.2,-0.9,10.1
1.080,-10.0,-1.2,-0.9,10.1
1.090,-10.0,-1.2,-0.9,10.1
1.100,-10.0,-1.2,-0.9,10.1
1.110,-10.0,-1.2,-0.8,10.1
1.120,-10.0,-1.2,-0.8,10.1
1.130,-9.8,-1.2,-0.8,9.9
1.140,-9.8,-1.2,-0.8,9.9
1.150,-9.8,-1.2,-0.8,9.9
1.160,-9.8,-1.2,-0.8,9.9
1.170,-9.9,-1.2,-0.9,10.0
1.180,-9.9,-1.2,-0.9,10.0
1.190,-9.9,-1.2,-0.9,10.0
1.200,-9.9,-1.2,-0.9,10.0
1.210,-9.9,-1.2,-0.9,10.0
1.220,-9.8,-1.0,-0.9,9.8
1.230,-9.8,-1.0,-0.9,9.8
1.240,-9.8,-1.0,-0.9,9.8
1.250,-9.8,-1.0,-0.9,9.8
1.260,-9.4,-1.2,-0.5,9.5
1.270,-9.4,-1.2,-0.5,9.5
1.280,-9.4,-1.2,-0.5,9.5
1.290,-9.4,-1.2,-0.5,9.5
1.300,-9.4,-1.2,-0.5,9.5
1.310,-9.8,-1.2,-0.5,9.8
1.320,-9.8,-1.2,-0.5,9.8
1.330,-9.8,-1.2,-0.5,9.8
1.340,-9.8,-1.2,-0.5,9.8
1.350,-9.8,-1.3,-0.4,9.9
1.360,-9.8,-1.3,-0.4,9.9
1.370,-9.8,-1.3,-0.4,9.9
1.380,-9.8,-1.3,-0.4,9.9
1.390,-9.7,-1.7,-0.5,9.9
1.400,-9.7,-1.7,-0.5,9.9
1.410,-9.7,-1.7,-0.5,9.9
1.420,-9.7,-1.7,-0.5,9.9
1.430,-9.9,-1.7,-0.8,10.1
1.440,-9.9,-1.7,-0.8,10.1
1.450,-9.9,-1.7,-0.8,10.1
1.460,-9.9,-1.7,-0.8,10.1
1.470,-9.9,-1.7,-0.8,10.1
1.480,-9.8,-1.6,-0.6,10.0
1.490,-9.8,-1.6,-0.6,10.0
1.500,-9.8,-1.6,-0.6,10.0
1.510,-9.8,-1.6,-0.6,10.0
1.520,-9.8,-1.6,-0.6,10.0
1.530,-9.8,-1.9,-0.5,10.0
1.540,-9.8,-1.9,-0.5,10.0
1.550,-9.8,-1.9,-0.5,10.0
1.560,-9.8,-1.9,-0.5,10.0
1.570,-9.9,-1.6,-0.7,10.1
1.580,-9.9,-1.6,-0.7,10.1
1.590,-9.9,-1.6,-0.7,10.1
1.600,-9.9,-1.6,-0.7,10.1
1.610,-9.8,-1.4,-0.5,9.9
1.620,-9.8,-1.4,-0.5,9.9
1.630,-9.8,-1.4,-0.5,9.9
1.640,-9.8,-1.5,-0.5,10.0
1.650,-9.8,-1.5,-0.5,10.0
1.660,-9.8,-1.5,-0.5,10.0
1.670,-9.8,-1.5,-0.5,10.0
1.680,-9.8,-1.5,-0.5,10.0
1.690,-9.9,-1.6,-0.7,10.0
1.700,-9.9,-1.6,-0.7,10.0
1.710,-9.9,-1.6,-0.7,10.0
1.720,-9.9,-1.6,-0.7,10.0
1.730,-9.8,-1.4,-0.8,10.0
1.740,-9.8,-1.4,-0.8,10.0
1.750,-9.8,-1.4,-0.8,10.0
1.760,-9.8,-1.4,-0.8,10.0
1.770,-9.8,-1.4,-0.8,10.0
1.780,-9.8,-1.4,-0.9,9.9
1.790,-9.8,-1.4,-0.9,9.9
1.800,-9.8,-1.6,-0.9,10.0
1.810,-9.8,-1.6,-0.9,10.0
1.820,-9.8,-1.6,-0.9,10.0
1.830,-9.8,-1.6,-0.9,10.0
1.840,-9.8,-1.6,-0.9,10.0
1.850,-9.8,-1.5,-1.2,10.0
1.860,-9.8,-1.5,-1.2,10.0
1.870,-9.8,-1.5,-1.2,10.0
1.880,-9.8,-1.5,-1.2,10.0
1.890,-9.8,-1.5,-1.2,10.0
1.900,-9.8,-1.4,-1.1,9.9
1.910,-9.8,-1.4,-1.1,9.9
1.920,-9.8,-1.4,-1.1,9.9
1.930,-9.5,-1.6,-0.8,9.6
1.940,-9.5,-1.6,-0.8,9.6
1.950,-9.5,-1.6,-0.8,9.6
1.960,-9.5,-1.6,-0.8,9.6
1.970,-9.6,-1.6,-1.2,9.8
1.980,-9.6,-1.6,-1.2,9.8
1.990,-9.6,-1.6,-1.2,9.8
2.000,-9.6,-1.6,-1.2,9.8
2.010,-9.7,-1.6,-1.3,9.9
2.020,-9.7,-1.6,-1.3,9.9
2.030,-9.7,-1.6,-1.3,9.9
2.040,-9.7,-1.6,-1.3,9.9
2.050,-9.7,-1.6,-1.3,9.9
2.060,-9.4,-2.2,-0.6,9.6
2.070,-9.4,-2.2,-0.6,9.6
2.080,-9.4,-2.2,-0.6,9.6
2.090,-9.4,-2.2,-0.6,9.6
2.100,-9.5,-2.1,-1.0,9.8
2.110,-9.5,-2.1,-1.0,9.8
2.120,-9.5,-2.1,-1.0,9.8
2.130,-9.5,-2.1,-1.0,9.8
2.140,-9.8,-1.8,-0.6,10.0
2.150,-9.8,-1.8,-0.6,10.0
2.160,-9.8,-1.8,-0.6,10.0
2.170,-9.8,-1.8,-0.6,10.0
2.180,-9.9,-1.3,-0.7,10.0
2.190,-9.9,-1.3,-0.7,10.0
2.200,-9.9,-1.3,-0.7,10.0
2.210,-9.9,-1.3,-0.7,10.0
2.220,-9.9,-0.9,-0.9,10.0
2.230,-9.9,-0.9,-0.9,10.0
2.240,-9.9,-0.9,-0.9,10.0
2.250,-9.9,-0.9,-0.9,10.0
2.260,-9.9,-0.9,-0.9,10.0
2.270,-9.8,-1.0,-1.0,9.9
2.280,-9.8,-1.0,-1.0,9.9
2.290,-9.8,-1.0,-1.0,9.9
2.300,-9.8,-1.0,-1.0,9.9
2.310,-10.0,-0.9,-1.1,10.1
2.320,-10.0,-0.9,-1.1,10.1
2.330,-10.0,-0.8,-1.9,10.2
2.340,-10.0,-0.8,-1.9,10.2
2.350,-10.0,-0.8,-1.9,10.2
2.360,-10.0,-0.8,-1.9,10.2
2.370,-10.1,-0.9,-0.9,10.2
2.380,-10.1,-0.9,-0.9,10.2
2.390,-10.1,-0.9,-0.9,10.2
2.400,-10.1,-0.9,-0.9,10.2
2.410,-10.1,-0.9,-0.9,10.2
2.420,-9.5,-0.6,-1.2,9.5
2.430,-9.5,-0.6,-1.2,9.5
2.440,-9.5,-0.6,-1.2,9.5
2.450,-9.5,-0.6,-1.2,9.5
2.460,-9.5,-0.9,-1.3,9.6
2.470,-9.5,-0.9,-1.3,9.6
2.480,-9.5,-0.9,-1.3,9.6
2.490,-9.5,-0.9,-1.3,9.6
2.500,-9.5,-0.9,-1.3,9.6
2.510,-9.7,-0.6,-1.3,9.8
2.520,-9.7,-0.6,-1.3,9.8
2.530,-9.7,-0.6,-1.3,9.8
2.540,-9.7,-0.6,-1.3,9.8
2.550,-9.9,-0.8,-1.3,10.0
2.560,-9.9,-0.8,-1.3,10.0
2.570,-9.9,-0.8,-1.3,10.0
2.580,-9.9,-0.8,-1.3,10.0
2.590,-9.9,-0.8,-1.3,10.0
2.600,-9.9,-1.0,-1.3,10.0
2.610,-9.9,-1.0,-1.3,10.0
2.620,-9.9,-1.0,-1.3,10.0
2.630,-9.9,-1.0,-1.3,10.0
2.640,-9.8,-1.3,-1.4,10.0
2.650,-9.8,-1.3,-1.4,10.0
