Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-10.0,-1.2,-0.6,10.1
0.010,-9.7,-1.4,-0.5,9.8
0.020,-9.7,-1.4,-0.5,9.8
0.030,-9.7,-1.4,-0.5,9.8
0.040,-9.7,-1.4,-0.5,9.8
0.050,-9.8,-1.5,-0.5,9.9
0.060,-9.8,-1.5,-0.5,9.9
0.070,-9.8,-1.5,-0.5,9.9
0.080,-9.8,-1.5,-0.5,9.9
0.090,-9.8,-1.6,-0.5,9.9
0.100,-9.8,-1.6,-0.5,9.9
0.110,-9.8,-1.6,-0.5,9.9
0.120,-9.8,-1.6,-0.5,9.9
0.130,-9.8,-1.6,-0.5,9.9
0.140,-9.7,-1.5,-0.5,9.9
0.150,-9.7,-1.5,-0.5,9.9
0.160,-9.7,-1.5,-0.5,9.9
0.170,-9.8,-1.4,-0.7,10.0
0.180,-9.8,-1.4,-0.7,10.0
0.190,-9.8,-1.4,-0.7,10.0
0.200,-9.8,-1.4,-0.7,10.0
0.210,-9.8,-1.4,-0.7,10.0
0.220,-9.7,-1.6,-0.5,9.9
0.230,-9.7,-1.6,-0.5,9.9
0.240,-9.7,-1.6,-0.5,9.9
0.250,-9.7,-1.6,-0.5,9.9
0.260,-9.7,-1.6,-0.5,9.9
0.270,-9.8,-1.8,-0.4,9.9
0.280,-9.8,-1.8,-0.4,9.9
0.290,-9.8,-1.8,-0.4,9.9
0.300,-9.8,-1.8,-0.4,9.9
0.310,-9.7,-1.3,-0.5,9.8
0.320,-9.7,-1.3,-0.5,9.8
0.330,-9.7,-1.3,-0.5,9.8
0.340,-9.7,-1.3,-0.5,9.8
0.350,-9.9,-1.6,-0.4,10.0
0.360,-9.9,-1.6,-0.4,10.0
0.370,-9.9,-1.6,-0.4,10.0
0.380,-9.9,-1.6,-0.4,10.0
0.390,-9.9,-1.5,-0.4,10.0
0.400,-9.9,-1.5,-0.4,10.0
0.410,-9.9,-1.5,-0.4,10.0
0.420,-9.9,-1.5,-0.4,10.0
0.430,-9.9,-1.5,-0.4,10.0
0.440,-9.8,-1.5,-0.3,9.9
0.450,-9.8,-1.5,-0.3,9.9
0.460,-9.8,-1.5,-0.3,9.9
0.470,-9.8,-1.5,-0.3,9.9
0.480,-9.8,-1.5,-0.3,9.9
0.490,-9.8,-1.5,-0.3,9.9
0.500,-9.8,-1.5,-0.3,9.9
0.510,-9.8,-1.5,-0.3,9.9
0.520,-9.8,-1.5,-0.3,9.9
0.530,-9.8,-1.5,-0.3,9.9
0.540,-9.8,-1.5,-0.4,10.0
0.550,-9.8,-1.5,-0.4,10.0
0.560,-9.8,-1.5,-0.4,10.0
0.570,-9.8,-1.5,-0.4,10.0
0.580,-9.8,-1.5,-0.4,10.0
0.590,-9.8,-1.5,-0.4,9.9
0.600,-9.8,-1.5,-0.4,9.9
0.610,-9.8,-1.5,-0.4,9.9
0.620,-9.8,-1.5,-0.4,9.9
0.630,-9.8,-1.4,-0.4,9.9
0.640,-9.8,-1.4,-0.4,9.9
0.650,-9.8,-1.4,-0.4,9.9
0.660,-9.8,-1.4,-0.4,9.9
0.670,-9.8,-1.4,-0.4,9.9
0.680,-9.8,-1.5,-0.3,9.9
0.690,-9.8,-1.5,-0.3,9.9
0.700,-9.8,-1.5,-0.3,9.9
0.710,-9.8,-1.5,-0.3,9.9
0.720,-9.8,-1.5,-0.3,9.9
0.730,-9.8,-1.6,-0.4,9.9
0.740,-9.8,-1.6,-0.4,9.9
0.750,-9.8,-1.6,-0.4,9.9
0.760,-9.8,-1.6,-0.4,9.9
0.770,-9.8,-1.6,-0.4,9.9
0.780,-9.7,-1.5,-0.4,9.8
0.790,-9.7,-1.5,-0.4,9.8
0.800,-9.7,-1.5,-0.4,9.8
0.810,-9.7,-1.5,-0.4,9.8
0.820,-9.7,-1.5,-0.4,9.8
0.830,-9.7,-1.4,-0.3,9.8
0.840,-9.7,-1.4,-0.3,9.8
0.850,-9.7,-1.4,-0.3,9.8
0.860,-9.7,-1.4,-0.3,9.8
0.870,-9.7,-1.4,-0.3,9.8
0.880,-9.8,-1.5,0.0,9.9
0.890,-9.8,-1.5,0.0,9.9
0.900,-9.8,-1.5,0.0,9.9
0.910,-9.8,-1.5,0.0,9.9
0.920,-9.9,-1.2,0.0,10.0
0.930,-9.9,-1.2,0.0,10.0
0.940,-9.9,-1.2,0.0,10.0
0.950,-9.9,-1.2,0.0,10.0
0.960,-9.9,-1.2,0.0,10.0
0.970,-9.9,-1.2,0.0,10.0
0.980,-9.9,-1.2,0.0,10.0
0.990,-9.9,-1.4,0.0,10.0
1.000,-9.9,-1.4,0.0,10.0
1.010,-9.9,-1.4,0.0,10.0
1.020,-9.9,-1.4,0.0,10.0
1.030,-9.9,-1.4,0.0,10.0
1.040,-9.9,-1.3,-0.2,10.0
1.050,-9.9,-1.3,-0.2,10.0
1.060,-9.9,-1.3,-0.2,10.0
1.070,-9.9,-1.3,-0.2,10.0
1.080,-9.9,-1.3,-0.2,10.0
1.090,-9.9,-1.2,-0.5,10.0
1.100,-9.9,-1.2,-0.5,10.0
1.110,-9.9,-1.2,-0.5,10.0
1.120,-9.9,-1.2,-0.5,10.0
1.130,-9.9,-1.2,-0.5,10.0
1.140,-9.9,-1.2,-0.5,10.0
1.150,-9.9,-1.2,-0.5,10.0
1.160,-9.6,-1.3,-0.5,9.7
1.170,-9.6,-1.3,-0.5,9.7
1.180,-9.6,-1.3,-0.5,9.7
1.190,-9.6,-1.3,-0.5,9.7
1.200,-9.9,-1.7,-0.3,10.0
1.210,-9.9,-1.7,-0.3,10.0
1.220,-9.9,-1.7,-0.3,10.0
1.230,-9.9,-1.7,-0.3,10.0
1.240,-9.9,-1.7,-0.3,10.0
1.250,-10.6,-2.0,-0.3,10.8
1.260,-10.6,-2.0,-0.3,10.8
1.270,-10.6,-2.0,-0.3,10.8
1.280,-10.6,-2.0,-0.3,10.8
1.290,-10.6,-2.0,-0.3,10.8
1.300,-10.2,-2.2,-0.3,10.5
1.310,-10.2,-2.2,-0.3,10.5
1.320,-10.2,-2.2,-0.3,10.5
1.330,-10.2,-2.2,-0.3,10.5
1.340,-9.8,-2.2,-0.6,10.1
1.350,-9.8,-2.2,-0.6,10.1
1.360,-9.8,-2.2,-0.6,10.1
1.370,-9.8,-2.2,-0.6,10.1
1.380,-9.8,-2.2,-0.6,10.1
1.390,-9.5,-2.6,-0.7,9.9
1.400,-9.5,-2.6,-0.7,9.9
1.410,-9.5,-2.6,-0.7,9.9
1.420,-9.5,-2.6,-0.7,9.9
1.430,-9.2,-2.5,-1.0,9.6
1.440,-9.2,-2.5,-1.0,9.6
1.450,-9.2,-2.5,-1.0,9.6
1.460,-9.2,-2.5,-1.0,9.6
1.470,-9.2,-2.5,-1.0,9.6
1.480,-9.2,-2.1,-1.2,9.5
1.490,-9.2,-2.1,-1.2,9.5
1.500,-9.2,-2.1,-1.2,9.5
1.510,-9.2,-2.1,-1.2,9.5
1.520,-9.2,-2.1,-1.2,9.5
1.530,-8.8,-2.2,-1.1,9.2
1.540,-8.8,-2.2,-1.1,9.2
1.550,-8.8,-2.2,-1.1,9.2
1.560,-8.8,-2.2,-1.1,9.2
1.570,-9.0,-2.4,-0.8,9.4
1.580,-9.0,-2.4,-0.8,9.4
1.590,-9.0,-2.4,-0.8,9.4
1.600,-9.0,-2.4,-0.8,9.4
1.610,-9.0,-2.4,-0.8,9.4
1.620,-9.9,-2.7,-1.3,10.4
1.630,-9.9,-2.7,-1.3,10.4
1.640,-9.9,-2.7,-1.3,10.4
1.650,-9.9,-2.7,-1.3,10.4
1.660,-10.7,-1.3,-2.5,11.1
1.670,-10.7,-1.3,-2.5,11.1
1.680,-10.7,-1.3,-2.5,11.1
1.690,-10.7,-1.3,-2.5,11.1
1.700,-10.7,-1.3,-2.5,11.1
1.710,-9.1,-0.4,-2.1,9.3
1.720,-9.1,-0.4,-2.1,9.3
1.730,-9.1,-0.4,-2.1,9.3
1.740,-9.1,-0.4,-2.1,9.3
1.750,-9.1,-0.4,-2.1,9.3
1.760,-8.4,0.1,-1.5,8.6
1.770,-8.4,0.1,-1.5,8.6
1.780,-8.4,0.1,-1.5,8.6
1.790,-8.4,0.1,-1.5,8.6
1.800,-8.4,0.1,-1.5,8.6
1.810,-8.7,0.2,-1.6,8.9
1.820,-8.7,0.2,-1.6,8.9
1.830,-9.1,0.2,-1.6,9.3
1.840,-10.8,0.2,-1.8,10.9
