Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.2,-0.2,-3.8,9.9
0.010,-9.5,0.5,-3.5,10.1
0.020,-9.5,0.5,-3.5,10.1
0.030,-9.5,0.5,-3.5,10.1
0.040,-9.5,0.5,-3.5,10.1
0.050,-9.3,0.0,-3.4,9.9
0.060,-9.3,0.0,-3.4,9.9
0.070,-9.3,0.0,-3.4,9.9
0.080,-9.3,0.0,-3.4,9.9
0.090,-9.3,0.0,-3.4,9.9
0.100,-9.4,0.2,-3.3,9.9
0.110,-9.4,0.2,-3.3,9.9
0.120,-9.4,0.2,-3.3,9.9
0.130,-9.4,0.1,-3.3,10.0
0.140,-9.4,0.1,-3.3,10.0
0.150,-9.4,0.1,-3.3,10.0
0.160,-9.4,0.1,-3.3,10.0
0.170,-9.4,0.1,-3.3,10.0
0.180,-9.3,0.2,-3.3,9.9
0.190,-9.3,0.2,-3.3,9.9
0.200,-9.3,0.2,-3.3,9.9
0.210,-9.3,0.2,-3.3,9.9
0.220,-9.3,0.1,-3.2,9.9
0.230,-9.3,0.1,-3.2,9.9
0.240,-9.3,0.1,-3.2,9.9
0.250,-9.2,0.0,-3.2,9.8
0.260,-9.2,0.0,-3.2,9.8
0.270,-9.2,0.0,-3.2,9.8
0.280,-9.4,0.2,-3.1,9.9
0.290,-9.4,0.2,-3.1,9.9
0.300,-9.4,0.2,-3.1,9.9
0.310,-9.4,0.2,-3.1,9.9
0.320,-9.4,0.2,-3.1,9.9
0.330,-9.4,0.1,-3.1,9.9
0.340,-9.4,0.1,-3.1,9.9
0.350,-9.4,0.1,-3.1,9.9
0.360,-9.4,0.1,-3.1,9.9
0.370,-9.4,0.1,-3.1,9.9
0.380,-9.4,0.1,-3.1,9.9
0.390,-9.4,0.1,-3.1,9.9
0.400,-9.4,0.1,-3.1,9.9
0.410,-9.3,0.1,-3.1,9.8
0.420,-9.3,0.1,-3.1,9.8
0.430,-9.3,0.1,-3.1,9.8
0.440,-9.3,0.1,-3.1,9.8
0.450,-9.3,0.1,-3.1,9.8
0.460,-9.4,0.1,-3.2,9.9
0.470,-9.3,0.2,-3.2,9.9
0.480,-9.3,0.2,-3.2,9.9
0.490,-9.3,0.2,-3.2,9.9
0.500,-9.3,0.2,-3.2,9.9
0.510,-9.3,0.2,-3.2,9.9
0.520,-9.3,0.2,-3.2,9.8
0.530,-9.3,0.2,-3.2,9.8
0.540,-9.3,0.2,-3.2,9.8
0.550,-9.3,0.2,-3.2,9.8
0.560,-9.3,0.2,-3.2,9.9
0.570,-9.3,0.2,-3.2,9.9
0.580,-9.3,0.2,-3.2,9.9
0.590,-9.3,0.2,-3.2,9.9
0.600,-9.3,0.2,-3.2,9.9
0.610,-9.5,0.1,-3.2,10.0
0.620,-9.5,0.1,-3.2,10.0
0.630,-9.5,0.2,-3.2,10.0
0.640,-9.5,0.2,-3.2,10.0
0.650,-9.5,0.2,-3.2,10.0
0.660,-9.5,0.2,-3.2,10.0
0.670,-9.5,0.2,-3.2,10.0
0.680,-9.4,0.2,-3.2,10.0
0.690,-9.5,0.3,-3.3,10.0
0.700,-9.5,0.3,-3.3,10.0
0.710,-9.5,0.3,-3.3,10.0
0.720,-9.5,0.3,-3.3,10.0
0.730,-9.5,0.3,-3.3,10.0
0.740,-9.3,0.4,-3.5,9.9
0.750,-9.3,0.4,-3.5,9.9
0.760,-9.3,0.4,-3.5,9.9
0.770,-9.3,0.4,-3.5,9.9
0.780,-9.3,0.4,-3.5,9.9
0.790,-9.3,0.4,-3.4,9.9
0.800,-9.4,0.4,-3.5,10.0
0.810,-9.4,0.4,-3.5,10.0
0.820,-9.4,0.4,-3.5,10.0
0.830,-9.4,0.4,-3.5,10.0
0.840,-9.3,0.5,-3.8,10.0
0.850,-9.3,0.5,-3.8,10.0
0.860,-9.3,0.5,-3.8,10.0
0.870,-9.3,0.5,-3.8,10.0
0.880,-9.3,0.5,-3.8,10.0
0.890,-9.2,0.4,-3.8,10.0
0.900,-9.2,0.4,-3.8,10.0
0.910,-9.2,0.4,-3.8,10.0
0.920,-9.2,0.4,-3.8,10.0
0.930,-9.1,0.3,-4.1,10.0
0.940,-9.1,0.3,-4.1,10.0
0.950,-9.1,0.3,-4.1,10.0
0.960,-9.1,0.3,-4.1,10.0
0.970,-8.8,0.4,-4.2,9.8
0.980,-8.8,0.4,-4.2,9.8
0.990,-8.8,0.4,-4.2,9.8
1.000,-8.8,0.4,-4.2,9.8
1.010,-8.8,0.4,-4.2,9.8
1.020,-8.9,0.3,-4.0,9.7
1.030,-8.9,0.3,-4.0,9.7
1.040,-8.9,0.3,-4.0,9.7
1.050,-8.9,0.3,-4.0,9.7
1.060,-8.9,0.3,-4.0,9.7
1.070,-9.1,0.2,-4.4,10.1
1.080,-9.1,0.2,-4.4,10.1
1.090,-9.1,0.2,-4.4,10.1
1.100,-9.1,0.2,-4.4,10.1
1.110,-8.6,0.1,-4.2,9.6
1.120,-8.6,0.1,-4.2,9.6
1.130,-8.6,0.1,-4.2,9.6
1.140,-8.6,0.1,-4.2,9.6
1.150,-8.6,0.1,-4.2,9.6
1.160,-8.3,-0.8,-3.6,9.1
