Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.3,0.2,-1.4,9.4
0.010,-10.1,0.4,-0.9,10.2
0.020,-10.1,0.4,-0.9,10.2
0.030,-10.1,0.4,-0.9,10.2
0.040,-10.1,0.4,-0.9,10.2
0.050,-9.2,0.5,-1.5,9.4
0.060,-9.2,0.5,-1.5,9.4
0.070,-9.2,0.5,-1.5,9.4
0.080,-9.2,0.5,-1.5,9.4
0.090,-9.5,0.8,-1.3,9.7
0.100,-9.5,0.8,-1.3,9.7
0.110,-9.5,0.8,-1.3,9.7
0.120,-9.5,0.8,-1.3,9.7
0.130,-9.5,0.8,-1.3,9.7
0.140,-9.7,0.5,-1.4,9.8
0.150,-9.7,0.5,-1.4,9.8
0.160,-9.7,0.5,-1.4,9.8
0.170,-9.7,0.5,-1.4,9.8
0.180,-9.7,0.5,-1.4,9.8
0.190,-10.0,0.3,-1.5,10.1
0.200,-10.0,0.3,-1.5,10.1
0.210,-10.0,0.3,-1.5,10.1
0.220,-10.0,0.3,-1.5,10.1
0.230,-10.0,0.3,-1.5,10.1
0.240,-9.6,0.3,-1.4,9.7
0.250,-9.6,0.3,-1.4,9.7
0.260,-9.6,0.3,-1.4,9.7
0.270,-9.6,0.3,-1.4,9.7
0.280,-10.4,0.4,-1.1,10.5
0.290,-10.4,0.4,-1.1,10.5
0.300,-10.4,0.4,-1.1,10.5
0.310,-10.4,0.4,-1.1,10.5
0.320,-10.4,0.4,-1.1,10.5
0.330,-8.6,0.0,-1.7,8.7
0.340,-8.6,0.0,-1.7,8.7
0.350,-8.6,0.0,-1.7,8.7
0.360,-8.6,0.0,-1.7,8.7
0.370,-9.6,0.1,-1.4,9.7
0.380,-9.6,0.1,-1.4,9.7
0.390,-9.6,0.1,-1.4,9.7
0.400,-9.6,0.1,-1.4,9.7
0.410,-10.3,-0.7,-1.1,10.4
0.420,-10.3,-0.7,-1.1,10.4
0.430,-10.3,-0.7,-1.1,10.4
0.440,-10.3,-0.7,-1.1,10.4
0.450,-10.3,-0.7,-1.1,10.4
0.460,-9.6,0.3,-1.3,9.7
0.470,-9.6,0.3,-1.3,9.7
0.480,-9.6,0.3,-1.3,9.7
0.490,-9.6,0.3,-1.3,9.7
0.500,-9.6,0.3,-1.3,9.7
0.510,-9.7,0.5,-1.4,9.8
0.520,-9.7,0.5,-1.4,9.8
0.530,-9.7,0.5,-1.4,9.8
0.540,-9.7,0.5,-1.4,9.8
0.550,-9.6,0.2,-1.6,9.7
0.560,-9.6,0.2,-1.6,9.7
0.570,-9.6,0.2,-1.6,9.7
0.580,-9.6,0.2,-1.6,9.7
0.590,-9.6,0.2,-1.6,9.7
0.600,-9.4,0.7,-1.4,9.5
0.610,-9.4,0.7,-1.4,9.5
0.620,-9.4,0.7,-1.4,9.5
0.630,-9.4,0.7,-1.4,9.5
0.640,-9.4,0.7,-1.4,9.5
