Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-10.4,0.1,-0.9,10.5
0.010,-9.8,0.2,-1.5,10.0
0.020,-9.8,0.2,-1.5,10.0
0.030,-9.8,0.2,-1.5,10.0
0.040,-9.8,0.2,-1.5,10.0
0.050,-9.8,0.2,-1.5,9.9
0.060,-9.8,0.2,-1.5,9.9
0.070,-9.8,0.2,-1.5,9.9
0.080,-9.8,0.2,-1.5,9.9
0.090,-9.8,0.2,-1.5,9.9
0.100,-9.8,0.2,-1.5,9.9
0.110,-9.8,0.2,-1.5,9.9
0.120,-9.8,0.2,-1.5,9.9
0.130,-9.8,0.2,-1.5,9.9
0.140,-9.7,0.2,-1.5,9.8
0.150,-9.7,0.2,-1.5,9.8
0.160,-9.7,0.2,-1.5,9.8
0.170,-9.7,0.1,-1.4,9.8
0.180,-9.7,0.1,-1.4,9.8
0.190,-9.7,0.1,-1.4,9.8
0.200,-9.7,0.1,-1.4,9.8
0.210,-9.7,0.2,-1.5,9.8
0.220,-9.7,0.2,-1.5,9.8
0.230,-9.7,0.2,-1.5,9.8
0.240,-9.7,0.2,-1.5,9.8
0.250,-9.8,0.2,-1.5,9.9
0.260,-9.8,0.2,-1.6,9.9
0.270,-9.8,0.2,-1.6,9.9
0.280,-9.8,0.2,-1.6,9.9
0.290,-9.8,0.2,-1.6,9.9
0.300,-9.8,0.2,-1.6,9.9
0.310,-9.9,0.2,-1.5,10.0
0.320,-9.9,0.2,-1.5,10.0
0.330,-9.9,0.2,-1.5,10.0
0.340,-9.9,0.2,-1.5,10.0
0.350,-9.9,0.2,-1.5,10.0
0.360,-9.9,0.2,-1.5,10.0
0.370,-9.9,0.2,-1.5,10.0
0.380,-9.9,0.2,-1.5,10.0
0.390,-9.9,0.2,-1.5,10.0
0.400,-9.6,0.2,-1.4,9.7
0.410,-9.6,0.2,-1.4,9.7
0.420,-9.6,0.2,-1.4,9.7
0.430,-9.6,0.2,-1.4,9.7
0.440,-9.6,0.2,-1.4,9.7
0.450,-9.7,0.1,-1.7,9.8
0.460,-9.7,0.1,-1.7,9.8
0.470,-9.7,0.1,-1.7,9.8
0.480,-9.7,0.1,-1.7,9.8
0.490,-9.7,0.1,-1.7,9.8
0.500,-9.8,0.1,-1.6,9.9
0.510,-9.8,0.1,-1.6,9.9
0.520,-9.8,0.1,-1.6,9.9
0.530,-9.8,0.1,-1.6,9.9
0.540,-9.8,0.1,-1.6,9.9
0.550,-9.7,0.1,-1.6,9.8
0.560,-9.7,0.1,-1.6,9.8
0.570,-9.7,0.1,-1.6,9.8
0.580,-9.7,0.1,-1.6,9.8
0.590,-9.7,0.1,-1.6,9.8
0.600,-9.7,0.1,-1.6,9.8
0.610,-9.7,0.2,-1.6,9.8
0.620,-9.7,0.2,-1.6,9.8
0.630,-9.7,0.2,-1.6,9.8
0.640,-9.7,0.2,-1.6,9.8
0.650,-9.7,0.2,-1.6,9.8
0.660,-9.8,0.1,-1.5,9.9
0.670,-9.8,0.1,-1.5,9.9
0.680,-9.8,0.1,-1.5,9.9
0.690,-9.8,0.1,-1.5,9.9
0.700,-9.8,0.1,-1.5,9.9
0.710,-9.7,0.1,-1.6,9.8
0.720,-9.7,0.1,-1.6,9.8
0.730,-9.7,0.1,-1.6,9.8
