Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.1,0.2,-4.4,10.1
0.010,-8.9,-0.2,-4.3,9.9
0.020,-8.9,-0.2,-4.3,9.9
0.030,-8.9,-0.2,-4.3,9.9
0.040,-8.9,-0.1,-4.3,9.9
0.050,-8.9,-0.1,-4.3,9.9
0.060,-8.9,-0.1,-4.3,9.9
0.070,-8.9,-0.1,-4.3,9.9
0.080,-8.9,-0.1,-4.3,9.9
0.090,-8.8,-0.2,-4.2,9.7
0.100,-8.8,-0.2,-4.2,9.7
0.110,-8.8,-0.2,-4.2,9.7
0.120,-8.8,-0.2,-4.2,9.7
0.130,-8.8,-0.2,-4.2,9.7
0.140,-8.9,-0.1,-4.3,9.8
0.150,-8.9,-0.1,-4.3,9.8
0.160,-8.9,-0.1,-4.3,9.8
0.170,-8.9,-0.1,-4.3,9.8
0.180,-8.9,-0.1,-4.3,9.9
0.190,-8.9,-0.1,-4.3,9.9
0.200,-8.9,-0.1,-4.3,9.9
0.210,-8.9,-0.1,-4.3,9.9
0.220,-8.9,-0.1,-4.3,9.9
0.230,-8.8,0.0,-4.3,9.8
0.240,-8.8,0.0,-4.3,9.8
0.250,-8.8,0.0,-4.3,9.8
0.260,-8.8,0.0,-4.3,9.8
0.270,-8.8,-0.1,-4.3,9.8
0.280,-8.8,-0.1,-4.3,9.8
0.290,-8.8,-0.1,-4.2,9.8
0.300,-8.8,-0.1,-4.2,9.8
0.310,-8.8,-0.1,-4.2,9.8
0.320,-8.8,-0.1,-4.2,9.8
0.330,-8.8,0.0,-4.1,9.7
0.340,-8.8,0.0,-4.1,9.7
0.350,-8.8,0.0,-4.1,9.7
0.360,-8.8,0.0,-4.1,9.7
0.370,-8.8,0.0,-4.1,9.7
0.380,-8.7,-0.1,-4.1,9.6
0.390,-8.7,-0.1,-4.1,9.6
0.400,-9.3,0.0,-4.4,10.3
