Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.0,0.2,-3.9,9.8
0.010,-9.1,0.2,-3.8,9.9
0.020,-9.1,0.2,-3.8,9.9
0.030,-9.1,0.2,-3.8,9.9
0.040,-9.1,0.2,-3.8,9.9
0.050,-9.1,0.2,-3.8,9.9
0.060,-9.0,0.2,-4.0,9.9
0.070,-9.0,0.2,-4.0,9.9
0.080,-9.0,0.2,-4.0,9.9
0.090,-9.0,0.2,-4.0,9.9
0.100,-9.1,0.2,-3.9,9.9
0.110,-9.1,0.2,-3.9,9.9
0.120,-9.1,0.2,-3.9,9.9
0.130,-9.1,0.2,-3.9,9.9
0.140,-9.1,0.2,-3.9,9.9
0.150,-9.1,0.2,-3.9,9.9
0.160,-9.1,0.2,-3.9,9.9
0.170,-9.1,0.2,-3.9,9.9
0.180,-9.1,0.2,-3.9,9.9
0.190,-9.1,0.2,-3.9,9.9
0.200,-9.1,0.2,-3.9,9.9
0.210,-9.1,0.2,-3.9,9.9
0.220,-9.1,0.2,-3.8,9.9
0.230,-9.1,0.2,-3.8,9.9
0.240,-9.1,0.2,-3.8,9.9
0.250,-9.0,0.1,-3.9,9.9
0.260,-9.0,0.1,-3.9,9.9
0.270,-9.1,0.2,-3.9,9.9
0.280,-9.1,0.2,-3.9,9.9
0.290,-9.1,0.2,-3.9,9.9
0.300,-9.1,0.2,-3.9,9.9
0.310,-9.1,0.2,-3.9,9.9
0.320,-9.0,0.2,-3.8,9.8
0.330,-9.0,0.2,-3.8,9.8
0.340,-9.0,0.2,-3.8,9.8
0.350,-9.3,0.3,-3.5,10.0
0.360,-9.3,0.3,-3.5,10.0
0.370,-9.3,0.3,-3.5,10.0
0.380,-9.3,0.3,-3.5,10.0
0.390,-9.3,0.3,-3.5,10.0
0.400,-9.2,0.2,-3.7,9.9
0.410,-9.2,0.2,-3.7,9.9
0.420,-9.2,0.2,-3.7,9.9
0.430,-9.2,0.2,-3.7,9.9
0.440,-9.2,0.2,-3.7,9.9
0.450,-9.2,0.2,-3.7,9.9
0.460,-9.2,0.2,-3.7,9.9
0.470,-9.2,0.2,-3.7,9.9
0.480,-9.1,0.2,-3.7,9.8
0.490,-9.1,0.2,-3.7,9.8
0.500,-9.1,0.2,-3.7,9.8
0.510,-9.1,0.2,-3.7,9.8
0.520,-9.1,0.2,-3.7,9.9
0.530,-9.1,0.2,-3.7,9.9
0.540,-9.1,0.2,-3.7,9.9
0.550,-9.1,0.2,-3.7,9.9
0.560,-9.1,0.2,-3.7,9.9
0.570,-9.2,0.2,-3.7,9.9
0.580,-9.2,0.2,-3.7,9.9
0.590,-9.2,0.2,-3.7,9.9
0.600,-9.2,0.2,-3.7,9.9
0.610,-9.2,0.2,-3.7,9.9
0.620,-9.2,0.2,-3.7,9.9
0.630,-9.2,0.2,-3.7,9.9
0.640,-9.2,0.2,-3.7,9.9
0.650,-9.2,0.2,-3.7,9.9
0.660,-9.2,0.2,-3.7,9.9
0.670,-9.2,0.2,-3.7,9.9
0.680,-9.1,0.2,-3.7,9.8
0.690,-9.1,0.2,-3.7,9.9
0.700,-9.1,0.2,-3.7,9.9
0.710,-9.1,0.2,-3.7,9.9
0.720,-9.1,0.2,-3.7,9.9
0.730,-9.1,0.2,-3.7,9.9
0.740,-9.3,0.4,-3.7,10.0
0.750,-9.3,0.4,-3.7,10.0
0.760,-9.3,0.4,-3.7,10.0
0.770,-9.3,0.4,-3.7,10.0
0.780,-9.3,0.4,-3.7,10.0
0.790,-9.4,0.6,-4.0,10.2
0.800,-9.4,0.6,-4.0,10.2
0.810,-9.4,0.6,-4.0,10.2
0.820,-9.4,0.6,-4.0,10.2
0.830,-9.4,0.6,-4.0,10.2
0.840,-8.8,1.0,-4.1,9.8
0.850,-8.8,1.0,-4.1,9.8
0.860,-8.8,1.0,-4.1,9.8
0.870,-8.8,1.0,-4.1,9.8
0.880,-8.8,1.0,-4.1,9.8
0.890,-8.8,1.2,-4.2,9.8
0.900,-8.8,1.2,-4.2,9.8
0.910,-8.8,1.2,-4.2,9.8
0.920,-8.8,1.2,-4.2,9.8
0.930,-9.3,0.9,-4.1,10.2
0.940,-9.3,0.9,-4.1,10.2
0.950,-9.3,0.9,-4.1,10.2
0.960,-9.3,0.9,-4.1,10.2
0.970,-9.3,0.9,-4.1,10.2
0.980,-9.2,0.6,-4.1,10.1
0.990,-9.2,0.6,-4.1,10.1
1.000,-9.2,0.6,-4.1,10.1
1.010,-8.9,0.9,-4.3,9.9
1.020,-8.9,0.9,-4.3,9.9
1.030,-8.9,0.9,-4.3,9.9
1.040,-8.9,0.9,-4.3,9.9
1.050,-8.6,0.9,-4.4,9.7
1.060,-8.6,0.9,-4.4,9.7
1.070,-8.6,0.9,-4.4,9.7
1.080,-8.6,0.9,-4.4,9.7
1.090,-8.6,0.9,-4.4,9.7
1.100,-8.6,0.5,-4.4,9.6
1.110,-8.6,0.5,-4.4,9.6
1.120,-8.6,0.5,-4.4,9.6
1.130,-8.6,0.5,-4.4,9.6
1.140,-8.6,0.5,-4.4,9.6
1.150,-9.0,0.5,-4.4,10.1
1.160,-9.0,0.5,-4.4,10.1
1.170,-9.0,0.5,-4.4,10.1
1.180,-9.0,0.5,-4.4,10.1
1.190,-9.0,0.5,-4.4,10.1
