Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.1,0.0,-4.1,10.0
0.010,-9.1,0.0,-4.1,10.0
0.020,-9.1,0.0,-4.1,10.0
0.030,-9.1,0.0,-4.1,10.0
0.040,-9.1,0.0,-4.1,10.0
0.050,-9.0,0.1,-4.0,9.9
0.060,-9.0,0.1,-4.0,9.9
0.070,-9.0,0.1,-4.0,9.9
0.080,-9.0,0.1,-4.0,9.9
0.090,-9.0,0.1,-4.0,9.9
0.100,-9.0,0.1,-4.1,9.9
0.110,-9.0,0.1,-4.1,9.9
0.120,-9.0,0.1,-4.1,9.9
0.130,-9.0,0.1,-4.1,9.9
0.140,-9.0,0.0,-4.2,10.0
0.150,-9.0,0.0,-4.2,10.0
0.160,-9.0,0.0,-4.2,10.0
0.170,-9.0,0.0,-4.2,10.0
0.180,-9.0,0.0,-4.2,10.0
0.190,-9.1,0.1,-4.2,10.0
0.200,-9.1,0.1,-4.2,10.0
0.210,-9.1,0.1,-4.2,10.0
0.220,-9.1,0.1,-4.2,10.0
0.230,-9.1,0.1,-4.2,10.0
0.240,-9.0,0.1,-4.2,10.0
0.250,-9.0,0.1,-4.2,10.0
0.260,-9.0,0.1,-4.2,10.0
0.270,-9.0,0.1,-4.2,10.0
0.280,-9.0,0.1,-4.2,10.0
0.290,-9.0,0.1,-4.2,9.9
0.300,-9.0,0.1,-4.2,9.9
0.310,-9.1,-0.1,-3.7,9.8
0.320,-9.1,-0.1,-3.7,9.8
0.330,-9.1,-0.1,-3.7,9.8
0.340,-9.1,-0.1,-3.7,9.8
0.350,-9.0,-0.1,-3.8,9.8
0.360,-9.0,-0.1,-3.8,9.8
0.370,-9.0,-0.1,-3.8,9.8
0.380,-9.0,-0.1,-3.8,9.8
0.390,-9.0,-0.1,-3.8,9.8
0.400,-9.1,-0.2,-4.1,10.0
0.410,-9.1,-0.2,-4.1,10.0
0.420,-9.1,-0.2,-4.1,10.0
0.430,-9.1,-0.2,-4.1,10.0
0.440,-9.1,-0.2,-4.1,10.0
0.450,-9.2,-0.2,-4.0,10.0
0.460,-9.2,-0.2,-4.0,10.0
0.470,-9.2,-0.2,-4.0,10.0
0.480,-9.2,-0.2,-4.0,10.0
0.490,-8.9,-0.1,-4.0,9.8
0.500,-8.9,-0.1,-4.0,9.8
0.510,-8.9,-0.1,-4.0,9.8
0.520,-8.9,-0.1,-4.0,9.8
0.530,-8.9,-0.1,-4.0,9.8
0.540,-9.2,-0.1,-4.0,10.1
0.550,-9.2,-0.1,-4.0,10.1
0.560,-9.2,-0.1,-4.0,10.1
0.570,-9.2,-0.1,-4.0,10.1
0.580,-9.2,-0.1,-4.0,10.1
0.590,-9.2,-0.1,-4.0,10.0
0.600,-9.2,-0.1,-4.0,10.0
0.610,-9.2,-0.1,-4.0,10.0
0.620,-9.2,-0.1,-4.0,10.0
0.630,-9.2,-0.1,-4.0,10.0
0.640,-9.2,-0.2,-4.1,10.0
0.650,-9.2,-0.2,-4.1,10.0
0.660,-9.2,-0.2,-4.1,10.0
0.670,-9.2,-0.2,-4.1,10.0
0.680,-9.0,0.5,-3.8,9.8
0.690,-9.0,0.5,-3.8,9.8
0.700,-9.0,0.5,-3.8,9.8
0.710,-9.0,0.5,-3.8,9.8
0.720,-9.0,0.5,-3.8,9.8
0.730,-9.0,0.9,-3.8,9.8
0.740,-9.0,0.9,-3.8,9.8
0.750,-9.0,0.9,-3.8,9.8
0.760,-9.0,0.9,-3.8,9.8
0.770,-9.0,0.9,-3.8,9.8
0.780,-8.4,1.1,-3.1,9.1
0.790,-8.4,1.1,-3.1,9.1
0.800,-8.4,1.1,-3.1,9.1
0.810,-8.4,1.1,-3.1,9.1
0.820,-8.7,0.7,-3.4,9.4
0.830,-8.7,0.7,-3.4,9.4
0.840,-8.7,0.7,-3.4,9.4
0.850,-8.7,0.7,-3.4,9.4
0.860,-9.1,1.1,-3.6,9.8
0.870,-9.1,1.1,-3.6,9.8
0.880,-9.1,1.1,-3.6,9.8
0.890,-9.1,1.4,-3.8,10.0
0.900,-9.1,1.4,-3.8,10.0
0.910,-9.1,1.4,-3.8,10.0
0.920,-9.1,1.4,-3.8,10.0
0.930,-8.6,1.4,-4.0,9.6
0.940,-8.6,1.4,-4.0,9.6
0.950,-8.6,1.4,-4.0,9.6
0.960,-8.6,1.4,-4.0,9.6
0.970,-8.6,1.4,-4.0,9.6
0.980,-9.5,0.5,-3.5,10.1
0.990,-9.5,0.5,-3.5,10.1
1.000,-9.5,0.5,-3.5,10.1
1.010,-9.5,0.5,-3.5,10.1
1.020,-9.5,0.5,-3.5,10.1
1.030,-10.1,-0.5,-4.4,11.0
1.040,-10.1,-0.5,-4.4,11.0
1.050,-10.1,-0.5,-4.4,11.0
1.060,-10.1,-0.5,-4.4,11.0
1.070,-10.1,-0.5,-4.4,11.0
1.080,-9.0,-1.5,-4.2,10.0
1.090,-9.0,-1.5,-4.2,10.0
1.100,-9.0,-1.5,-4.2,10.0
1.110,-9.0,-1.5,-4.2,10.0
1.120,-9.0,-1.5,-4.2,10.0
1.130,-9.3,-1.8,-4.0,10.3
1.140,-9.3,-1.8,-4.0,10.3
1.150,-9.3,-1.8,-4.0,10.3
1.160,-9.3,-1.8,-4.0,10.3
1.170,-9.3,-1.8,-4.0,10.3
1.180,-10.2,-1.7,-4.0,11.1
1.190,-10.2,-1.7,-4.0,11.1
1.200,-10.2,-1.7,-4.0,11.1
1.210,-10.2,-1.7,-4.0,11.1
1.220,-10.1,-1.6,-4.0,11.0
1.230,-10.1,-1.6,-4.0,11.0
1.240,-9.0,-2.1,-3.8,10.0
1.250,-9.0,-2.1,-3.8,10.0
1.260,-9.0,-2.1,-3.8,10.0
1.270,-9.0,-2.1,-3.8,10.0
1.280,-8.3,-1.7,-3.8,9.3
1.290,-8.3,-1.7,-3.8,9.3
1.300,-8.3,-1.7,-3.8,9.3
1.310,-8.3,-1.7,-3.8,9.3
1.320,-8.3,-1.7,-3.8,9.3
1.330,-8.7,-1.4,-3.9,9.6
1.340,-8.7,-1.4,-3.9,9.6
1.350,-8.7,-1.4,-3.9,9.6
1.360,-8.7,-1.4,-3.9,9.6
1.370,-8.7,-1.4,-3.9,9.6
1.380,-8.8,-1.5,-3.7,9.6
1.390,-8.8,-1.5,-3.7,9.6
1.400,-9.1,-1.0,-3.5,9.8
1.410,-9.1,-1.0,-3.5,9.8
1.420,-9.1,-1.0,-3.5,9.8
1.430,-9.1,-1.0,-3.5,9.8
1.440,-9.4,-0.7,-3.2,9.9
1.450,-9.4,-0.7,-3.2,9.9
1.460,-9.4,-0.7,-3.2,9.9
1.470,-9.4,-0.7,-3.2,9.9
1.480,-9.4,-0.7,-3.2,9.9
1.490,-9.3,-0.7,-3.1,9.8
1.500,-9.3,-0.7,-3.1,9.8
1.510,-9.1,-0.6,-3.6,9.8
1.520,-9.1,-0.6,-3.6,9.8
1.530,-9.1,-0.6,-3.6,9.8
1.540,-9.1,-0.6,-3.6,9.8
1.550,-9.1,-0.6,-3.6,9.8
1.560,-8.8,-0.7,-2.9,9.3
1.570,-8.8,-0.7,-2.9,9.3
1.580,-8.8,-0.7,-2.9,9.3
1.590,-8.8,-0.7,-2.9,9.3
1.600,-8.8,-0.7,-2.9,9.3
1.610,-9.2,-0.1,-3.2,9.7
1.620,-9.0,0.6,-3.3,9.6
1.630,-9.0,0.6,-3.3,9.6
1.640,-9.0,0.6,-3.3,9.6
1.650,-9.0,0.6,-3.3,9.6
1.660,-9.0,0.6,-3.3,9.6
1.670,-9.2,0.3,-3.1,9.7
1.680,-9.2,0.3,-3.1,9.7
1.690,-9.2,0.3,-3.1,9.7
1.700,-9.2,0.3,-3.1,9.7
1.710,-9.2,0.3,-3.1,9.7
1.720,-9.5,0.7,-2.7,9.9
1.730,-9.5,0.7,-2.7,9.9
1.740,-9.5,0.7,-2.7,9.9
