Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-8.7,-0.6,-4.3,9.7
0.010,-9.0,-0.4,-4.3,9.9
0.020,-9.0,-0.4,-4.3,9.9
0.030,-9.0,-0.4,-4.3,9.9
0.040,-9.0,-0.4,-4.3,9.9
0.050,-8.8,-0.3,-4.3,9.8
0.060,-8.8,-0.3,-4.3,9.8
0.070,-8.8,-0.3,-4.3,9.8
0.080,-8.8,-0.3,-4.3,9.8
0.090,-8.8,-0.3,-4.3,9.8
0.100,-9.0,-0.4,-4.3,10.0
0.110,-9.0,-0.4,-4.3,10.0
0.120,-9.0,-0.4,-4.3,10.0
0.130,-8.8,-0.4,-4.3,9.8
0.140,-8.8,-0.4,-4.3,9.8
0.150,-8.8,-0.4,-4.3,9.8
0.160,-8.8,-0.4,-4.3,9.8
0.170,-8.8,-0.4,-4.3,9.8
0.180,-8.9,-0.4,-4.3,9.9
0.190,-8.9,-0.4,-4.3,9.9
0.200,-8.9,-0.4,-4.3,9.9
0.210,-9.0,-0.5,-4.4,10.0
0.220,-9.0,-0.5,-4.4,10.0
0.230,-9.0,-0.5,-4.4,10.0
0.240,-9.0,-0.5,-4.4,10.0
0.250,-9.0,-0.5,-4.4,10.0
0.260,-8.8,-0.5,-4.3,9.8
0.270,-8.8,-0.5,-4.3,9.8
0.280,-8.8,-0.5,-4.3,9.8
0.290,-8.8,-0.5,-4.3,9.8
0.300,-8.5,-0.3,-4.2,9.5
0.310,-8.5,-0.3,-4.2,9.5
0.320,-8.5,-0.3,-4.2,9.5
0.330,-8.5,-0.3,-4.2,9.5
0.340,-9.0,0.0,-4.2,10.0
0.350,-9.0,0.0,-4.2,10.0
0.360,-9.0,0.0,-4.2,10.0
0.370,-8.9,-0.5,-4.3,9.9
0.380,-8.9,-0.5,-4.3,9.9
0.390,-8.9,-0.5,-4.3,9.9
0.400,-8.9,-0.5,-4.3,9.9
0.410,-8.9,-0.5,-4.3,9.9
0.420,-8.9,-0.5,-4.3,9.9
0.430,-8.9,-0.5,-4.3,9.9
0.440,-8.9,-0.5,-4.3,9.9
0.450,-8.9,-0.5,-4.3,9.9
0.460,-8.9,-0.5,-4.3,9.9
0.470,-8.9,-0.2,-4.4,9.9
0.480,-8.9,-0.2,-4.4,9.9
0.490,-8.9,-0.2,-4.4,9.9
0.500,-8.9,-0.2,-4.4,9.9
0.510,-8.8,-0.3,-4.5,9.9
0.520,-8.8,-0.3,-4.5,9.9
0.530,-8.8,-0.3,-4.5,9.9
0.540,-8.8,-0.3,-4.5,9.9
0.550,-8.8,-0.3,-4.5,9.9
0.560,-8.8,-0.3,-4.3,9.8
0.570,-8.8,-0.3,-4.3,9.8
0.580,-8.8,-0.3,-4.3,9.8
0.590,-8.8,-0.3,-4.3,9.8
0.600,-8.8,-0.3,-4.3,9.8
0.610,-8.9,-0.2,-4.4,9.9
0.620,-8.9,-0.2,-4.4,9.9
0.630,-8.9,-0.2,-4.4,9.9
0.640,-8.9,-0.3,-4.3,9.9
0.650,-8.9,-0.3,-4.3,9.9
0.660,-8.9,-0.3,-4.3,9.9
0.670,-8.9,-0.3,-4.3,9.9
0.680,-8.9,-0.3,-4.3,9.9
0.690,-8.9,-0.3,-4.3,9.9
0.700,-8.9,-0.3,-4.3,9.9
0.710,-8.9,-0.3,-4.3,9.9
0.720,-8.9,-0.3,-4.4,9.9
0.730,-8.9,-0.3,-4.4,9.9
0.740,-8.9,-0.3,-4.4,9.9
0.750,-8.9,-0.3,-4.4,9.9
0.760,-8.9,-0.3,-4.4,9.9
0.770,-8.9,-0.2,-4.3,9.9
0.780,-8.9,-0.2,-4.3,9.9
0.790,-8.9,-0.2,-4.3,9.9
0.800,-8.9,-0.2,-4.3,9.9
0.810,-9.0,-0.3,-4.3,9.9
0.820,-9.0,-0.3,-4.3,9.9
0.830,-9.0,-0.3,-4.3,9.9
0.840,-9.0,-0.3,-4.3,9.9
0.850,-9.0,-0.3,-4.3,9.9
0.860,-8.9,-0.4,-4.3,9.9
0.870,-8.9,-0.4,-4.3,9.9
0.880,-8.9,-0.4,-4.3,9.9
0.890,-8.9,-0.4,-4.3,9.9
0.900,-8.9,-0.4,-4.3,9.9
0.910,-8.9,-0.4,-4.3,9.9
0.920,-8.6,-0.4,-4.3,9.7
0.930,-8.6,-0.4,-4.3,9.7
0.940,-8.6,-0.4,-4.3,9.7
0.950,-8.6,-0.4,-4.3,9.7
0.960,-8.6,-0.4,-4.3,9.7
0.970,-8.4,-0.3,-4.4,9.5
0.980,-8.4,-0.3,-4.4,9.5
0.990,-8.4,-0.3,-4.4,9.5
1.000,-8.4,-0.3,-4.4,9.5
1.010,-8.4,-0.3,-4.4,9.5
1.020,-8.2,-0.5,-4.5,9.4
1.030,-8.2,-0.5,-4.5,9.4
1.040,-8.2,-0.5,-4.5,9.4
