Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.1,-0.5,-3.9,9.9
0.010,-9.1,-0.4,-4.0,9.9
0.020,-9.1,-0.4,-4.0,9.9
0.030,-9.1,-0.4,-4.0,9.9
0.040,-9.1,-0.4,-4.0,9.9
0.050,-9.1,-0.4,-4.0,9.9
0.060,-8.9,-0.3,-3.9,9.7
0.070,-8.9,-0.3,-3.9,9.7
0.080,-8.9,-0.3,-3.9,9.7
0.090,-8.9,-0.3,-3.9,9.7
0.100,-8.9,-0.3,-4.0,9.8
0.110,-8.9,-0.3,-4.0,9.8
0.120,-9.0,-0.2,-4.0,9.9
0.130,-9.0,-0.2,-4.0,9.9
0.140,-9.0,-0.2,-4.0,9.9
0.150,-9.0,-0.3,-4.0,9.8
0.160,-9.0,-0.3,-4.0,9.8
0.170,-9.0,-0.3,-4.0,9.8
0.180,-9.0,-0.3,-4.0,9.8
0.190,-9.0,-0.3,-4.0,9.8
0.200,-9.1,-0.3,-3.9,9.9
0.210,-9.1,-0.3,-3.9,9.9
0.220,-9.1,-0.3,-3.9,9.9
0.230,-9.1,-0.3,-3.9,9.9
0.240,-9.1,-0.3,-3.9,9.9
0.250,-9.0,-0.3,-3.9,9.8
0.260,-9.0,-0.3,-3.9,9.8
0.270,-9.0,-0.4,-4.0,9.9
0.280,-9.0,-0.4,-4.0,9.9
0.290,-9.0,-0.4,-4.0,9.9
0.300,-9.0,-0.4,-4.0,9.9
0.310,-9.0,-0.4,-4.0,9.9
0.320,-8.9,-0.4,-4.0,9.8
0.330,-8.9,-0.4,-4.0,9.8
0.340,-8.9,-0.4,-4.0,9.8
0.350,-8.9,-0.4,-4.0,9.8
0.360,-8.8,-0.3,-4.2,9.7
0.370,-8.8,-0.3,-4.2,9.7
0.380,-8.8,-0.3,-4.2,9.7
0.390,-8.8,-0.3,-4.2,9.7
0.400,-8.8,-0.3,-4.2,9.7
0.410,-9.1,-0.2,-3.8,9.9
0.420,-9.1,-0.2,-3.8,9.9
0.430,-9.1,-0.2,-3.8,9.9
0.440,-9.1,-0.2,-3.8,9.9
0.450,-9.1,-0.2,-3.8,9.9
0.460,-9.2,-0.1,-3.4,9.8
0.470,-9.2,-0.1,-3.4,9.8
0.480,-9.2,-0.1,-3.4,9.8
0.490,-9.2,-0.1,-3.4,9.8
0.500,-9.2,-0.1,-3.4,9.8
0.510,-9.4,-0.2,-3.8,10.1
0.520,-9.4,-0.2,-3.8,10.1
0.530,-9.3,-0.5,-3.8,10.0
0.540,-9.3,-0.5,-3.8,10.0
0.550,-9.3,-0.5,-3.8,10.0
0.560,-9.3,-0.5,-3.8,10.0
0.570,-9.3,-0.5,-3.8,10.0
0.580,-8.9,-0.4,-4.0,9.8
0.590,-8.9,-0.4,-4.0,9.8
0.600,-8.9,-0.4,-4.0,9.8
0.610,-8.9,-0.4,-4.0,9.8
0.620,-8.9,-0.4,-4.0,9.8
0.630,-8.9,-0.4,-4.1,9.8
0.640,-8.9,-0.4,-4.1,9.8
0.650,-8.9,-0.4,-4.1,9.8
0.660,-8.9,-0.4,-4.1,9.8
0.670,-8.9,-0.4,-4.1,9.8
0.680,-8.9,-0.3,-4.0,9.7
0.690,-8.9,-0.3,-4.0,9.7
0.700,-8.9,-0.3,-4.0,9.7
0.710,-8.9,-0.3,-4.0,9.7
0.720,-9.0,-0.2,-4.0,9.8
0.730,-9.0,-0.2,-4.0,9.8
0.740,-9.0,-0.2,-4.0,9.8
0.750,-9.0,-0.2,-4.0,9.8
0.760,-9.0,-0.2,-4.0,9.8
0.770,-9.0,-0.1,-3.9,9.8
0.780,-9.0,-0.1,-3.9,9.8
0.790,-9.0,-0.1,-3.9,9.8
0.800,-9.0,-0.1,-3.9,9.8
0.810,-9.1,-0.1,-4.0,9.9
0.820,-9.1,-0.1,-4.0,9.9
0.830,-9.1,-0.1,-4.0,9.9
0.840,-9.1,-0.1,-4.0,9.9
0.850,-9.1,-0.1,-4.0,9.9
0.860,-9.0,0.1,-4.0,9.9
0.870,-9.0,0.1,-4.0,9.9
0.880,-9.0,0.1,-4.0,9.9
0.890,-9.0,0.1,-4.0,9.9
0.900,-9.0,0.1,-4.0,9.9
0.910,-8.9,0.0,-4.3,9.9
0.920,-8.9,0.0,-4.3,9.9
0.930,-8.9,0.0,-4.3,9.9
0.940,-8.9,0.0,-4.3,9.9
0.950,-8.9,0.0,-4.3,9.9
0.960,-9.0,-0.2,-4.3,10.0
0.970,-9.0,-0.2,-4.3,10.0
0.980,-8.8,0.0,-3.9,9.7
0.990,-8.8,0.0,-3.9,9.7
1.000,-8.8,0.0,-3.9,9.7
1.010,-8.8,0.0,-3.9,9.7
1.020,-9.3,0.1,-3.2,9.8
1.030,-9.3,0.1,-3.2,9.8
1.040,-9.3,0.1,-3.2,9.8
1.050,-9.3,0.1,-3.2,9.8
1.060,-9.3,0.1,-3.2,9.8
1.070,-9.9,-0.1,-3.5,10.4
1.080,-9.9,-0.1,-3.5,10.4
1.090,-9.9,-0.1,-3.5,10.4
1.100,-9.9,-0.1,-3.5,10.4
1.110,-9.9,-0.1,-3.5,10.4
1.120,-9.2,-0.8,-4.1,10.1
1.130,-9.2,-0.8,-4.1,10.1
1.140,-9.2,-0.8,-4.1,10.1
1.150,-8.8,-1.0,-4.4,9.9
1.160,-8.8,-1.0,-4.4,9.9
1.170,-8.8,-1.0,-4.4,9.9
1.180,-7.3,-0.4,-4.9,8.8
1.190,-7.3,-0.4,-4.9,8.8
1.200,-7.3,-0.4,-4.9,8.8
1.210,-7.3,-0.4,-4.9,8.8
1.220,-7.3,-0.4,-4.9,8.8
1.230,-6.2,-1.8,-4.3,7.8
1.240,-6.2,-1.8,-4.3,7.8
1.250,-6.2,-1.8,-4.3,7.8
1.260,-6.2,-1.8,-4.3,7.8
1.270,-6.2,-1.8,-4.3,7.8
1.280,-11.8,-0.1,-3.3,12.2
1.290,-11.8,-0.1,-3.3,12.2
1.300,-11.8,-0.1,-3.3,12.2
1.310,-11.8,-0.1,-3.3,12.2
1.320,-11.8,-0.1,-3.3,12.2
1.330,-12.1,-0.9,-2.6,12.4
1.340,-12.1,-0.9,-2.6,12.4
1.350,-12.1,-0.9,-2.6,12.4
1.360,-12.1,-0.9,-2.6,12.4
1.370,-12.1,-0.9,-2.6,12.4
1.380,-8.1,-2.2,-3.4,9.1
1.390,-8.1,-2.2,-3.4,9.1
1.400,-8.1,-2.2,-3.4,9.1
1.410,-8.1,-2.2,-3.4,9.1
1.420,-8.1,-2.2,-3.4,9.1
1.430,-8.2,-1.9,-3.5,9.1
1.440,-8.2,-1.9,-3.5,9.1
1.450,-7.7,-1.4,-3.3,8.5
1.460,-7.7,-1.4,-3.3,8.5
1.470,-7.7,-1.4,-3.3,8.5
1.480,-7.7,-1.4,-3.3,8.5
1.490,-8.4,-1.1,-2.7,8.9
1.500,-8.4,-1.1,-2.7,8.9
1.510,-8.4,-1.1,-2.7,8.9
1.520,-8.4,-1.1,-2.7,8.9
1.530,-8.4,-1.1,-2.6,8.9
1.540,-8.8,-1.1,-2.6,9.3
1.550,-8.8,-1.1,-2.6,9.3
1.560,-8.8,-1.1,-2.6,9.3
1.570,-8.8,-1.1,-2.6,9.3
1.580,-8.8,-1.1,-2.6,9.3
1.590,-9.4,-0.6,-2.5,9.8
1.600,-9.4,-0.6,-2.5,9.8
1.610,-9.4,-0.6,-2.5,9.8
1.620,-9.3,-0.2,-3.0,9.8
1.630,-9.3,-0.2,-3.0,9.8
