Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.6,0.1,-3.1,10.1
0.010,-9.4,0.2,-3.1,9.9
0.020,-9.4,0.2,-3.1,9.9
0.030,-9.4,0.2,-3.1,9.9
0.040,-9.4,0.2,-3.1,9.9
0.050,-9.5,0.2,-3.0,10.0
0.060,-9.5,0.2,-3.0,10.0
0.070,-9.5,0.2,-3.0,10.0
0.080,-9.5,0.2,-3.0,10.0
0.090,-9.5,0.2,-3.0,10.0
0.100,-9.4,0.1,-3.0,9.9
0.110,-9.4,0.1,-3.0,9.9
0.120,-9.4,0.1,-3.0,9.9
0.130,-9.4,0.1,-3.0,9.9
0.140,-9.4,0.1,-2.9,9.8
0.150,-9.4,0.1,-2.9,9.8
0.160,-9.5,0.1,-2.8,9.9
0.170,-9.5,0.1,-2.8,9.9
0.180,-9.5,0.1,-2.8,9.9
0.190,-9.5,0.1,-2.8,9.9
0.200,-9.5,0.0,-2.7,9.9
0.210,-9.5,0.0,-2.7,9.9
0.220,-9.5,0.0,-2.7,9.9
0.230,-9.5,0.0,-2.7,9.9
0.240,-9.5,0.0,-2.7,9.9
0.250,-9.5,-0.1,-2.6,9.9
0.260,-9.5,-0.1,-2.6,9.9
0.270,-9.5,-0.1,-2.6,9.9
0.280,-9.5,-0.1,-2.6,9.9
0.290,-9.1,0.1,-2.5,9.5
0.300,-9.1,0.1,-2.5,9.5
0.310,-9.1,0.1,-2.5,9.5
0.320,-9.1,0.1,-2.5,9.5
0.330,-9.1,0.1,-2.5,9.5
0.340,-9.9,0.1,-2.6,10.2
0.350,-9.9,0.1,-2.6,10.2
0.360,-9.9,0.1,-2.6,10.2
0.370,-9.9,0.1,-2.6,10.2
0.380,-9.6,0.1,-2.6,9.9
0.390,-9.6,0.1,-2.6,9.9
0.400,-9.6,0.1,-2.6,9.9
0.410,-9.6,0.1,-2.6,9.9
0.420,-9.6,0.1,-2.6,9.9
0.430,-9.6,0.1,-2.4,9.9
0.440,-9.6,0.1,-2.4,9.9
0.450,-9.6,0.1,-2.4,9.9
0.460,-9.6,0.1,-2.4,9.9
0.470,-9.6,0.1,-2.4,9.9
0.480,-9.6,0.1,-2.4,9.9
0.490,-9.6,0.1,-2.4,9.9
0.500,-9.6,0.1,-2.4,9.9
0.510,-9.6,0.1,-2.4,9.9
0.520,-9.6,0.1,-2.4,9.9
0.530,-9.6,0.1,-2.4,9.9
0.540,-9.6,0.1,-2.4,9.9
0.550,-9.6,0.1,-2.4,9.9
0.560,-9.6,0.1,-2.4,9.9
0.570,-9.6,0.1,-2.4,9.9
0.580,-9.6,0.1,-2.4,9.9
0.590,-9.6,0.1,-2.4,9.9
0.600,-9.6,0.1,-2.4,9.9
0.610,-9.6,0.1,-2.4,9.9
0.620,-9.6,0.1,-2.4,9.9
0.630,-9.6,0.1,-2.4,9.9
0.640,-9.6,0.1,-2.4,9.9
0.650,-9.6,0.1,-2.5,9.9
0.660,-9.6,0.1,-2.5,9.9
0.670,-9.6,0.1,-2.5,9.9
0.680,-9.6,0.1,-2.3,9.9
0.690,-9.6,0.1,-2.3,9.9
0.700,-9.6,0.1,-2.3,9.9
0.710,-9.5,0.1,-2.2,9.7
0.720,-9.5,0.1,-2.2,9.7
0.730,-9.5,0.1,-2.2,9.7
0.740,-9.5,0.1,-2.2,9.7
0.750,-9.5,0.1,-2.2,9.7
0.760,-9.8,0.0,-2.2,10.0
0.770,-9.8,0.0,-2.2,10.0
0.780,-9.8,0.0,-2.2,10.0
0.790,-9.8,0.0,-2.2,10.0
0.800,-9.8,0.0,-2.2,10.0
0.810,-9.7,-0.1,-1.9,9.9
0.820,-9.7,-0.1,-1.9,9.9
0.830,-9.7,-0.1,-1.9,9.9
0.840,-9.7,-0.1,-1.9,9.9
0.850,-9.7,-0.6,-2.0,10.0
0.860,-9.7,-0.6,-2.0,10.0
0.870,-9.7,-0.6,-2.0,10.0
0.880,-9.7,-0.6,-2.0,10.0
0.890,-9.7,-0.6,-2.0,10.0
0.900,-9.7,-0.4,-1.7,9.8
0.910,-9.7,-0.4,-1.7,9.8
0.920,-9.7,-0.4,-1.7,9.8
0.930,-9.7,-0.4,-1.7,9.8
0.940,-9.7,-0.4,-1.7,9.8
0.950,-10.9,-0.7,-1.5,11.0
0.960,-10.9,-0.7,-1.5,11.0
0.970,-10.9,-0.7,-1.5,11.0
0.980,-10.9,-0.7,-1.5,11.0
0.990,-9.7,-0.9,-2.0,9.9
1.000,-9.7,-0.9,-2.0,9.9
1.010,-9.7,-0.9,-2.0,9.9
1.020,-9.7,-0.9,-2.0,9.9
1.030,-9.7,-0.9,-2.0,9.9
1.040,-8.4,-0.9,-2.4,8.8
1.050,-8.4,-0.9,-2.4,8.8
1.060,-8.4,-0.9,-2.4,8.8
1.070,-8.4,-0.9,-2.4,8.8
1.080,-8.4,-0.9,-2.4,8.8
1.090,-8.4,-1.3,-2.8,8.9
1.100,-8.4,-1.3,-2.8,8.9
1.110,-7.8,-0.2,-3.7,8.6
1.120,-7.8,-0.2,-3.7,8.6
1.130,-7.8,-0.2,-3.7,8.6
1.140,-7.8,-0.2,-3.7,8.6
1.150,-7.8,-0.2,-3.7,8.6
1.160,-8.7,2.6,-2.7,9.5
1.170,-8.7,2.6,-2.7,9.5
1.180,-8.7,2.6,-2.7,9.5
1.190,-8.7,2.6,-2.7,9.5
1.200,-9.8,0.4,-1.2,9.9
1.210,-9.8,0.4,-1.2,9.9
1.220,-9.8,0.4,-1.2,9.9
1.230,-9.8,0.4,-1.2,9.9
1.240,-12.2,-3.1,-2.2,12.8
1.250,-12.2,-3.1,-2.2,12.8
1.260,-12.2,-3.1,-2.2,12.8
1.270,-10.4,0.1,-1.4,10.5
1.280,-10.4,0.1,-1.4,10.5
1.290,-10.4,0.1,-1.4,10.5
1.300,-10.4,0.1,-1.4,10.5
1.310,-10.4,0.1,-1.4,10.5
1.320,-8.9,0.2,-3.2,9.5
1.330,-8.9,0.2,-3.2,9.5
1.340,-8.9,0.2,-3.2,9.5
1.350,-8.9,0.2,-3.2,9.5
1.360,-8.9,0.8,-2.4,9.2
1.370,-8.9,0.8,-2.4,9.2
1.380,-8.9,0.8,-2.4,9.2
1.390,-8.9,0.8,-2.4,9.2
1.400,-8.9,0.8,-2.4,9.2
1.410,-9.7,0.4,-1.8,9.9
1.420,-9.7,0.4,-1.8,9.9
1.430,-9.7,0.4,-1.8,9.9
1.440,-9.7,0.4,-1.8,9.9
1.450,-11.7,2.4,-1.8,12.1
1.460,-11.7,2.4,-1.8,12.1
1.470,-11.7,2.4,-1.8,12.1
1.480,-11.7,2.4,-1.8,12.1
