Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,2.2,2.3,-9.5,10.0
0.010,2.9,1.7,-9.1,9.6
0.020,2.9,1.7,-9.1,9.6
0.030,2.9,1.7,-9.1,9.6
0.040,2.9,1.7,-9.1,9.6
0.050,2.9,1.7,-9.1,9.6
0.060,3.1,1.6,-9.2,9.8
0.070,3.1,1.6,-9.2,9.8
0.080,3.1,1.6,-9.2,9.8
0.090,3.1,1.6,-9.2,9.8
0.100,3.1,1.6,-9.2,9.8
0.110,2.6,1.8,-9.5,10.0
0.120,2.6,1.8,-9.5,10.0
0.130,2.6,1.8,-9.5,10.0
0.140,2.6,1.8,-9.5,10.0
0.150,2.6,1.6,-9.2,9.7
0.160,2.6,1.6,-9.2,9.7
0.170,2.6,1.6,-9.2,9.7
0.180,2.6,1.6,-9.2,9.7
0.190,2.6,1.6,-9.2,9.7
0.200,2.8,1.5,-9.2,9.7
0.210,2.8,1.5,-9.2,9.7
0.220,2.8,1.5,-9.2,9.7
0.230,2.8,1.5,-9.2,9.7
0.240,2.8,1.5,-9.2,9.7
0.250,2.8,1.6,-9.2,9.8
0.260,2.8,1.6,-9.2,9.8
0.270,2.8,1.6,-9.2,9.8
0.280,2.8,1.6,-9.2,9.8
0.290,2.8,1.6,-9.2,9.8
0.300,2.9,2.0,-9.0,9.7
0.310,2.9,2.0,-9.0,9.7
0.320,2.9,2.0,-9.0,9.7
0.330,2.9,2.0,-9.0,9.7
0.340,2.9,2.0,-9.0,9.7
0.350,1.4,2.2,-9.7,10.0
0.360,1.4,2.2,-9.7,10.0
0.370,1.4,2.2,-9.7,10.0
0.380,1.4,2.2,-9.7,10.0
0.390,1.4,2.2,-9.7,10.0
0.400,2.5,1.9,-9.4,9.9
0.410,2.5,1.9,-9.4,9.9
0.420,2.5,1.9,-9.4,9.9
0.430,2.5,1.9,-9.4,9.9
0.440,2.1,2.0,-9.5,9.9
0.450,2.1,2.0,-9.5,9.9
0.460,2.1,2.0,-9.5,9.9
0.470,2.1,2.0,-9.5,9.9
0.480,2.1,2.0,-9.5,9.9
0.490,2.2,2.1,-9.4,9.9
0.500,2.2,2.1,-9.4,9.9
0.510,2.2,2.1,-9.4,9.9
0.520,2.2,2.1,-9.4,9.9
0.530,2.2,1.9,-9.3,9.8
0.540,2.2,1.9,-9.3,9.8
0.550,2.2,1.9,-9.3,9.8
0.560,2.2,1.9,-9.3,9.8
0.570,2.2,1.9,-9.3,9.8
0.580,2.1,1.9,-9.4,9.8
0.590,2.1,1.9,-9.4,9.8
0.600,2.1,1.9,-9.4,9.8
0.610,2.1,1.9,-9.4,9.8
0.620,2.1,1.9,-9.4,9.8
0.630,2.2,1.9,-9.4,9.8
0.640,2.2,1.9,-9.4,9.8
0.650,2.2,1.9,-9.4,9.8
0.660,2.2,1.9,-9.4,9.8
0.670,2.2,1.9,-9.4,9.8
0.680,2.0,1.9,-9.4,9.8
0.690,2.0,1.9,-9.4,9.8
0.700,2.0,1.9,-9.4,9.8
0.710,2.0,1.9,-9.4,9.8
0.720,2.0,1.9,-9.4,9.8
0.730,2.0,1.9,-9.3,9.7
0.740,2.0,1.9,-9.3,9.7
0.750,2.0,1.9,-9.3,9.7
0.760,2.0,1.9,-9.3,9.7
