Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-8.8,-0.2,-4.4,9.9
0.010,-8.8,-0.2,-4.5,9.9
0.020,-8.8,-0.3,-4.5,9.9
0.030,-8.8,-0.3,-4.5,9.9
0.040,-8.8,-0.3,-4.5,9.9
0.050,-8.8,-0.3,-4.5,9.9
0.060,-8.8,-0.3,-4.5,9.9
0.070,-8.9,-0.1,-4.4,9.9
0.080,-8.9,-0.1,-4.4,9.9
0.090,-8.9,-0.1,-4.4,9.9
0.100,-8.9,-0.1,-4.4,9.9
0.110,-8.9,-0.1,-4.4,9.9
0.120,-8.7,-0.4,-4.4,9.8
0.130,-8.7,-0.4,-4.4,9.8
0.140,-8.7,-0.4,-4.4,9.8
0.150,-8.7,-0.4,-4.4,9.8
0.160,-8.7,-0.4,-4.4,9.8
0.170,-8.9,-0.3,-4.6,10.0
0.180,-8.9,-0.3,-4.6,10.0
0.190,-8.9,-0.3,-4.6,10.0
0.200,-8.8,-0.1,-4.4,9.8
0.210,-8.8,-0.1,-4.4,9.8
0.220,-8.7,-0.3,-4.3,9.7
0.230,-8.7,-0.3,-4.3,9.7
0.240,-8.7,-0.3,-4.3,9.7
0.250,-8.7,-0.3,-4.3,9.7
0.260,-8.7,-0.6,-4.3,9.7
0.270,-8.7,-0.6,-4.3,9.7
0.280,-8.7,-0.6,-4.3,9.7
0.290,-8.7,-0.6,-4.3,9.7
0.300,-8.7,-0.6,-4.3,9.7
0.310,-9.9,-0.1,-3.8,10.6
0.320,-9.9,-0.1,-3.8,10.6
0.330,-9.9,-0.1,-3.8,10.6
0.340,-9.1,-0.1,-4.2,10.0
0.350,-9.0,-0.2,-4.1,9.9
0.360,-9.0,-0.2,-4.1,9.9
0.370,-9.0,-0.2,-4.1,9.9
0.380,-9.0,-0.2,-4.1,9.9
0.390,-9.0,-0.2,-4.1,9.9
0.400,-9.0,-0.1,-4.2,10.0
0.410,-9.0,-0.1,-4.2,10.0
0.420,-9.0,-0.1,-4.2,10.0
0.430,-9.0,-0.1,-4.2,10.0
0.440,-9.0,-0.1,-4.2,10.0
0.450,-8.9,-0.2,-4.3,9.9
0.460,-8.9,-0.2,-4.3,9.9
0.470,-8.9,-0.2,-4.3,9.9
0.480,-9.1,-0.2,-4.1,9.9
0.490,-9.1,-0.2,-4.1,9.9
0.500,-9.1,-0.2,-4.1,9.9
0.510,-9.1,-0.2,-4.1,9.9
0.520,-9.1,-0.2,-4.1,9.9
0.530,-9.0,-0.3,-4.0,9.9
0.540,-9.0,-0.3,-4.0,9.9
0.550,-9.0,-0.3,-4.0,9.9
0.560,-9.0,-0.3,-4.0,9.9
0.570,-9.0,-0.3,-4.0,9.9
0.580,-9.1,-0.3,-4.1,10.0
0.590,-9.1,-0.3,-4.1,10.0
0.600,-9.1,-0.3,-4.1,10.0
0.610,-9.1,-0.3,-4.1,10.0
0.620,-9.1,-0.3,-4.1,10.0
0.630,-8.9,-0.2,-4.2,9.8
0.640,-8.9,-0.2,-4.2,9.8
0.650,-8.9,-0.2,-4.2,9.8
0.660,-8.9,-0.2,-4.2,9.8
0.670,-8.9,-0.2,-4.0,9.7
0.680,-8.9,-0.2,-4.0,9.7
0.690,-8.9,-0.2,-4.0,9.7
0.700,-8.9,-0.2,-4.0,9.7
0.710,-8.9,-0.2,-4.0,9.7
0.720,-8.9,0.0,-4.3,9.9
0.730,-8.9,0.0,-4.3,9.9
0.740,-8.9,0.0,-4.3,9.9
0.750,-8.9,0.0,-4.3,9.9
0.760,-8.9,0.0,-4.3,9.9
0.770,-8.9,0.2,-4.2,9.9
0.780,-8.9,0.2,-4.2,9.9
0.790,-8.9,0.2,-4.2,9.9
0.800,-8.9,0.2,-4.2,9.9
0.810,-8.9,0.2,-4.2,9.9
0.820,-9.0,-0.2,-4.0,9.8
0.830,-9.0,-0.2,-4.0,9.8
0.840,-9.0,-0.2,-4.0,9.8
0.850,-9.0,-0.2,-4.0,9.8
0.860,-9.2,-0.2,-4.0,10.0
0.870,-9.2,-0.2,-4.0,10.0
0.880,-9.2,-0.2,-4.0,10.0
0.890,-8.7,-0.1,-4.3,9.7
0.900,-8.7,-0.1,-4.3,9.7
0.910,-8.7,-0.1,-4.3,9.7
0.920,-8.7,-0.1,-4.3,9.7
0.930,-8.7,-0.1,-4.3,9.7
0.940,-9.6,-0.4,-3.3,10.1
0.950,-9.6,-0.4,-3.3,10.1
0.960,-9.6,-0.4,-3.3,10.1
0.970,-9.6,-0.4,-3.3,10.1
0.980,-9.6,-0.4,-3.3,10.1
0.990,-8.7,0.8,-3.9,9.6
1.000,-8.7,0.8,-3.9,9.6
1.010,-8.7,0.8,-3.9,9.6
1.020,-8.7,0.8,-3.9,9.6
1.030,-9.7,0.3,-3.0,10.1
1.040,-9.7,0.3,-3.0,10.1
1.050,-9.7,0.3,-3.0,10.1
1.060,-9.7,0.3,-3.0,10.1
1.070,-9.7,0.3,-3.0,10.1
1.080,-9.7,0.2,-3.5,10.3
1.090,-9.7,0.2,-3.5,10.3
1.100,-9.7,0.2,-3.5,10.3
1.110,-9.7,0.2,-3.5,10.3
1.120,-9.7,0.2,-3.5,10.3
1.130,-8.7,0.1,-3.7,9.4
1.140,-8.7,0.1,-3.7,9.4
1.150,-8.7,0.1,-3.7,9.4
1.160,-8.7,0.1,-3.7,9.4
1.170,-8.7,0.1,-3.7,9.4
1.180,-7.8,0.0,-4.3,8.9
1.190,-7.8,0.0,-4.3,8.9
1.200,-7.8,0.0,-4.3,8.9
1.210,-7.8,0.0,-4.3,8.9
1.220,-7.8,0.0,-4.3,8.9
1.230,-8.3,-1.6,-3.2,9.0
1.240,-8.3,-1.6,-3.2,9.0
1.250,-8.3,-1.6,-3.2,9.0
1.260,-8.3,-1.6,-3.2,9.0
1.270,-11.0,0.0,-4.0,11.7
1.280,-11.0,0.0,-4.0,11.7
1.290,-11.0,0.0,-4.0,11.7
1.300,-11.0,0.0,-4.0,11.7
1.310,-11.0,0.0,-4.0,11.7
1.320,-9.5,0.5,-3.8,10.3
1.330,-9.5,0.5,-3.8,10.3
1.340,-9.5,0.5,-3.8,10.3
1.350,-9.5,0.5,-3.8,10.3
1.360,-10.3,-1.0,-3.1,10.8
1.370,-10.3,-1.0,-3.1,10.8
