Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.9,0.3,-1.5,10.0
0.010,-9.8,0.3,-1.5,9.9
0.020,-9.8,0.3,-1.5,9.9
0.030,-9.8,0.3,-1.5,9.9
0.040,-9.8,0.3,-1.5,9.9
0.050,-9.7,0.3,-1.4,9.8
0.060,-9.7,0.3,-1.4,9.8
0.070,-9.7,0.3,-1.4,9.8
0.080,-9.7,0.3,-1.4,9.8
0.090,-9.8,0.3,-1.4,10.0
0.100,-9.8,0.3,-1.4,10.0
0.110,-9.8,0.3,-1.4,10.0
0.120,-9.8,0.3,-1.4,10.0
0.130,-9.8,0.3,-1.4,10.0
0.140,-9.9,0.4,-1.4,10.0
0.150,-9.9,0.4,-1.4,10.0
0.160,-9.9,0.4,-1.4,10.0
0.170,-9.9,0.4,-1.4,10.0
0.180,-9.9,0.4,-1.4,10.0
0.190,-9.8,0.3,-1.4,9.9
0.200,-9.8,0.3,-1.4,9.9
0.210,-9.8,0.3,-1.4,9.9
0.220,-9.8,0.3,-1.4,9.9
0.230,-9.8,0.3,-1.4,9.9
0.240,-9.8,0.3,-1.4,9.9
0.250,-9.8,0.3,-1.4,9.9
0.260,-9.8,0.3,-1.5,10.0
0.270,-9.8,0.3,-1.5,10.0
0.280,-9.8,0.3,-1.5,10.0
0.290,-9.9,0.4,-1.5,10.0
0.300,-9.9,0.4,-1.5,10.0
0.310,-9.9,0.4,-1.5,10.0
0.320,-9.9,0.4,-1.5,10.0
0.330,-9.9,0.4,-1.5,10.0
0.340,-9.4,0.2,-1.7,9.6
0.350,-9.4,0.2,-1.7,9.6
0.360,-9.4,0.2,-1.7,9.6
0.370,-9.4,0.2,-1.7,9.6
0.380,-9.7,0.3,-1.6,9.9
0.390,-9.7,0.3,-1.6,9.9
0.400,-9.7,0.3,-1.6,9.9
0.410,-9.8,0.3,-1.7,9.9
0.420,-9.8,0.3,-1.7,9.9
0.430,-9.8,0.3,-1.7,9.9
0.440,-9.8,0.3,-1.7,9.9
0.450,-9.8,0.2,-1.7,9.9
0.460,-9.8,0.2,-1.7,9.9
0.470,-9.8,0.2,-1.7,9.9
0.480,-9.8,0.2,-1.7,9.9
0.490,-9.8,0.2,-1.7,9.9
0.500,-9.8,0.2,-1.7,9.9
0.510,-9.8,0.2,-1.7,9.9
0.520,-9.8,0.2,-1.7,9.9
0.530,-9.8,0.2,-1.7,9.9
0.540,-9.8,0.2,-1.7,9.9
0.550,-9.7,0.3,-1.7,9.9
0.560,-9.7,0.3,-1.7,9.9
0.570,-9.7,0.3,-1.7,9.9
0.580,-9.7,0.3,-1.7,9.9
0.590,-9.7,0.3,-1.7,9.9
0.600,-9.7,0.3,-1.7,9.9
0.610,-9.7,0.3,-1.7,9.9
0.620,-9.7,0.3,-1.7,9.9
0.630,-9.7,0.3,-1.7,9.9
0.640,-9.7,0.3,-1.7,9.9
0.650,-9.8,0.3,-1.7,9.9
0.660,-9.8,0.3,-1.7,9.9
0.670,-9.8,0.3,-1.7,9.9
0.680,-9.8,0.3,-1.7,9.9
0.690,-9.8,0.3,-1.7,9.9
0.700,-9.7,0.3,-1.7,9.9
0.710,-9.7,0.3,-1.7,9.9
0.720,-9.7,0.3,-1.7,9.9
0.730,-9.7,0.3,-1.7,9.9
0.740,-9.7,0.3,-1.8,9.9
0.750,-9.7,0.3,-1.8,9.9
0.760,-9.7,0.3,-1.8,9.9
0.770,-9.7,0.3,-1.8,9.9
0.780,-9.9,0.2,-1.7,10.0
0.790,-9.9,0.2,-1.7,10.0
0.800,-9.9,0.2,-1.7,10.0
0.810,-9.9,0.2,-1.7,10.0
0.820,-9.9,0.2,-1.7,10.0
0.830,-9.9,0.2,-1.7,10.0
0.840,-9.9,0.2,-1.7,10.0
0.850,-9.9,0.2,-1.7,10.0
0.860,-9.9,0.2,-1.7,10.0
0.870,-9.9,0.2,-1.7,10.0
0.880,-9.9,0.2,-1.4,10.0
0.890,-9.9,0.2,-1.4,10.0
0.900,-9.9,0.2,-1.4,10.0
0.910,-9.9,0.2,-1.4,10.0
0.920,-9.5,0.0,-1.1,9.6
0.930,-9.5,0.0,-1.1,9.6
0.940,-9.5,0.0,-1.1,9.6
0.950,-9.5,0.0,-1.1,9.6
0.960,-9.5,0.0,-1.1,9.6
0.970,-9.5,0.0,-1.1,9.6
0.980,-10.1,0.3,-0.8,10.2
0.990,-10.1,0.3,-0.8,10.2
1.000,-10.1,0.3,-0.8,10.2
1.010,-10.1,0.3,-0.8,10.2
1.020,-10.7,0.6,-1.1,10.8
1.030,-10.7,0.6,-1.1,10.8
1.040,-10.7,0.6,-1.1,10.8
1.050,-10.7,0.6,-1.1,10.8
1.060,-10.0,0.4,-1.6,10.1
1.070,-10.0,0.4,-1.6,10.1
1.080,-10.0,0.4,-1.6,10.1
1.090,-10.0,0.4,-1.6,10.1
1.100,-10.0,0.4,-1.6,10.1
1.110,-9.5,0.1,-1.9,9.7
1.120,-9.5,0.1,-1.9,9.7
1.130,-9.5,0.1,-1.9,9.7
1.140,-9.5,0.1,-1.9,9.7
1.150,-9.5,0.1,-1.9,9.7
1.160,-9.5,0.1,-1.9,9.7
1.170,-9.5,0.1,-1.9,9.7
1.180,-9.4,0.2,-2.1,9.6
1.190,-9.4,0.2,-2.1,9.6
1.200,-9.4,0.2,-2.1,9.6
1.210,-9.4,0.2,-2.1,9.6
1.220,-9.4,0.2,-2.1,9.6
1.230,-7.8,0.8,-1.5,8.0
1.240,-7.8,0.8,-1.5,8.0
1.250,-7.8,0.8,-1.5,8.0
1.260,-7.8,0.8,-1.5,8.0
1.270,-7.8,0.8,-1.5,8.0
1.280,-7.4,1.4,-2.3,7.8
1.290,-7.4,1.4,-2.3,7.8
1.300,-7.4,1.4,-2.3,7.8
1.310,-7.4,1.4,-2.3,7.8
1.320,-10.8,0.3,-1.1,10.8
1.330,-10.8,0.3,-1.1,10.8
1.340,-10.8,0.3,-1.1,10.8
1.350,-10.8,0.3,-1.1,10.8
1.360,-13.1,-0.4,0.1,13.1
1.370,-13.1,-0.4,0.1,13.1
1.380,-13.1,-0.4,0.1,13.1
1.390,-10.4,0.2,-1.0,10.4
1.400,-10.4,0.2,-1.0,10.4
1.410,-10.4,0.2,-1.0,10.4
1.420,-10.4,0.2,-1.0,10.4
1.430,-10.4,0.2,-1.0,10.4
1.440,-11.0,1.4,-1.0,11.1
1.450,-11.0,1.4,-1.0,11.1
1.460,-11.0,1.4,-1.0,11.1
1.470,-11.0,1.4,-1.0,11.1
1.480,-11.0,1.4,-1.0,11.1
1.490,-10.5,3.2,-1.3,11.1
1.500,-10.5,3.2,-1.3,11.1
1.510,-10.5,3.2,-1.3,11.1
1.520,-10.5,3.2,-1.3,11.1
1.530,-10.5,3.2,-1.3,11.1
1.540,-10.3,3.1,-1.7,10.9
1.550,-10.3,3.1,-1.7,10.9
1.560,-10.3,3.1,-1.7,10.9
1.570,-10.3,3.1,-1.7,10.9
1.580,-9.1,2.8,-1.3,9.6
1.590,-9.1,2.8,-1.3,9.6
1.600,-9.1,2.8,-1.3,9.6
1.610,-9.1,2.8,-1.3,9.6
1.620,-9.1,2.8,-1.3,9.6
1.630,-7.8,2.5,-0.8,8.2
1.640,-7.8,2.5,-0.8,8.2
