Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.5,0.4,-2.5,9.9
0.010,-9.5,0.4,-2.5,9.9
0.020,-9.5,0.4,-2.5,9.9
0.030,-9.5,0.4,-2.5,9.9
0.040,-9.5,0.4,-2.5,9.9
0.050,-9.6,0.3,-2.4,9.9
0.060,-9.6,0.3,-2.4,9.9
0.070,-9.6,0.3,-2.4,9.9
0.080,-9.6,0.3,-2.4,9.9
0.090,-9.6,0.3,-2.4,9.9
0.100,-9.6,0.4,-2.5,10.0
0.110,-9.6,0.4,-2.5,10.0
0.120,-9.6,0.4,-2.5,10.0
0.130,-9.6,0.4,-2.5,10.0
0.140,-9.6,0.4,-2.5,10.0
0.150,-9.6,0.4,-2.5,10.0
0.160,-9.6,0.4,-2.5,10.0
0.170,-9.6,0.4,-2.5,10.0
0.180,-9.5,0.4,-2.5,9.8
0.190,-9.5,0.4,-2.5,9.8
0.200,-9.5,0.4,-2.5,9.8
0.210,-9.6,0.3,-2.6,9.9
0.220,-9.6,0.3,-2.6,9.9
0.230,-9.6,0.3,-2.6,9.9
0.240,-9.6,0.3,-2.6,9.9
0.250,-9.6,0.3,-2.6,9.9
0.260,-9.6,0.5,-2.5,9.9
0.270,-9.6,0.5,-2.5,9.9
0.280,-9.6,0.5,-2.5,9.9
0.290,-9.6,0.5,-2.5,9.9
0.300,-9.8,0.5,-2.4,10.1
0.310,-9.8,0.5,-2.4,10.1
0.320,-9.8,0.5,-2.4,10.1
0.330,-9.8,0.5,-2.4,10.1
0.340,-9.8,0.5,-2.4,10.1
0.350,-9.5,0.5,-2.4,9.8
0.360,-9.5,0.5,-2.4,9.8
0.370,-9.5,0.5,-2.4,9.8
0.380,-9.5,0.5,-2.4,9.8
0.390,-9.5,0.5,-2.4,9.8
0.400,-9.6,0.4,-2.4,10.0
0.410,-9.6,0.4,-2.4,10.0
0.420,-9.6,0.4,-2.4,10.0
0.430,-9.6,0.4,-2.4,10.0
0.440,-9.6,0.4,-2.4,10.0
0.450,-9.5,0.4,-2.5,9.8
0.460,-9.5,0.4,-2.5,9.8
0.470,-9.5,0.4,-2.5,9.8
0.480,-9.5,0.4,-2.5,9.8
0.490,-9.6,0.4,-2.5,9.9
0.500,-9.6,0.4,-2.5,9.9
0.510,-9.6,0.4,-2.5,9.9
0.520,-9.6,0.4,-2.5,9.9
0.530,-9.6,0.4,-2.5,9.9
0.540,-9.5,0.3,-2.5,9.8
0.550,-9.5,0.3,-2.5,9.8
0.560,-9.5,0.3,-2.5,9.8
0.570,-9.5,0.3,-2.5,9.8
0.580,-9.6,0.4,-2.5,9.9
0.590,-9.6,0.4,-2.5,9.9
0.600,-9.6,0.4,-2.5,9.9
0.610,-9.6,0.4,-2.5,9.9
0.620,-9.6,0.5,-2.5,10.0
