Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.2,-1.8,-3.6,10.1
0.010,-9.4,-1.7,-3.8,10.3
0.020,-9.4,-1.7,-3.8,10.3
0.030,-9.4,-1.7,-3.8,10.3
0.040,-9.4,-1.7,-3.8,10.3
0.050,-9.4,-1.7,-3.8,10.3
0.060,-9.2,-1.7,-3.4,9.9
0.070,-9.2,-1.7,-3.4,9.9
0.080,-9.2,-1.7,-3.4,9.9
0.090,-9.2,-1.7,-3.4,9.9
0.100,-9.1,-1.6,-3.5,9.9
0.110,-9.2,-1.7,-3.5,10.0
0.120,-9.2,-1.7,-3.5,10.0
0.130,-9.1,-1.6,-3.3,9.9
0.140,-9.1,-1.6,-3.3,9.9
0.150,-9.1,-1.6,-3.3,9.9
0.160,-9.1,-1.6,-3.3,9.9
0.170,-9.4,-1.9,-3.4,10.2
0.180,-9.4,-1.9,-3.4,10.2
0.190,-9.4,-1.9,-3.4,10.2
0.200,-9.4,-1.9,-3.4,10.2
0.210,-9.4,-1.9,-3.4,10.2
0.220,-9.1,-1.7,-3.2,9.8
0.230,-9.1,-1.7,-3.2,9.8
0.240,-9.1,-1.7,-3.2,9.8
0.250,-9.1,-1.7,-3.2,9.8
0.260,-9.0,-1.7,-3.2,9.7
0.270,-8.7,-1.5,-2.7,9.3
0.280,-8.7,-1.5,-2.7,9.3
0.290,-8.7,-1.5,-2.7,9.3
0.300,-8.7,-1.5,-2.7,9.3
0.310,-8.7,-1.5,-2.7,9.3
0.320,-8.0,-1.8,-2.5,8.6
0.330,-8.0,-1.8,-2.5,8.6
0.340,-8.0,-1.8,-2.5,8.6
0.350,-9.5,-1.7,-2.4,10.0
0.360,-9.5,-1.7,-2.4,10.0
0.370,-9.5,-1.7,-2.4,10.0
0.380,-9.1,-1.0,-1.2,9.2
0.390,-9.1,-1.0,-1.2,9.2
0.400,-9.1,-1.0,-1.2,9.2
0.410,-9.1,-1.0,-1.2,9.2
0.420,-9.1,-1.0,-1.2,9.2
0.430,-13.2,-0.4,-2.3,13.4
0.440,-13.2,-0.4,-2.3,13.4
0.450,-13.2,-0.4,-2.3,13.4
0.460,-13.2,-0.4,-2.3,13.4
0.470,-12.0,0.0,-1.0,12.0
0.480,-12.0,0.0,-1.0,12.0
0.490,-9.0,-0.6,-1.3,9.1
0.500,-9.0,-0.6,-1.3,9.1
0.510,-9.0,-0.6,-1.3,9.1
0.520,-9.0,-0.6,-1.3,9.1
0.530,-9.0,-0.6,-1.3,9.1
0.540,-10.0,-0.5,-1.1,10.1
0.550,-10.0,-0.5,-1.1,10.1
0.560,-10.0,-0.5,-1.1,10.1
0.570,-10.0,-0.5,-1.1,10.1
0.580,-10.0,-0.5,-1.1,10.1
0.590,-9.8,-0.6,-1.1,9.8
0.600,-9.8,-0.6,-1.1,9.8
0.610,-9.8,-0.6,-1.1,9.8
0.620,-9.8,-0.6,-1.1,9.8
0.630,-9.9,-0.7,-1.1,10.0
0.640,-9.9,-0.7,-1.1,10.0
0.650,-9.9,-0.7,-1.1,10.0
0.660,-9.9,-0.7,-1.1,10.0
0.670,-9.9,-0.7,-1.1,10.0
0.680,-9.9,-0.6,-1.0,9.9
0.690,-9.9,-0.6,-1.0,9.9
0.700,-9.9,-0.6,-1.0,9.9
0.710,-9.9,-0.6,-1.0,9.9
0.720,-9.9,-0.6,-1.0,9.9
0.730,-9.8,-0.7,-1.0,9.9
0.740,-9.8,-0.7,-1.0,9.9
0.750,-9.8,-0.7,-1.0,9.9
0.760,-9.8,-0.7,-1.0,9.9
0.770,-9.8,-0.7,-1.0,9.9
0.780,-9.9,-0.5,-0.8,9.9
0.790,-9.9,-0.5,-0.8,9.9
0.800,-9.9,-0.5,-0.8,9.9
0.810,-9.9,-0.5,-0.8,9.9
0.820,-9.9,-0.7,-1.0,10.0
0.830,-9.9,-0.7,-1.0,10.0
0.840,-9.9,-0.7,-1.0,10.0
0.850,-9.9,-0.7,-1.0,10.0
0.860,-9.9,-0.7,-1.0,10.0
0.870,-9.9,-0.8,-0.9,10.0
0.880,-9.9,-0.8,-0.9,10.0
0.890,-9.9,-0.8,-0.9,10.0
0.900,-9.9,-0.8,-0.9,10.0
0.910,-9.9,-0.8,-0.9,10.0
0.920,-9.8,-0.8,-0.9,9.9
0.930,-9.8,-0.8,-0.9,9.9
0.940,-9.8,-0.8,-0.9,9.9
0.950,-9.8,-0.8,-0.9,9.9
0.960,-9.9,-1.0,-0.9,10.0
0.970,-9.9,-1.0,-0.9,10.0
0.980,-9.9,-1.0,-0.9,10.0
0.990,-9.9,-1.0,-0.9,10.0
1.000,-9.9,-1.0,-0.9,10.0
1.010,-9.9,-1.0,-0.9,10.0
1.020,-9.9,-1.0,-0.9,10.0
1.030,-9.9,-1.0,-0.9,10.0
1.040,-9.9,-1.0,-0.9,10.0
1.050,-9.8,-0.9,-0.9,9.9
1.060,-9.8,-0.9,-0.9,9.9
1.070,-9.8,-0.9,-0.9,9.9
1.080,-10.0,-1.1,-0.8,10.0
1.090,-10.0,-1.1,-0.8,10.0
1.100,-10.0,-1.1,-0.8,10.0
1.110,-10.0,-1.1,-0.8,10.0
1.120,-10.0,-1.1,-0.8,10.0
1.130,-9.8,-1.3,-0.9,9.9
1.140,-9.8,-1.3,-0.9,9.9
1.150,-9.8,-1.3,-0.9,9.9
1.160,-9.8,-1.3,-0.9,9.9
1.170,-9.8,-1.3,-0.9,9.9
1.180,-9.6,-1.4,-1.0,9.7
1.190,-9.6,-1.4,-1.0,9.7
1.200,-9.6,-1.4,-1.0,9.7
1.210,-9.6,-1.4,-1.0,9.7
1.220,-9.7,-1.4,-1.0,9.8
1.230,-9.7,-1.4,-1.0,9.8
1.240,-9.7,-1.4,-1.0,9.8
1.250,-9.7,-1.4,-1.0,9.8
1.260,-9.6,-1.3,-0.9,9.7
1.270,-9.6,-1.3,-0.9,9.7
1.280,-9.6,-1.3,-0.9,9.7
1.290,-9.6,-1.3,-0.9,9.7
1.300,-9.6,-1.3,-0.9,9.7
1.310,-9.7,-1.2,-1.1,9.8
1.320,-9.7,-1.2,-1.1,9.8
1.330,-9.7,-1.2,-1.1,9.8
1.340,-9.7,-1.2,-1.1,9.8
1.350,-9.7,-1.2,-1.1,9.8
1.360,-9.7,-1.2,-1.3,9.8
1.370,-9.7,-1.2,-1.3,9.8
1.380,-9.7,-1.2,-1.3,9.8
1.390,-9.6,-1.2,-1.2,9.7
1.400,-9.6,-1.2,-1.2,9.7
1.410,-9.6,-1.2,-1.2,9.7
1.420,-9.6,-1.2,-1.2,9.7
1.430,-9.6,-1.0,-1.3,9.8
1.440,-9.6,-1.0,-1.3,9.8
1.450,-9.6,-1.0,-1.3,9.8
1.460,-9.5,-0.5,-1.8,9.7
1.470,-9.5,-0.5,-1.8,9.7
1.480,-9.5,-0.5,-1.8,9.7
1.490,-9.5,-0.5,-1.8,9.7
1.500,-9.5,-0.5,-1.8,9.7
1.510,-9.4,-0.5,-1.7,9.6
1.520,-9.4,-0.5,-1.7,9.6
1.530,-9.4,-0.5,-1.7,9.6
1.540,-9.4,-0.5,-1.7,9.6
1.550,-9.9,0.2,-1.4,10.0
1.560,-9.9,0.2,-1.4,10.0
1.570,-9.9,0.2,-1.4,10.0
1.580,-9.9,0.2,-1.4,10.0
1.590,-9.9,0.2,-1.4,10.0
1.600,-10.5,0.2,-1.3,10.6
1.610,-10.5,0.2,-1.3,10.6
1.620,-10.5,0.2,-1.3,10.6
1.630,-10.5,0.2,-1.3,10.6
1.640,-10.5,0.2,-1.3,10.6
1.650,-10.8,-0.1,-0.6,10.8
1.660,-10.8,-0.1,-0.6,10.8
1.670,-10.8,-0.1,-0.6,10.8
1.680,-10.8,-0.1,-0.6,10.8
1.690,-10.8,-0.1,-0.6,10.8
1.700,-10.7,0.2,-0.7,10.8
1.710,-10.7,0.2,-0.7,10.8
1.720,-10.7,0.2,-0.7,10.8
1.730,-10.7,0.2,-0.7,10.8
1.740,-10.7,0.2,-0.7,10.8
1.750,-9.4,0.0,-1.6,9.5
1.760,-9.4,0.0,-1.6,9.5
1.770,-9.4,0.0,-1.6,9.5
1.780,-9.4,0.0,-1.6,9.5
1.790,-9.4,0.0,-1.6,9.5
1.800,-9.4,0.1,-1.7,9.6
1.810,-9.4,0.1,-1.7,9.6
1.820,-9.4,0.1,-1.7,9.6
1.830,-9.4,0.1,-1.7,9.6
1.840,-9.4,0.1,-1.7,9.6
1.850,-9.8,0.2,-1.5,9.9
1.860,-9.8,0.2,-1.5,9.9
1.870,-9.8,0.2,-1.5,9.9
1.880,-9.8,0.2,-1.5,9.9
1.890,-9.8,0.2,-1.5,9.9
1.900,-9.6,0.1,-1.3,9.7
1.910,-9.6,0.1,-1.3,9.7
1.920,-9.6,0.1,-1.3,9.7
1.930,-9.7,0.3,-1.0,9.7
1.940,-9.7,0.3,-1.0,9.7
1.950,-9.7,0.3,-1.0,9.7
1.960,-9.7,0.3,-1.0,9.7
1.970,-9.7,0.3,-1.0,9.7
1.980,-9.7,0.4,-1.2,9.8
1.990,-9.7,0.4,-1.2,9.8
2.000,-9.7,0.4,-1.2,9.8
2.010,-9.7,0.4,-1.2,9.8
2.020,-9.7,0.4,-1.2,9.8
2.030,-9.6,0.5,-1.1,9.7
2.040,-9.6,0.5,-1.1,9.7
2.050,-9.5,0.4,-0.9,9.6
2.060,-9.5,0.4,-0.9,9.6
