Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.9,-0.3,-1.9,10.1
0.010,-9.9,-0.3,-1.9,10.1
0.020,-9.9,-0.3,-1.9,10.1
0.030,-9.9,-0.3,-1.9,10.1
0.040,-9.9,-0.3,-1.9,10.1
0.050,-9.7,-0.2,-1.9,9.9
0.060,-9.7,-0.2,-1.9,9.9
0.070,-9.7,-0.2,-1.9,9.9
0.080,-9.7,-0.2,-1.9,9.9
0.090,-9.7,-0.2,-1.9,9.9
0.100,-9.6,-0.2,-1.8,9.8
0.110,-9.6,-0.2,-1.8,9.8
0.120,-9.6,-0.2,-1.8,9.8
0.130,-9.6,-0.2,-1.8,9.8
0.140,-9.6,-0.2,-1.8,9.8
0.150,-9.6,-0.1,-1.9,9.8
0.160,-9.6,-0.1,-1.9,9.8
0.170,-9.6,-0.1,-1.9,9.8
0.180,-9.6,-0.1,-1.9,9.8
0.190,-9.7,-0.2,-1.9,9.9
0.200,-9.7,-0.2,-1.9,9.9
0.210,-9.7,-0.2,-1.9,9.9
0.220,-9.7,-0.2,-1.9,9.9
0.230,-9.7,-0.2,-1.9,9.9
0.240,-9.6,-0.2,-1.9,9.8
0.250,-9.6,-0.2,-1.9,9.8
0.260,-9.6,-0.2,-1.9,9.8
0.270,-9.6,-0.2,-1.9,9.8
0.280,-9.6,-0.2,-1.9,9.8
0.290,-9.6,-0.1,-1.9,9.8
0.300,-9.6,-0.1,-1.9,9.8
0.310,-9.6,-0.1,-1.9,9.8
0.320,-9.6,-0.1,-1.9,9.8
0.330,-9.6,-0.1,-1.9,9.8
0.340,-9.6,-0.1,-2.0,9.8
0.350,-9.6,-0.1,-2.0,9.8
0.360,-9.6,-0.1,-2.0,9.8
0.370,-9.6,-0.1,-2.0,9.8
0.380,-9.6,-0.1,-2.0,9.8
0.390,-9.7,-0.1,-1.9,9.9
0.400,-9.7,-0.1,-1.9,9.9
0.410,-9.7,-0.1,-1.9,9.9
0.420,-9.7,-0.2,-1.9,9.9
0.430,-9.7,-0.2,-1.9,9.9
0.440,-9.7,-0.2,-1.9,9.9
0.450,-9.7,-0.2,-1.9,9.9
0.460,-9.7,-0.2,-1.9,9.9
0.470,-9.7,-0.2,-1.9,9.9
0.480,-9.7,-0.2,-1.9,9.9
0.490,-9.7,-0.2,-1.9,9.9
0.500,-9.7,-0.2,-1.9,9.9
0.510,-9.7,-0.2,-1.9,9.9
0.520,-9.6,-0.2,-1.9,9.8
0.530,-9.6,-0.2,-1.9,9.8
0.540,-9.6,-0.2,-1.9,9.8
0.550,-9.6,-0.2,-1.9,9.8
0.560,-9.7,-0.3,-1.9,9.9
0.570,-9.7,-0.3,-1.9,9.9
0.580,-9.7,-0.3,-1.9,9.9
0.590,-9.7,-0.3,-1.9,9.9
0.600,-9.7,-0.3,-1.9,9.9
0.610,-9.6,-0.2,-1.9,9.8
0.620,-9.6,-0.2,-1.9,9.8
0.630,-9.6,-0.2,-1.9,9.8
0.640,-9.6,-0.2,-1.9,9.8
0.650,-9.7,-0.2,-2.0,9.9
0.660,-9.7,-0.2,-2.0,9.9
0.670,-9.6,-0.2,-1.9,9.8
0.680,-9.6,-0.2,-1.9,9.8
0.690,-9.6,-0.2,-1.9,9.8
0.700,-9.6,-0.2,-2.0,9.8
0.710,-9.6,-0.2,-2.0,9.8
0.720,-9.6,-0.2,-2.0,9.8
0.730,-9.6,-0.2,-2.0,9.8
0.740,-9.6,-0.2,-2.0,9.8
0.750,-9.6,-0.2,-1.9,9.8
0.760,-9.6,-0.2,-1.9,9.8
0.770,-9.6,-0.2,-1.9,9.8
0.780,-9.8,-0.2,-1.9,9.9
0.790,-9.8,-0.2,-1.9,9.9
0.800,-9.8,-0.2,-1.9,9.9
0.810,-9.8,-0.2,-1.9,9.9
0.820,-9.7,-0.2,-1.9,9.9
0.830,-9.7,-0.2,-1.9,9.9
0.840,-9.7,-0.2,-1.9,9.9
0.850,-9.7,-0.2,-1.9,9.9
0.860,-9.7,-0.3,-2.0,9.9
0.870,-9.7,-0.3,-2.0,9.9
0.880,-9.7,-0.3,-2.0,9.9
0.890,-9.7,-0.3,-2.0,9.9
0.900,-9.8,-0.3,-1.8,9.9
0.910,-9.8,-0.3,-1.8,9.9
0.920,-9.8,-0.3,-1.8,9.9
0.930,-9.8,-0.3,-1.8,9.9
0.940,-9.8,-0.3,-1.8,9.9
0.950,-9.6,-0.3,-2.0,9.8
0.960,-9.6,-0.3,-2.0,9.8
0.970,-9.6,-0.3,-2.0,9.8
0.980,-9.6,-0.3,-2.0,9.8
0.990,-9.6,-0.3,-2.0,9.8
1.000,-9.7,-0.3,-2.0,9.9
1.010,-9.7,-0.3,-2.0,9.9
1.020,-9.7,-0.3,-2.0,9.9
1.030,-9.7,-0.3,-2.0,9.9
1.040,-9.7,-0.3,-2.0,9.9
1.050,-9.7,-0.3,-2.0,9.9
1.060,-9.7,-0.3,-2.0,9.9
1.070,-9.7,-0.3,-2.0,9.9
1.080,-9.5,-0.6,-2.1,9.8
1.090,-9.5,-0.6,-2.1,9.8
1.100,-9.5,-0.6,-2.1,9.8
1.110,-9.5,-0.6,-2.1,9.8
1.120,-9.7,-0.4,-2.1,9.9
1.130,-9.7,-0.4,-2.1,9.9
1.140,-9.7,-0.4,-2.1,9.9
1.150,-9.7,-0.4,-2.1,9.9
1.160,-9.6,-0.6,-2.0,9.8
1.170,-9.6,-0.6,-2.0,9.8
1.180,-9.6,-0.6,-2.0,9.8
1.190,-9.6,-0.6,-2.0,9.8
1.200,-9.7,-0.3,-2.0,9.9
1.210,-9.7,-0.3,-2.0,9.9
1.220,-9.7,-0.3,-2.0,9.9
1.230,-9.7,-0.3,-2.0,9.9
1.240,-9.7,-0.3,-2.0,9.9
1.250,-9.6,-0.3,-2.0,9.8
1.260,-9.6,-0.3,-2.0,9.8
1.270,-9.6,-0.3,-2.0,9.8
1.280,-9.6,-0.3,-2.0,9.8
1.290,-9.6,-0.3,-2.0,9.8
1.300,-9.6,-0.3,-2.0,9.9
1.310,-9.6,-0.3,-2.0,9.9
1.320,-9.6,-0.3,-2.0,9.9
1.330,-9.6,-0.3,-2.0,9.9
1.340,-9.6,-0.3,-2.0,9.9
1.350,-9.6,-0.3,-2.1,9.8
1.360,-9.6,-0.3,-2.1,9.8
1.370,-9.6,-0.3,-2.1,9.8
1.380,-9.6,-0.3,-2.1,9.8
1.390,-9.6,-0.3,-2.1,9.8
1.400,-9.6,-0.3,-2.2,9.8
1.410,-9.6,-0.3,-2.2,9.8
1.420,-9.6,-0.3,-2.2,9.8
1.430,-9.6,-0.3,-2.2,9.8
1.440,-9.6,-0.3,-2.2,9.8
1.450,-9.6,-0.3,-2.1,9.9
1.460,-9.6,-0.3,-2.1,9.9
1.470,-9.6,-0.3,-2.1,9.9
1.480,-9.6,-0.3,-2.1,9.9
1.490,-9.6,-0.3,-2.2,9.9
1.500,-9.6,-0.3,-2.2,9.9
1.510,-9.6,-0.3,-2.2,9.9
1.520,-9.6,-0.3,-2.2,9.9
1.530,-9.5,-0.2,-2.3,9.8
1.540,-9.5,-0.2,-2.3,9.8
1.550,-9.5,-0.2,-2.3,9.8
1.560,-9.5,-0.2,-2.3,9.8
1.570,-9.5,-0.2,-2.3,9.8
1.580,-9.5,-0.2,-2.2,9.8
1.590,-9.5,-0.2,-2.2,9.8
1.600,-9.6,-0.1,-2.1,9.8
1.610,-9.6,-0.1,-2.1,9.8
1.620,-9.6,-0.1,-2.1,9.8
1.630,-9.6,-0.1,-2.1,9.8
1.640,-9.6,-0.1,-2.1,9.8
1.650,-9.3,0.2,-2.0,9.5
1.660,-9.3,0.2,-2.0,9.5
1.670,-9.3,0.2,-2.0,9.5
1.680,-9.3,0.2,-2.0,9.5
1.690,-9.7,0.5,-2.0,9.9
1.700,-9.7,0.5,-2.0,9.9
1.710,-9.7,0.5,-2.0,9.9
1.720,-9.7,0.5,-2.0,9.9
1.730,-9.7,0.5,-2.0,9.9
1.740,-8.9,0.4,-2.0,9.1
1.750,-8.9,0.4,-2.0,9.1
1.760,-8.9,0.4,-2.0,9.1
1.770,-8.9,0.4,-2.0,9.1
1.780,-8.9,0.4,-2.0,9.1
1.790,-10.4,-0.3,-1.7,10.5
1.800,-10.4,-0.3,-1.7,10.5
1.810,-10.4,-0.3,-1.7,10.5
1.820,-10.4,-0.3,-1.7,10.5
1.830,-10.4,-0.3,-1.7,10.5
1.840,-11.2,0.2,-0.7,11.2
1.850,-11.2,0.2,-0.7,11.2
1.860,-11.2,0.2,-0.7,11.2
1.870,-11.2,0.2,-0.7,11.2
1.880,-11.2,0.2,-0.7,11.2
1.890,-9.9,0.6,-1.1,10.0
