Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-6.9,1.7,-7.3,10.2
0.010,-6.7,1.3,-7.2,10.0
0.020,-6.7,1.3,-7.2,10.0
0.030,-6.7,1.3,-7.2,10.0
0.040,-6.7,1.3,-7.2,10.0
0.050,-6.7,1.3,-7.2,10.0
0.060,-7.7,1.6,-7.0,10.5
0.070,-7.7,1.6,-7.0,10.5
0.080,-7.1,1.4,-7.3,10.3
0.090,-7.1,1.4,-7.3,10.3
0.100,-7.1,1.4,-7.3,10.3
0.110,-7.1,1.4,-7.3,10.3
0.120,-7.1,1.4,-7.3,10.3
0.130,-6.6,1.6,-7.2,9.9
0.140,-6.6,1.6,-7.2,9.9
0.150,-6.6,1.6,-7.2,9.9
0.160,-6.8,1.7,-7.2,10.1
0.170,-6.8,1.7,-7.2,10.1
0.180,-6.8,1.7,-7.2,10.1
0.190,-6.8,1.7,-7.2,10.1
0.200,-6.8,1.7,-7.2,10.1
0.210,-6.8,1.3,-7.1,9.9
0.220,-6.8,1.3,-7.1,9.9
0.230,-6.8,1.3,-7.1,9.9
0.240,-6.8,1.3,-7.1,9.9
0.250,-6.8,1.3,-7.1,9.9
0.260,-6.6,1.5,-7.1,9.8
0.270,-6.6,1.5,-7.1,9.8
0.280,-6.6,1.5,-7.1,9.8
0.290,-6.6,1.5,-7.1,9.8
0.300,-7.0,2.1,-7.2,10.3
0.310,-7.0,2.1,-7.2,10.3
0.320,-7.0,2.1,-7.2,10.3
0.330,-7.0,2.1,-7.2,10.3
0.340,-7.0,2.1,-7.2,10.3
0.350,-6.9,1.8,-7.4,10.3
0.360,-6.9,1.8,-7.4,10.3
0.370,-6.9,1.8,-7.4,10.3
0.380,-6.9,1.8,-7.4,10.3
0.390,-6.9,1.8,-7.4,10.3
0.400,-6.9,1.9,-7.4,10.3
0.410,-6.9,1.9,-7.4,10.3
0.420,-6.9,1.9,-7.4,10.3
0.430,-6.9,1.7,-7.3,10.2
