Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.3,-1.3,-3.1,9.9
0.010,-9.3,-1.3,-3.0,9.9
0.020,-9.3,-1.3,-3.0,9.9
0.030,-9.3,-1.3,-3.0,9.9
0.040,-9.3,-1.3,-3.0,9.9
0.050,-9.3,-0.9,-3.1,9.8
0.060,-9.3,-0.9,-3.1,9.8
0.070,-9.3,-0.9,-3.1,9.8
0.080,-9.3,-0.9,-3.1,9.8
0.090,-9.3,-0.9,-3.1,9.8
0.100,-9.3,-1.2,-3.1,9.9
0.110,-9.3,-1.2,-3.1,9.9
0.120,-9.3,-1.2,-3.1,9.9
0.130,-9.3,-1.2,-3.1,9.9
0.140,-9.3,-1.2,-3.1,9.9
0.150,-9.3,-1.2,-3.1,9.9
0.160,-9.3,-1.2,-3.1,9.9
0.170,-9.3,-1.1,-3.1,9.9
0.180,-9.3,-1.1,-3.1,9.9
0.190,-9.3,-1.1,-3.1,9.9
0.200,-9.3,-1.1,-3.1,9.9
0.210,-9.3,-1.3,-3.1,9.9
0.220,-9.3,-1.3,-3.1,9.9
0.230,-9.3,-1.3,-3.1,9.9
0.240,-9.3,-1.3,-3.1,9.9
0.250,-9.3,-1.3,-3.1,9.9
0.260,-9.1,-1.4,-3.1,9.7
0.270,-9.1,-1.4,-3.1,9.7
0.280,-9.1,-1.4,-3.1,9.7
0.290,-9.1,-1.4,-3.1,9.7
0.300,-9.1,-1.4,-3.1,9.7
0.310,-9.0,-1.7,-3.1,9.7
0.320,-9.0,-1.0,-3.0,9.5
0.330,-9.0,-1.0,-3.0,9.5
0.340,-9.0,-1.0,-3.0,9.5
0.350,-9.0,-1.0,-3.0,9.5
0.360,-9.0,-1.0,-3.0,9.5
0.370,-10.7,-0.4,-3.1,11.2
0.380,-10.7,-0.4,-3.1,11.2
0.390,-10.7,-0.4,-3.1,11.2
0.400,-10.7,-0.4,-3.1,11.2
0.410,-9.4,-1.1,-2.9,9.9
0.420,-9.4,-1.1,-2.9,9.9
0.430,-9.4,-1.1,-2.9,9.9
0.440,-9.4,-1.1,-2.9,9.9
0.450,-9.5,-0.9,-3.0,10.0
0.460,-9.5,-0.9,-3.0,10.0
0.470,-9.5,-0.8,-3.1,10.0
0.480,-9.5,-0.8,-3.1,10.0
0.490,-9.5,-0.8,-3.1,10.0
0.500,-9.5,-0.8,-3.1,10.0
0.510,-9.5,-0.8,-3.1,10.0
0.520,-9.3,-1.0,-3.0,9.8
