Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.3,0.6,-2.9,9.7
0.010,-9.0,0.6,-2.9,9.5
0.020,-9.0,0.6,-2.9,9.5
0.030,-9.0,0.6,-2.9,9.5
0.040,-9.0,0.6,-2.9,9.5
0.050,-9.0,0.6,-2.9,9.5
0.060,-10.6,0.2,-1.8,10.7
0.070,-10.6,0.2,-1.8,10.7
0.080,-10.6,0.2,-1.8,10.7
0.090,-10.6,0.2,-1.8,10.7
0.100,-10.6,0.2,-1.8,10.7
0.110,-9.4,0.3,-2.2,9.7
0.120,-9.4,0.3,-2.2,9.7
0.130,-9.4,0.3,-2.2,9.7
0.140,-8.7,0.7,-3.1,9.2
0.150,-8.7,0.7,-3.1,9.2
0.160,-8.7,0.7,-3.1,9.2
0.170,-8.7,0.7,-3.1,9.2
0.180,-8.8,0.4,-3.2,9.4
0.190,-8.8,0.4,-3.2,9.4
0.200,-9.4,0.2,-2.3,9.7
0.210,-9.4,0.2,-2.3,9.7
0.220,-9.4,0.2,-2.3,9.7
0.230,-9.4,0.2,-2.3,9.7
0.240,-9.4,0.2,-2.3,9.7
0.250,-10.4,0.2,-2.2,10.6
0.260,-10.4,0.2,-2.2,10.6
0.270,-10.4,0.2,-2.2,10.6
0.280,-10.4,0.2,-2.2,10.6
0.290,-10.4,0.2,-2.2,10.6
0.300,-9.9,0.3,-2.1,10.1
0.310,-9.9,0.3,-2.1,10.1
0.320,-9.9,0.3,-2.1,10.1
0.330,-9.9,0.3,-2.1,10.1
0.340,-9.9,0.3,-2.1,10.1
0.350,-8.9,0.2,-2.9,9.4
0.360,-8.9,0.2,-2.9,9.4
0.370,-8.9,0.2,-2.9,9.4
0.380,-8.9,0.2,-2.9,9.4
0.390,-9.6,0.4,-2.8,10.0
0.400,-9.6,0.4,-2.8,10.0
0.410,-9.6,0.4,-2.8,10.0
0.420,-9.6,0.4,-2.8,10.0
0.430,-9.6,0.4,-2.8,10.0
0.440,-9.7,0.3,-2.6,10.0
0.450,-9.7,0.3,-2.6,10.0
0.460,-9.7,0.3,-2.6,10.0
0.470,-9.7,0.3,-2.6,10.0
0.480,-9.7,0.3,-2.6,10.0
0.490,-9.9,0.2,-2.3,10.2
0.500,-9.9,0.2,-2.3,10.2
0.510,-9.9,0.2,-2.3,10.2
0.520,-9.9,0.2,-2.3,10.2
0.530,-9.6,0.2,-2.5,10.0
0.540,-9.6,0.2,-2.5,10.0
0.550,-9.6,0.2,-2.5,10.0
0.560,-9.6,0.2,-2.5,10.0
0.570,-9.2,0.3,-2.6,9.6
0.580,-9.2,0.3,-2.6,9.6
0.590,-9.2,0.3,-2.6,9.6
0.600,-9.2,0.3,-2.6,9.6
0.610,-9.2,0.3,-2.6,9.6
0.620,-9.5,0.4,-2.5,9.8
0.630,-9.5,0.4,-2.5,9.8
0.640,-9.5,0.4,-2.5,9.8
0.650,-9.5,0.4,-2.5,9.8
0.660,-9.5,0.4,-2.5,9.8
0.670,-9.6,0.2,-2.6,9.9
0.680,-9.6,0.2,-2.6,9.9
0.690,-9.6,0.2,-2.6,9.9
0.700,-9.6,0.2,-2.6,9.9
0.710,-9.6,0.2,-2.6,9.9
0.720,-9.6,0.2,-2.7,10.0
0.730,-9.6,0.2,-2.7,10.0
0.740,-9.6,0.2,-2.7,10.0
0.750,-9.6,0.2,-2.7,10.0
0.760,-9.6,0.2,-2.7,10.0
0.770,-9.4,0.3,-3.0,9.9
0.780,-9.4,0.3,-3.0,9.9
0.790,-9.4,0.3,-3.0,9.9
0.800,-9.4,0.3,-3.0,9.9
0.810,-9.8,0.2,-2.4,10.1
0.820,-9.8,0.2,-2.4,10.1
0.830,-9.8,0.2,-2.4,10.1
0.840,-9.8,0.2,-2.4,10.1
0.850,-9.8,0.2,-2.4,10.1
0.860,-10.1,0.2,-2.6,10.4
0.870,-10.1,0.2,-2.6,10.4
0.880,-10.1,0.1,-2.7,10.4
0.890,-10.1,0.1,-2.7,10.4
0.900,-10.1,0.1,-2.7,10.4
0.910,-10.1,0.1,-2.7,10.4
0.920,-9.1,-0.1,-2.9,9.6
0.930,-9.1,-0.1,-2.9,9.6
0.940,-9.1,-0.1,-2.9,9.6
0.950,-9.1,-0.1,-2.9,9.6
0.960,-9.1,-0.1,-2.9,9.6
0.970,-8.7,0.2,-3.2,9.3
0.980,-8.7,0.2,-3.2,9.3
0.990,-8.7,0.2,-3.2,9.3
1.000,-9.5,0.2,-2.8,9.9
1.010,-9.5,0.2,-2.8,9.9
1.020,-9.5,0.2,-2.8,9.9
1.030,-9.5,0.2,-2.8,9.9
1.040,-9.5,0.2,-2.8,9.9
1.050,-9.7,0.2,-2.9,10.1
1.060,-9.7,0.2,-2.9,10.1
1.070,-9.7,0.2,-2.9,10.1
1.080,-9.7,0.2,-2.9,10.1
1.090,-9.4,0.3,-2.8,9.8
1.100,-9.4,0.3,-2.8,9.8
1.110,-9.4,0.3,-2.8,9.8
1.120,-9.2,0.2,-2.7,9.6
1.130,-9.2,0.2,-2.7,9.6
1.140,-9.2,0.2,-2.7,9.6
1.150,-9.2,0.2,-2.7,9.6
1.160,-9.2,0.2,-2.7,9.6
1.170,-9.0,0.1,-2.8,9.4
1.180,-9.0,0.1,-2.8,9.4
1.190,-9.0,0.1,-2.8,9.4
1.200,-9.0,0.1,-2.8,9.4
1.210,-9.2,0.2,-2.8,9.6
1.220,-9.2,0.2,-2.8,9.6
1.230,-9.2,0.2,-2.8,9.6
1.240,-9.2,0.2,-2.8,9.6
1.250,-9.2,0.2,-2.8,9.6
1.260,-9.3,0.2,-2.7,9.7
1.270,-9.3,0.2,-2.7,9.7
1.280,-9.3,0.2,-2.7,9.7
1.290,-9.3,0.2,-2.7,9.7
1.300,-9.3,0.2,-2.7,9.7
1.310,-9.0,0.2,-2.8,9.4
1.320,-9.0,0.2,-2.8,9.4
1.330,-9.0,0.2,-2.8,9.4
1.340,-9.0,0.2,-2.8,9.4
1.350,-9.0,0.2,-2.8,9.4
1.360,-9.4,0.2,-2.6,9.8
1.370,-9.4,0.2,-2.6,9.8
1.380,-9.4,0.2,-2.6,9.8
1.390,-9.6,0.1,-2.8,10.0
1.400,-9.6,0.1,-2.8,10.0
1.410,-9.6,0.1,-2.8,10.0
1.420,-9.6,0.1,-2.8,10.0
1.430,-9.6,0.1,-2.8,10.0
1.440,-9.2,0.2,-2.6,9.5
1.450,-9.2,0.2,-2.6,9.5
1.460,-9.2,0.2,-2.6,9.5
1.470,-9.2,0.2,-2.6,9.5
1.480,-9.2,0.2,-2.6,9.5
1.490,-9.3,0.4,-2.7,9.7
