Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-8.1,-0.1,-5.8,9.9
0.010,-8.4,-0.4,-6.1,10.4
0.020,-8.4,-0.4,-6.1,10.4
0.030,-8.4,-0.4,-6.1,10.4
0.040,-8.4,-0.4,-6.1,10.4
0.050,-7.8,-0.2,-5.9,9.8
0.060,-7.8,-0.2,-5.9,9.8
0.070,-7.8,-0.2,-5.9,9.8
0.080,-7.8,-0.2,-5.9,9.8
0.090,-7.8,-0.2,-5.9,9.8
0.100,-7.9,-0.2,-6.0,9.9
0.110,-7.9,-0.2,-6.0,9.9
0.120,-7.9,-0.2,-6.0,9.9
0.130,-7.9,-0.2,-6.0,9.9
0.140,-7.9,-0.2,-6.0,9.9
0.150,-8.0,-0.4,-5.8,9.9
0.160,-8.0,-0.4,-5.8,9.9
0.170,-8.0,-0.4,-5.8,9.9
0.180,-8.0,-0.4,-5.8,9.9
0.190,-8.4,-0.9,-5.5,10.1
0.200,-8.4,-0.9,-5.5,10.1
0.210,-8.4,-0.9,-5.5,10.1
0.220,-8.4,-0.9,-5.5,10.1
0.230,-8.2,-0.4,-5.4,9.8
0.240,-8.2,-0.4,-5.4,9.8
0.250,-8.2,-0.4,-5.4,9.8
0.260,-8.2,-0.4,-5.4,9.8
0.270,-8.2,-0.4,-5.4,9.8
0.280,-8.3,-0.5,-5.2,9.8
0.290,-8.3,-0.5,-5.2,9.8
0.300,-8.3,-0.5,-5.2,9.8
0.310,-8.3,-0.5,-5.2,9.8
0.320,-8.3,-0.5,-5.2,9.8
0.330,-8.7,-0.5,-4.8,9.9
0.340,-8.7,-0.5,-4.8,9.9
0.350,-8.7,-0.5,-4.8,9.9
0.360,-8.7,-0.5,-4.8,9.9
0.370,-9.0,-0.5,-4.7,10.2
0.380,-9.0,-0.5,-4.7,10.2
0.390,-8.9,-0.7,-4.6,10.1
0.400,-8.9,-0.7,-4.6,10.1
0.410,-8.9,-0.6,-4.8,10.1
0.420,-8.7,-0.3,-4.8,9.9
0.430,-8.7,-0.3,-4.8,9.9
0.440,-8.7,-0.3,-4.8,9.9
0.450,-8.7,-0.3,-4.8,9.9
0.460,-8.7,-0.3,-4.8,9.9
0.470,-8.2,0.0,-4.7,9.5
0.480,-8.2,0.0,-4.7,9.5
0.490,-8.2,0.0,-4.7,9.5
0.500,-8.2,0.0,-4.7,9.5
0.510,-8.2,0.0,-4.7,9.5
0.520,-8.6,-0.1,-4.6,9.8
0.530,-8.6,-0.1,-4.6,9.8
0.540,-8.6,-0.1,-4.6,9.8
0.550,-8.6,-0.1,-4.6,9.8
0.560,-9.4,-0.5,-4.4,10.4
0.570,-9.4,-0.5,-4.4,10.4
0.580,-9.4,-0.5,-4.4,10.4
0.590,-9.4,-0.5,-4.4,10.4
0.600,-9.4,-0.5,-4.4,10.4
0.610,-8.3,0.0,-4.5,9.5
0.620,-8.3,0.0,-4.5,9.5
0.630,-8.3,0.0,-4.5,9.5
0.640,-8.3,0.0,-4.5,9.5
0.650,-8.8,-0.3,-4.5,9.9
0.660,-8.8,-0.3,-4.5,9.9
0.670,-8.8,-0.3,-4.5,9.9
0.680,-8.8,-0.3,-4.5,9.9
0.690,-8.8,-0.3,-4.5,9.9
0.700,-9.0,-0.3,-4.2,10.0
0.710,-9.0,-0.3,-4.2,10.0
0.720,-9.0,-0.3,-4.2,10.0
0.730,-9.0,-0.3,-4.2,10.0
0.740,-8.8,-0.4,-4.2,9.8
0.750,-8.8,-0.4,-4.2,9.8
0.760,-8.8,-0.4,-4.2,9.8
0.770,-8.8,-0.4,-4.2,9.8
0.780,-8.8,-0.4,-4.2,9.8
0.790,-8.9,0.0,-4.0,9.7
0.800,-8.9,0.0,-4.0,9.7
0.810,-8.9,0.0,-4.0,9.7
0.820,-8.9,0.0,-4.0,9.7
0.830,-9.0,0.0,-4.2,9.9
0.840,-9.0,0.0,-4.2,9.9
0.850,-9.0,0.0,-4.2,9.9
0.860,-9.2,-0.2,-4.0,10.0
0.870,-9.2,-0.2,-4.0,10.0
0.880,-9.2,-0.2,-4.0,10.0
0.890,-9.2,-0.2,-3.9,10.0
0.900,-9.2,-0.2,-3.9,10.0
0.910,-9.0,-0.3,-4.0,9.8
0.920,-9.0,-0.3,-4.0,9.8
0.930,-9.0,-0.3,-4.0,9.8
0.940,-9.0,-0.3,-4.0,9.8
0.950,-9.0,-0.6,-3.9,9.8
0.960,-9.0,-0.6,-3.9,9.8
0.970,-9.0,-0.6,-3.9,9.8
0.980,-9.0,-0.6,-3.9,9.8
0.990,-9.0,-0.6,-3.9,9.8
1.000,-9.3,-0.5,-3.7,10.0
1.010,-9.3,-0.5,-3.7,10.0
1.020,-9.3,-0.5,-3.7,10.0
1.030,-9.3,-0.5,-3.7,10.0
1.040,-9.3,-0.5,-3.7,10.0
1.050,-9.4,-0.4,-3.5,10.1
1.060,-9.4,-0.4,-3.5,10.1
1.070,-9.4,-0.4,-3.5,10.1
1.080,-9.4,-0.4,-3.5,10.1
1.090,-9.4,-0.4,-3.5,10.1
1.100,-9.3,-0.6,-3.6,10.0
1.110,-9.3,-0.6,-3.6,10.0
1.120,-9.3,-0.6,-3.6,10.0
1.130,-9.3,-0.6,-3.6,10.0
1.140,-9.2,-0.4,-3.3,9.7
1.150,-9.2,-0.4,-3.3,9.7
1.160,-9.2,-0.4,-3.3,9.7
1.170,-9.2,-0.4,-3.3,9.7
1.180,-9.2,-0.4,-3.3,9.7
