Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-8.5,-1.2,-4.4,9.7
0.010,-8.8,-0.9,-4.5,9.9
0.020,-8.8,-0.9,-4.5,9.9
0.030,-8.8,-0.9,-4.5,9.9
0.040,-8.8,-0.9,-4.5,9.9
0.050,-8.8,-0.9,-4.5,9.9
0.060,-9.2,-1.1,-4.5,10.3
0.070,-9.2,-1.1,-4.5,10.3
0.080,-9.2,-1.1,-4.5,10.3
0.090,-9.2,-1.1,-4.5,10.3
0.100,-9.3,-1.2,-4.7,10.5
0.110,-9.3,-1.2,-4.7,10.5
0.120,-8.5,-1.3,-4.5,9.7
0.130,-8.5,-1.3,-4.5,9.7
0.140,-8.5,-1.3,-4.5,9.7
0.150,-8.2,-1.0,-4.5,9.4
0.160,-8.2,-1.0,-4.5,9.4
0.170,-8.2,-1.0,-4.5,9.4
0.180,-8.2,-1.0,-4.5,9.4
0.190,-8.6,-1.3,-4.5,9.8
0.200,-8.6,-1.3,-4.5,9.8
0.210,-8.6,-1.3,-4.5,9.8
0.220,-8.6,-1.3,-4.5,9.8
0.230,-8.6,-1.3,-4.5,9.8
0.240,-8.6,-1.3,-4.2,9.6
0.250,-8.6,-1.3,-4.2,9.6
0.260,-8.6,-1.3,-4.2,9.6
0.270,-8.6,-1.3,-4.2,9.6
0.280,-9.9,-0.7,-4.0,10.7
0.290,-9.9,-0.7,-4.0,10.7
0.300,-9.9,-0.7,-4.0,10.7
0.310,-9.9,-0.7,-4.0,10.7
0.320,-10.0,-1.1,-3.6,10.6
0.330,-10.0,-1.1,-3.6,10.6
0.340,-10.0,-1.1,-3.6,10.6
0.350,-9.2,-0.9,-3.6,9.9
0.360,-9.2,-0.9,-3.6,9.9
0.370,-9.2,-0.9,-3.6,9.9
0.380,-8.5,-1.1,-3.5,9.3
0.390,-8.5,-1.1,-3.5,9.3
0.400,-8.5,-1.1,-3.5,9.3
0.410,-8.5,-1.1,-3.5,9.3
0.420,-9.7,-1.0,-3.6,10.4
0.430,-9.7,-1.0,-3.6,10.4
0.440,-9.7,-1.0,-3.6,10.4
0.450,-9.7,-1.0,-3.6,10.4
0.460,-9.7,-1.0,-3.6,10.4
0.470,-8.9,-1.1,-3.4,9.6
0.480,-8.9,-1.1,-3.4,9.6
0.490,-8.9,-1.1,-3.4,9.6
0.500,-8.9,-1.1,-3.4,9.6
0.510,-8.9,-1.1,-3.4,9.6
0.520,-9.4,-1.0,-3.7,10.2
0.530,-9.4,-1.0,-3.7,10.2
0.540,-9.4,-1.0,-3.7,10.2
0.550,-9.4,-1.0,-3.7,10.2
0.560,-9.4,-1.0,-3.7,10.2
0.570,-9.6,-0.9,-3.7,10.4
0.580,-9.6,-0.9,-3.7,10.4
0.590,-9.6,-0.9,-3.7,10.4
0.600,-9.5,-0.9,-3.7,10.3
0.610,-9.5,-0.9,-3.7,10.3
0.620,-9.5,-0.9,-3.7,10.3
0.630,-9.5,-0.9,-3.7,10.3
0.640,-9.3,-1.0,-3.5,10.0
0.650,-9.3,-1.0,-3.5,10.0
0.660,-9.3,-1.0,-3.5,10.0
0.670,-9.3,-1.0,-3.5,10.0
0.680,-9.0,0.0,-3.1,9.5
0.690,-9.0,0.0,-3.1,9.5
0.700,-9.0,0.0,-3.1,9.5
0.710,-9.0,0.0,-3.1,9.5
0.720,-9.0,0.0,-3.1,9.5
0.730,-8.9,-0.3,-3.1,9.4
0.740,-8.9,-0.3,-3.1,9.4
0.750,-8.9,-0.3,-3.1,9.4
0.760,-8.9,-0.3,-3.1,9.4
0.770,-9.2,-1.7,-3.1,9.9
0.780,-9.2,-1.7,-3.1,9.9
0.790,-9.2,-1.7,-3.1,9.9
0.800,-9.2,-1.7,-3.1,9.9
0.810,-8.9,-1.6,-3.4,9.6
0.820,-8.9,-1.6,-3.4,9.6
0.830,-8.9,-1.6,-3.4,9.6
0.840,-8.9,-1.6,-3.4,9.6
0.850,-8.9,-1.6,-3.4,9.6
0.860,-8.2,-1.4,-3.3,8.9
0.870,-8.2,-1.4,-3.3,8.9
0.880,-8.2,-1.4,-3.3,8.9
0.890,-9.4,-1.4,-3.4,10.1
0.900,-9.4,-1.4,-3.4,10.1
0.910,-9.4,-1.4,-3.4,10.1
0.920,-9.4,-1.4,-3.4,10.1
0.930,-9.4,-1.4,-3.4,10.1
0.940,-12.6,-0.6,-2.8,12.9
0.950,-12.6,-0.6,-2.8,12.9
0.960,-12.6,-0.6,-2.8,12.9
0.970,-12.6,-0.6,-2.8,12.9
0.980,-12.6,-0.6,-2.8,12.9
0.990,-10.5,-0.6,-2.0,10.7
1.000,-10.5,-0.6,-2.0,10.7
1.010,-10.5,-0.6,-2.0,10.7
1.020,-10.5,-0.6,-2.0,10.7
1.030,-9.0,-1.3,-2.1,9.4
1.040,-9.0,-1.3,-2.1,9.4
1.050,-9.0,-1.3,-2.1,9.4
