Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-8.6,-1.3,-5.9,10.5
0.010,-8.1,-1.1,-5.7,10.0
0.020,-8.1,-1.1,-5.7,10.0
0.030,-8.1,-1.1,-5.7,10.0
0.040,-8.1,-1.1,-5.7,10.0
0.050,-8.2,-1.1,-5.8,10.0
0.060,-8.2,-1.1,-5.8,10.0
0.070,-8.2,-1.1,-5.8,10.0
0.080,-8.2,-1.1,-5.8,10.0
0.090,-8.2,-1.1,-5.8,10.0
0.100,-7.8,-1.2,-5.7,9.8
0.110,-7.8,-1.2,-5.7,9.8
0.120,-7.8,-1.2,-5.7,9.8
0.130,-7.8,-1.2,-5.7,9.8
0.140,-7.8,-1.2,-5.7,9.8
0.150,-8.0,-1.3,-5.8,9.9
0.160,-8.0,-1.3,-5.8,9.9
0.170,-8.0,-1.3,-5.8,9.9
0.180,-8.0,-1.3,-5.8,9.9
0.190,-8.0,-1.3,-5.8,9.9
0.200,-8.2,-1.3,-5.8,10.1
0.210,-8.2,-1.3,-5.8,10.1
0.220,-8.2,-1.3,-5.8,10.1
0.230,-7.7,-1.4,-5.6,9.7
0.240,-7.7,-1.4,-5.6,9.7
0.250,-7.7,-1.4,-5.6,9.7
0.260,-7.7,-1.4,-5.6,9.7
0.270,-7.9,-1.2,-5.6,9.8
0.280,-7.9,-1.2,-5.6,9.8
0.290,-7.9,-1.2,-5.6,9.8
0.300,-7.9,-1.2,-5.6,9.8
0.310,-7.9,-1.2,-5.6,9.8
0.320,-7.6,-1.4,-5.4,9.4
0.330,-7.6,-1.4,-5.4,9.4
0.340,-7.6,-1.4,-5.4,9.4
0.350,-9.4,-1.1,-5.2,10.8
0.360,-9.4,-1.1,-5.2,10.8
0.370,-9.4,-1.1,-5.2,10.8
0.380,-9.4,-1.1,-5.2,10.8
0.390,-8.7,-1.1,-5.1,10.2
0.400,-8.7,-1.1,-5.1,10.2
0.410,-8.7,-1.1,-5.1,10.2
0.420,-8.7,-1.2,-4.9,10.0
0.430,-8.7,-1.2,-4.9,10.0
0.440,-8.7,-1.2,-4.9,10.0
0.450,-8.7,-1.2,-4.9,10.0
0.460,-8.6,-1.2,-5.0,10.0
0.470,-8.6,-1.2,-5.0,10.0
0.480,-8.6,-1.2,-5.0,10.0
0.490,-8.6,-1.2,-5.0,10.0
0.500,-8.6,-1.2,-5.0,10.0
0.510,-8.5,-1.2,-4.9,9.9
0.520,-8.5,-1.2,-4.9,9.9
0.530,-8.5,-1.2,-4.9,9.9
0.540,-8.5,-1.2,-4.9,9.9
0.550,-8.5,-1.2,-4.9,9.9
0.560,-8.5,-1.2,-5.0,9.9
0.570,-8.5,-1.2,-5.0,9.9
0.580,-8.5,-1.2,-5.0,9.9
0.590,-8.5,-1.2,-5.0,9.9
0.600,-8.5,-1.2,-5.0,9.9
0.610,-8.5,-1.2,-5.0,9.9
0.620,-8.5,-1.2,-5.0,9.9
0.630,-8.5,-1.2,-5.0,9.9
0.640,-8.5,-1.1,-4.9,9.8
0.650,-8.5,-1.1,-4.9,9.8
0.660,-8.5,-1.1,-4.9,9.8
0.670,-8.5,-1.1,-4.9,9.8
0.680,-8.5,-1.1,-4.9,9.8
0.690,-8.5,-1.0,-4.9,9.9
0.700,-8.5,-1.0,-4.9,9.9
0.710,-8.5,-1.0,-4.9,9.9
0.720,-8.5,-1.0,-4.9,9.9
0.730,-8.5,-1.0,-4.9,9.9
0.740,-8.6,-1.1,-4.9,10.0
0.750,-8.6,-1.1,-4.9,10.0
0.760,-8.6,-1.1,-4.9,10.0
0.770,-8.6,-1.1,-4.9,10.0
0.780,-8.5,-1.1,-4.9,9.8
0.790,-8.5,-1.1,-4.9,9.8
0.800,-8.5,-1.1,-4.9,9.8
0.810,-8.5,-1.1,-4.9,9.8
0.820,-8.5,-1.1,-4.9,9.8
0.830,-8.5,-1.0,-5.0,9.9
0.840,-8.5,-1.0,-5.0,9.9
0.850,-8.5,-1.0,-5.0,9.9
0.860,-8.5,-1.0,-5.0,9.9
0.870,-8.5,-1.0,-5.0,9.9
0.880,-8.5,-1.1,-5.0,9.9
0.890,-8.5,-1.1,-5.0,9.9
0.900,-8.5,-1.1,-5.0,9.9
0.910,-8.5,-1.1,-5.0,9.9
0.920,-8.5,-1.1,-5.0,9.9
0.930,-8.5,-1.1,-4.9,9.9
0.940,-8.5,-1.1,-4.9,9.9
0.950,-8.5,-1.1,-4.9,9.9
0.960,-8.5,-1.1,-4.9,9.9
0.970,-8.5,-1.0,-5.0,9.9
0.980,-8.5,-1.0,-5.0,9.9
0.990,-8.5,-1.0,-5.0,9.9
1.000,-8.5,-1.0,-5.0,9.9
1.010,-8.5,-1.0,-5.0,9.9
1.020,-8.5,-1.0,-4.9,9.9
1.030,-8.5,-1.0,-4.9,9.9
1.040,-8.5,-1.0,-4.9,9.9
1.050,-8.6,-1.0,-4.9,9.9
1.060,-8.6,-1.0,-4.9,9.9
1.070,-8.6,-1.0,-4.9,9.9
1.080,-8.6,-1.0,-4.9,9.9
1.090,-8.6,-1.0,-4.9,9.9
1.100,-8.5,-1.1,-4.9,9.9
1.110,-8.5,-1.1,-4.9,9.9
1.120,-8.5,-1.1,-4.9,9.9
1.130,-8.5,-1.1,-4.9,9.9
1.140,-8.5,-1.1,-4.9,9.9
1.150,-8.5,-1.1,-4.9,9.9
1.160,-8.5,-1.1,-4.9,9.9
1.170,-8.5,-1.1,-4.9,9.9
1.180,-8.6,-1.0,-4.9,9.9
1.190,-8.6,-1.0,-4.9,9.9
1.200,-8.6,-1.0,-4.9,9.9
1.210,-8.6,-1.0,-4.9,9.9
1.220,-8.5,-1.1,-4.9,9.9
1.230,-8.5,-1.1,-4.9,9.9
1.240,-8.5,-1.1,-4.9,9.9
1.250,-8.6,-1.1,-4.9,9.9
1.260,-8.6,-1.1,-4.9,9.9
1.270,-8.6,-1.1,-4.9,9.9
1.280,-8.6,-1.1,-4.9,9.9
1.290,-8.5,-1.1,-4.8,9.9
1.300,-8.5,-1.1,-4.8,9.9
1.310,-8.5,-1.1,-4.8,9.9
1.320,-8.5,-1.1,-4.8,9.9
1.330,-8.5,-1.0,-4.9,9.8
1.340,-8.5,-1.0,-4.9,9.8
1.350,-8.5,-1.0,-4.9,9.8
1.360,-8.5,-1.0,-4.9,9.8
1.370,-8.5,-1.0,-4.9,9.8
1.380,-8.6,-1.1,-5.0,10.0
1.390,-8.6,-1.1,-5.0,10.0
1.400,-8.6,-1.1,-5.0,10.0
1.410,-8.6,-1.1,-5.0,10.0
1.420,-8.6,-1.1,-5.0,10.0
1.430,-8.6,-1.1,-4.8,9.9
1.440,-8.6,-1.1,-4.8,9.9
1.450,-8.6,-1.1,-4.8,9.9
1.460,-8.6,-0.9,-4.9,9.9
1.470,-8.6,-0.9,-4.9,9.9
1.480,-8.6,-0.9,-4.9,9.9
