Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.9,0.2,-0.9,10.0
0.010,-9.9,0.3,-0.8,10.0
0.020,-9.9,0.3,-0.8,10.0
0.030,-9.9,0.3,-0.8,10.0
0.040,-9.9,0.3,-0.8,10.0
0.050,-9.9,0.3,-0.8,10.0
0.060,-9.9,0.6,-1.0,9.9
0.070,-9.9,0.6,-1.0,9.9
0.080,-9.9,0.6,-1.0,9.9
0.090,-9.9,0.6,-1.0,9.9
0.100,-9.9,0.6,-1.0,9.9
0.110,-9.8,0.6,-1.2,9.9
0.120,-9.8,0.6,-1.2,9.9
0.130,-9.8,0.6,-1.2,9.9
0.140,-9.8,0.6,-1.2,9.9
0.150,-9.9,0.3,-1.1,10.0
0.160,-9.9,0.3,-1.1,10.0
0.170,-9.9,0.3,-1.1,10.0
0.180,-9.9,0.3,-1.1,10.0
0.190,-9.9,0.3,-1.1,10.0
0.200,-9.9,0.2,-0.8,10.0
0.210,-9.9,0.2,-0.8,10.0
0.220,-9.9,0.2,-0.8,10.0
0.230,-9.9,0.2,-0.8,10.0
0.240,-10.1,0.2,-0.5,10.1
0.250,-10.1,0.2,-0.5,10.1
0.260,-10.1,0.2,-0.5,10.1
0.270,-10.1,0.2,-0.5,10.1
0.280,-10.1,0.2,-0.5,10.1
0.290,-10.0,-0.1,-0.5,10.0
0.300,-10.0,-0.1,-0.5,10.0
0.310,-10.0,-0.1,-0.5,10.0
0.320,-10.0,-0.1,-0.5,10.0
0.330,-10.0,-0.1,-0.5,10.0
0.340,-9.6,-0.1,-0.7,9.6
0.350,-9.6,-0.1,-0.7,9.6
0.360,-9.6,-0.1,-0.7,9.6
0.370,-9.6,-0.1,-0.7,9.6
0.380,-9.6,-0.1,-0.7,9.6
0.390,-9.9,0.3,-1.0,9.9
0.400,-9.9,0.3,-1.0,9.9
0.410,-9.9,0.3,-1.0,9.9
0.420,-9.9,0.3,-1.0,9.9
0.430,-9.9,0.3,-1.0,9.9
0.440,-9.9,0.3,-1.0,10.0
0.450,-9.9,0.3,-1.0,10.0
0.460,-9.9,0.3,-1.0,10.0
0.470,-9.9,0.3,-1.0,10.0
0.480,-9.9,0.2,-1.0,9.9
0.490,-9.9,0.2,-1.0,9.9
0.500,-9.9,0.2,-1.0,9.9
0.510,-9.9,0.2,-1.0,9.9
0.520,-9.9,0.2,-1.0,9.9
0.530,-9.7,0.2,-1.0,9.8
0.540,-9.7,0.2,-1.0,9.8
0.550,-9.7,0.2,-1.0,9.8
0.560,-9.7,0.2,-1.0,9.8
0.570,-9.7,0.2,-1.0,9.8
0.580,-9.7,0.2,-1.0,9.8
0.590,-9.8,0.2,-1.0,9.9
0.600,-9.8,0.2,-1.0,9.9
0.610,-9.8,0.2,-1.0,9.9
0.620,-9.8,0.2,-1.0,9.9
0.630,-9.8,0.2,-1.0,9.9
0.640,-9.7,0.2,-1.2,9.8
0.650,-9.7,0.2,-1.2,9.8
0.660,-9.7,0.2,-1.2,9.8
0.670,-9.7,0.2,-1.2,9.8
0.680,-9.9,0.3,-1.2,9.9
0.690,-9.9,0.3,-1.2,9.9
0.700,-9.9,0.3,-1.2,9.9
0.710,-9.9,0.3,-1.2,9.9
0.720,-9.9,0.3,-1.2,9.9
0.730,-9.9,0.6,-1.2,10.0
0.740,-9.9,0.6,-1.2,10.0
0.750,-9.9,0.6,-1.2,10.0
0.760,-9.9,0.6,-1.2,10.0
0.770,-9.9,0.6,-1.2,10.0
0.780,-9.6,0.6,-0.9,9.6
0.790,-9.6,0.6,-0.9,9.6
0.800,-9.6,0.6,-0.9,9.6
0.810,-9.6,0.6,-0.9,9.6
0.820,-9.6,0.6,-0.9,9.6
0.830,-9.7,1.1,-0.7,9.8
0.840,-9.7,1.1,-0.7,9.8
0.850,-9.7,1.1,-0.7,9.8
0.860,-9.7,1.1,-0.7,9.8
0.870,-9.7,1.1,-0.7,9.8
0.880,-9.8,1.2,-0.9,9.9
0.890,-9.8,1.2,-0.9,9.9
0.900,-9.8,1.2,-0.9,9.9
0.910,-9.8,1.2,-0.9,9.9
0.920,-9.8,1.2,-0.9,9.9
0.930,-9.9,0.8,-1.3,10.0
0.940,-9.9,0.8,-1.3,10.0
0.950,-9.9,0.8,-1.3,10.0
0.960,-9.9,0.8,-1.3,10.0
0.970,-9.9,0.8,-1.3,10.0
0.980,-9.7,0.6,-1.1,9.8
0.990,-9.7,0.6,-1.1,9.8
1.000,-9.7,0.6,-1.1,9.8
1.010,-9.7,0.6,-1.1,9.8
1.020,-10.6,1.0,-0.9,10.7
1.030,-10.6,1.0,-0.9,10.7
1.040,-10.6,1.0,-0.9,10.7
1.050,-10.6,1.0,-0.9,10.7
1.060,-10.6,1.0,-0.9,10.7
1.070,-9.8,0.8,-0.9,9.9
1.080,-9.8,0.8,-0.9,9.9
1.090,-9.8,0.8,-0.9,9.9
1.100,-9.8,0.8,-0.9,9.9
1.110,-9.8,0.8,-0.9,9.9
1.120,-10.1,0.7,-0.8,10.2
1.130,-10.1,0.7,-0.8,10.2
1.140,-10.1,0.7,-0.8,10.2
1.150,-10.1,0.7,-0.8,10.2
1.160,-10.1,0.7,-0.8,10.2
1.170,-10.0,1.2,-1.2,10.2
1.180,-10.0,1.2,-1.2,10.2
1.190,-10.0,1.2,-1.2,10.2
1.200,-10.0,1.2,-1.2,10.2
1.210,-10.0,1.2,-1.2,10.2
1.220,-9.9,1.4,-1.2,10.1
1.230,-9.9,1.4,-1.2,10.1
1.240,-9.9,1.4,-1.2,10.1
1.250,-9.9,1.4,-1.2,10.1
1.260,-9.7,1.2,-1.5,9.9
1.270,-9.7,1.2,-1.5,9.9
1.280,-9.7,1.2,-1.5,9.9
1.290,-9.7,1.2,-1.5,9.9
1.300,-9.4,1.5,-1.3,9.6
1.310,-9.4,1.5,-1.3,9.6
1.320,-9.4,1.5,-1.3,9.6
1.330,-9.4,1.5,-1.3,9.6
1.340,-9.4,1.5,-1.3,9.6
1.350,-9.7,1.8,-1.3,10.0
1.360,-9.7,1.8,-1.3,10.0
1.370,-9.7,1.8,-1.3,10.0
1.380,-9.7,1.8,-1.3,10.0
1.390,-9.7,1.8,-1.3,10.0
1.400,-9.1,2.4,-1.5,9.6
1.410,-9.1,2.4,-1.5,9.6
1.420,-9.1,2.4,-1.5,9.6
1.430,-9.1,2.4,-1.5,9.6
1.440,-9.1,2.4,-1.5,9.6
1.450,-8.3,2.4,-1.4,8.8
1.460,-8.3,2.4,-1.4,8.8
1.470,-8.3,2.4,-1.4,8.8
1.480,-8.3,2.4,-1.4,8.8
1.490,-8.3,2.4,-1.4,8.8
1.500,-9.7,2.2,-1.8,10.1
1.510,-9.7,2.2,-1.8,10.1
1.520,-9.7,2.2,-1.8,10.1
1.530,-9.7,2.2,-1.8,10.1
1.540,-9.7,2.2,-1.8,10.1
1.550,-9.4,1.7,-2.4,9.9
1.560,-9.4,1.7,-2.4,9.9
1.570,-9.4,1.7,-2.4,9.9
1.580,-9.4,1.7,-2.4,9.9
