Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-10.0,0.3,0.2,10.0
0.010,-10.0,0.3,0.2,10.0
0.020,-9.9,0.2,0.3,9.9
0.030,-9.9,0.2,0.3,9.9
0.040,-9.9,0.2,0.3,9.9
0.050,-10.0,0.2,0.3,10.0
0.060,-10.0,0.2,0.3,10.0
0.070,-10.0,0.2,0.3,10.0
0.080,-10.0,0.2,0.3,10.0
0.090,-10.0,0.2,0.3,10.0
0.100,-9.9,0.2,0.3,9.9
0.110,-9.8,0.2,0.3,9.8
0.120,-9.8,0.2,0.3,9.8
0.130,-9.8,0.2,0.3,9.8
0.140,-9.8,0.2,0.3,9.8
0.150,-10.0,0.2,0.4,10.0
0.160,-10.0,0.2,0.4,10.0
0.170,-10.0,0.2,0.4,10.0
0.180,-10.0,0.2,0.4,10.0
0.190,-10.0,0.2,0.4,10.0
0.200,-9.9,0.1,0.2,9.9
0.210,-9.9,0.1,0.2,9.9
0.220,-9.9,0.1,0.2,9.9
0.230,-9.9,0.1,0.2,9.9
0.240,-9.9,0.1,0.2,9.9
0.250,-9.9,0.0,0.2,9.9
0.260,-9.9,0.0,0.2,9.9
0.270,-9.9,0.0,0.2,9.9
0.280,-9.7,-0.1,0.3,9.7
0.290,-9.7,-0.1,0.3,9.7
0.300,-9.7,-0.1,0.3,9.7
0.310,-9.7,-0.1,0.3,9.7
0.320,-9.7,-0.1,0.3,9.7
0.330,-10.1,0.4,0.3,10.1
0.340,-10.1,0.4,0.3,10.1
0.350,-10.1,0.4,0.3,10.1
0.360,-10.1,0.4,0.3,10.1
0.370,-10.1,0.4,0.3,10.1
0.380,-9.9,0.2,0.3,9.9
0.390,-9.9,0.2,0.3,9.9
0.400,-9.9,0.2,0.3,9.9
0.410,-9.9,0.2,0.3,9.9
0.420,-9.9,0.1,0.3,9.9
0.430,-9.9,0.1,0.3,9.9
0.440,-9.9,0.1,0.3,9.9
0.450,-9.9,0.1,0.3,9.9
0.460,-9.9,0.1,0.3,9.9
0.470,-10.0,0.1,0.1,10.0
0.480,-9.9,0.1,0.2,9.9
0.490,-9.9,0.1,0.2,9.9
0.500,-9.9,0.1,0.2,9.9
0.510,-9.9,0.1,0.2,9.9
0.520,-9.9,0.1,0.3,9.9
0.530,-9.9,0.1,0.3,9.9
0.540,-9.9,0.1,0.3,9.9
0.550,-9.9,0.1,0.3,9.9
0.560,-9.9,0.1,0.3,9.9
0.570,-9.9,0.1,0.3,9.9
0.580,-9.9,0.1,0.3,9.9
0.590,-9.9,0.1,0.3,9.9
0.600,-9.9,0.1,0.3,9.9
0.610,-9.9,0.1,0.3,9.9
0.620,-9.9,0.1,0.3,9.9
0.630,-9.9,0.1,0.3,9.9
0.640,-9.9,0.1,0.3,9.9
0.650,-9.9,0.1,0.3,9.9
0.660,-9.9,0.1,0.3,9.9
0.670,-9.9,0.1,0.3,9.9
0.680,-9.9,-0.1,0.4,10.0
0.690,-9.9,-0.1,0.4,10.0
0.700,-9.9,-0.1,0.4,10.0
0.710,-9.9,-0.1,0.4,10.0
0.720,-10.1,0.1,0.1,10.1
0.730,-10.1,0.1,0.1,10.1
0.740,-10.1,0.1,0.1,10.1
0.750,-10.1,0.1,0.1,10.1
0.760,-10.1,0.1,0.1,10.1
0.770,-10.2,0.4,-0.2,10.2
0.780,-10.2,0.4,-0.2,10.2
0.790,-10.2,0.4,-0.2,10.2
0.800,-10.2,0.4,-0.2,10.2
0.810,-10.2,0.4,-0.2,10.2
0.820,-7.9,1.7,0.2,8.1
0.830,-7.9,1.7,0.2,8.1
0.840,-7.9,1.7,0.2,8.1
0.850,-7.9,1.7,0.2,8.1
0.860,-7.9,1.7,0.2,8.1
0.870,-8.9,1.4,1.2,9.1
0.880,-8.9,1.4,1.2,9.1
0.890,-8.9,1.4,1.2,9.1
0.900,-11.6,-0.7,2.1,11.8
0.910,-11.6,-0.7,2.1,11.8
0.920,-11.6,-0.7,2.1,11.8
0.930,-11.6,-0.7,2.1,11.8
0.940,-11.6,-0.7,2.1,11.8
0.950,-7.3,-1.4,0.6,7.4
0.960,-7.3,-1.4,0.6,7.4
0.970,-7.3,-1.4,0.6,7.4
0.980,-7.3,-1.4,0.6,7.4
0.990,-9.9,-0.7,1.0,10.0
1.000,-9.9,-0.7,1.0,10.0
1.010,-9.9,-0.7,1.0,10.0
1.020,-9.9,-0.7,1.0,10.0
1.030,-9.9,-0.7,1.0,10.0
1.040,-11.7,3.4,0.7,12.2
1.050,-11.7,3.4,0.7,12.2
1.060,-11.7,3.4,0.7,12.2
1.070,-11.7,3.4,0.7,12.2
1.080,-10.2,0.6,1.6,10.4
1.090,-10.2,0.6,1.6,10.4
1.100,-10.2,0.6,1.6,10.4
1.110,-10.2,0.6,1.6,10.4
1.120,-10.2,0.6,1.6,10.4
1.130,-10.0,-1.4,0.9,10.2
1.140,-10.0,-1.4,0.9,10.2
1.150,-10.0,-1.4,0.9,10.2
1.160,-10.0,-1.4,0.9,10.2
1.170,-10.0,-1.4,0.9,10.2
1.180,-9.4,-0.5,1.2,9.5
1.190,-9.4,-0.5,1.2,9.5
1.200,-9.4,-0.5,1.2,9.5
1.210,-9.4,-0.5,1.2,9.5
1.220,-9.4,-0.5,1.2,9.5
1.230,-9.3,-0.3,1.5,9.4
1.240,-9.3,-0.3,1.5,9.4
1.250,-10.7,0.4,1.5,10.8
1.260,-10.7,0.4,1.5,10.8
1.270,-10.7,0.4,1.5,10.8
1.280,-10.7,0.4,1.5,10.8
1.290,-10.7,0.4,1.5,10.8
1.300,-12.6,0.4,2.1,12.8
1.310,-12.6,0.4,2.1,12.8
1.320,-12.6,0.4,2.1,12.8
1.330,-12.6,0.4,2.1,12.8
1.340,-13.4,1.1,2.4,13.7
1.350,-13.4,1.1,2.4,13.7
1.360,-13.4,1.1,2.4,13.7
1.370,-13.4,1.1,2.4,13.7
1.380,-13.4,1.1,2.4,13.7
1.390,-9.0,0.2,0.7,9.0
1.400,-9.0,0.2,0.7,9.0
1.410,-9.0,0.2,0.7,9.0
1.420,-9.0,0.2,0.7,9.0
1.430,-9.0,0.2,0.7,9.0
1.440,-8.3,-4.4,-1.1,9.5
1.450,-8.3,-4.4,-1.1,9.5
1.460,-8.3,-4.4,-1.1,9.5
1.470,-8.3,-4.4,-1.1,9.5
1.480,-9.9,-3.8,-0.7,10.6
1.490,-9.9,-3.8,-0.7,10.6
1.500,-9.9,-3.8,-0.7,10.6
1.510,-9.9,-3.8,-0.7,10.6
1.520,-9.9,-3.8,-0.7,10.6
1.530,-6.1,-0.8,-2.0,6.5
1.540,-6.1,-0.8,-2.0,6.5
1.550,-6.1,-0.8,-2.0,6.5
1.560,-4.7,-0.6,-3.7,6.0
1.570,-4.7,-0.6,-3.7,6.0
1.580,-4.7,-0.6,-3.7,6.0
1.590,-4.7,-0.6,-3.7,6.0
1.600,-4.7,-0.6,-3.7,6.0
1.610,-4.2,1.8,0.2,4.6
1.620,-4.2,1.8,0.2,4.6
1.630,-4.2,1.8,0.2,4.6
1.640,-4.2,1.8,0.2,4.6
1.650,-4.7,0.0,-2.2,5.2
1.660,-4.7,0.0,-2.2,5.2
1.670,-4.7,0.0,-2.2,5.2
1.680,-18.9,-4.4,-0.2,19.4
1.690,-18.9,-4.4,-0.2,19.4
1.700,-18.9,-4.4,-0.2,19.4
1.710,-18.9,-4.4,-0.2,19.4
1.720,-17.5,-1.0,-1.2,17.6
1.730,-17.5,-1.0,-1.2,17.6
1.740,-17.5,-1.0,-1.2,17.6
1.750,-17.5,-1.0,-1.2,17.6
1.760,-17.5,-1.0,-1.2,17.6
1.770,-15.5,-2.5,0.5,15.7
1.780,-15.5,-2.5,0.5,15.7
1.790,-15.5,-2.5,0.5,15.7
1.800,-15.5,-2.5,0.5,15.7
1.810,-15.5,-2.5,0.5,15.7
1.820,-12.1,2.5,-3.4,12.8
1.830,-12.1,2.5,-3.4,12.8
1.840,-12.1,2.5,-3.4,12.8
1.850,-12.1,2.5,-3.4,12.8
1.860,-12.1,2.5,-3.4,12.8
1.870,-4.2,7.5,0.3,8.6
1.880,-4.2,7.5,0.3,8.6
1.890,-4.2,7.5,0.3,8.6
1.900,-4.2,7.5,0.3,8.6
1.910,0.6,-2.0,-1.7,2.7
1.920,0.6,-2.0,-1.7,2.7
1.930,0.6,-2.0,-1.7,2.7
1.940,0.6,-2.0,-1.7,2.7
1.950,0.6,-2.0,-1.7,2.7
1.960,3.2,-2.0,-1.5,4.0
1.970,3.2,-2.0,-1.5,4.0
1.980,3.2,-2.0,-1.5,4.0
1.990,3.2,-2.0,-1.5,4.0
2.000,-2.0,0.1,1.9,2.8
2.010,-2.0,0.1,1.9,2.8
2.020,-2.0,0.1,1.9,2.8
2.030,-2.0,0.1,1.9,2.8
2.040,-2.0,0.1,1.9,2.8
2.050,-22.0,0.8,3.5,22.3
2.060,-22.0,0.8,3.5,22.3
2.070,-22.0,0.8,3.5,22.3
2.080,-22.0,0.8,3.5,22.3
2.090,-22.0,0.8,3.5,22.3
2.100,-9.3,0.1,-0.8,9.3
2.110,-9.3,0.1,-0.8,9.3
2.120,-24.6,4.2,0.8,25.0
2.130,-24.6,4.2,0.8,25.0
2.140,-24.6,4.2,0.8,25.0
2.150,-24.6,4.2,0.8,25.0
2.160,-24.6,4.2,0.8,25.0
2.170,-18.2,2.1,0.5,18.3
2.180,-18.2,2.1,0.5,18.3
2.190,-18.2,2.1,0.5,18.3
2.200,-18.2,2.1,0.5,18.3
2.210,-18.2,2.1,0.5,18.3
2.220,-10.6,0.0,-2.6,10.9
2.230,-10.6,0.0,-2.6,10.9
2.240,-10.6,0.0,-2.6,10.9
2.250,-10.6,0.0,-2.6,10.9
2.260,-10.6,0.0,-2.6,10.9
2.270,-8.5,-3.9,0.4,9.3
2.280,-8.5,-3.9,0.4,9.3
2.290,-8.5,-3.9,0.4,9.3
2.300,-8.5,-3.9,0.4,9.3
2.310,-2.3,-2.2,0.2,3.2
2.320,-2.3,-2.2,0.2,3.2
2.330,-2.3,-2.2,0.2,3.2
2.340,-2.3,-2.2,0.2,3.2
2.350,-2.3,-2.2,0.2,3.2
2.360,3.5,-1.6,-3.4,5.2
2.370,3.5,-1.6,-3.4,5.2
2.380,3.5,-1.6,-3.4,5.2
2.390,3.5,-1.6,-3.4,5.2
2.400,2.8,-1.6,-0.9,3.3
2.410,2.8,-1.6,-0.9,3.3
2.420,-1.9,1.9,-1.7,3.1
2.430,-1.9,1.9,-1.7,3.1
2.440,-1.9,1.9,-1.7,3.1
2.450,-1.9,1.9,-1.7,3.1
2.460,-1.9,1.9,-1.7,3.1
2.470,-20.7,0.1,2.6,20.8
2.480,-20.7,0.1,2.6,20.8
2.490,-20.7,0.1,2.6,20.8
2.500,-20.7,0.1,2.6,20.8
2.510,-17.6,-3.8,0.0,18.0
2.520,-17.6,-3.8,0.0,18.0
2.530,-17.6,-3.8,0.0,18.0
2.540,-17.6,-3.8,0.0,18.0
2.550,-17.6,-3.8,0.0,18.0
2.560,-16.6,-1.1,-0.5,16.6
2.570,-16.6,-1.1,-0.5,16.6
2.580,-16.6,-1.1,-0.5,16.6
2.590,-16.6,-1.1,-0.5,16.6
2.600,-16.6,-1.1,-0.5,16.6
2.610,-15.2,-0.7,1.3,15.2
2.620,-15.2,-0.7,1.3,15.2
2.630,-15.2,-0.7,1.3,15.2
2.640,-15.2,-0.7,1.3,15.2
2.650,-15.2,-0.7,1.3,15.2
2.660,-9.7,3.9,0.5,10.5
2.670,-9.7,3.9,0.5,10.5
2.680,-9.7,3.9,0.5,10.5
2.690,-9.7,3.9,0.5,10.5
2.700,-9.7,3.9,0.5,10.5
2.710,-2.3,3.1,-1.7,4.2
2.720,-2.3,3.1,-1.7,4.2
2.730,-2.3,3.1,-1.7,4.2
2.740,-2.3,3.1,-1.7,4.2
2.750,-2.3,3.1,-1.7,4.2
2.760,-0.1,-0.7,-1.2,1.4
2.770,-0.1,-0.7,-1.2,1.4
2.780,-0.1,-0.7,-1.2,1.4
2.790,1.6,2.9,-2.2,3.9
2.800,1.6,2.9,-2.2,3.9
2.810,1.6,2.9,-2.2,3.9
2.820,1.6,2.9,-2.2,3.9
2.830,1.6,2.9,-2.2,3.9
2.840,-2.4,-3.2,3.0,5.0
2.850,-2.4,-3.2,3.0,5.0
2.860,-2.4,-3.2,3.0,5.0
2.870,-2.4,-3.2,3.0,5.0
2.880,-18.9,6.0,1.1,19.9
2.890,-18.9,6.0,1.1,19.9
2.900,-18.9,6.0,1.1,19.9
2.910,-18.9,6.0,1.1,19.9
2.920,-18.9,6.0,1.1,19.9
2.930,-16.7,2.4,0.9,16.9
2.940,-16.7,2.4,0.9,16.9
2.950,-16.7,2.4,0.9,16.9
2.960,-16.7,2.4,0.9,16.9
2.970,-16.7,2.4,0.9,16.9
2.980,-17.5,0.5,1.1,17.6
2.990,-17.5,0.5,1.1,17.6
3.000,-17.5,0.5,1.1,17.6
3.010,-17.5,0.5,1.1,17.6
3.020,-15.9,1.8,0.4,16.0
3.030,-15.9,1.8,0.4,16.0
3.040,-15.9,1.8,0.4,16.0
3.050,-15.9,1.8,0.4,16.0
3.060,-15.9,1.8,0.4,16.0
3.070,-11.2,1.0,1.6,11.3
3.080,-11.2,1.0,1.6,11.3
3.090,-11.2,1.0,1.6,11.3
3.100,-11.2,1.0,1.6,11.3
3.110,-11.2,1.0,1.6,11.3
3.120,-5.3,-3.7,0.1,6.5
3.130,-5.3,-3.7,0.1,6.5
3.140,-5.3,-3.7,0.1,6.5
3.150,-5.3,-3.7,0.1,6.5
3.160,-5.3,-3.7,0.1,6.5
3.170,-2.6,-4.1,-0.3,4.9
3.180,-2.6,-4.1,-0.3,4.9
3.190,1.5,-3.6,-1.1,4.0
3.200,1.5,-3.6,-1.1,4.0
3.210,1.5,-3.6,-1.1,4.0
3.220,1.5,-3.6,-1.1,4.0
3.230,-0.2,-0.1,-3.0,3.0
3.240,-0.2,-0.1,-3.0,3.0
3.250,-0.2,-0.1,-3.0,3.0
3.260,-0.2,-0.1,-3.0,3.0
3.270,-0.2,-0.1,-3.0,3.0
3.280,-5.1,-0.9,-1.6,5.5
3.290,-5.1,-0.9,-1.6,5.5
3.300,-5.1,-0.9,-1.6,5.5
3.310,-5.1,-0.9,-1.6,5.5
3.320,-23.7,3.2,-6.6,24.8
3.330,-23.7,3.2,-6.6,24.8
3.340,-23.7,3.2,-6.6,24.8
3.350,-23.7,3.2,-6.6,24.8
3.360,-23.7,3.2,-6.6,24.8
3.370,-12.8,-4.3,-1.0,13.5
3.380,-12.8,-4.3,-1.0,13.5
3.390,-12.8,-4.3,-1.0,13.5
3.400,-12.8,-4.3,-1.0,13.5
3.410,-12.8,-4.3,-1.0,13.5
