Run 2,Run 2,Run 2,Run 2,Run 2
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0,-9.7,-0.8,-1.4,9.8
0.01,-9.8,-0.8,-1.3,9.9
0.02,-9.8,-0.8,-1.3,9.9
0.03,-9.8,-0.8,-1.3,9.9
0.04,-9.8,-0.8,-1.3,9.9
0.05,-9.8,-1.1,-1.4,9.9
0.06,-9.8,-1.1,-1.4,9.9
0.07,-9.8,-1.1,-1.4,9.9
0.08,-9.8,-1.1,-1.4,9.9
0.09,-9.8,-1.1,-1.4,9.9
0.1,-9.8,-1,-1.4,9.9
0.11,-9.8,-1,-1.4,9.9
0.12,-9.8,-1,-1.4,9.9
0.13,-9.8,-1,-1.4,9.9
0.14,-9.8,-1,-1.4,9.9
0.15,-9.7,-1,-1.5,9.9
0.16,-9.7,-1,-1.5,9.9
0.17,-9.7,-1,-1.5,9.9
0.18,-9.7,-1,-1.5,9.9
0.19,-9.7,-1,-1.5,9.9
0.2,-9.7,-1.1,-1.5,9.9
0.21,-9.7,-1.1,-1.5,9.9
0.22,-9.7,-1.1,-1.5,9.9
0.23,-9.7,-1.1,-1.5,9.9
0.24,-9.7,-1.1,-1.5,9.9
0.25,-9.8,-1,-1.4,10
0.26,-9.8,-1,-1.4,10
0.27,-9.8,-1,-1.4,10
0.28,-9.8,-1,-1.4,10
0.29,-9.8,-1,-1.4,10
0.3,-9.9,-1.1,-1.5,10.1
0.31,-9.9,-1.1,-1.5,10.1
0.32,-9.9,-1.1,-1.5,10.1
0.33,-9.9,-1.1,-1.5,10.1
0.34,-9.9,-1.1,-1.5,10.1
0.35,-9.8,-1,-1.5,10
0.36,-9.8,-1,-1.5,10
0.37,-9.8,-1,-1.5,10
0.38,-9.8,-1,-1.5,10
0.39,-9.8,-0.9,-1.5,10
0.4,-9.8,-0.9,-1.5,10
0.41,-9.8,-0.9,-1.5,10
0.42,-9.8,-1,-1.4,9.9
0.43,-9.8,-1,-1.4,9.9
0.44,-9.8,-1,-1.4,9.9
0.45,-9.8,-1,-1.4,9.9
0.46,-9.8,-1,-1.4,9.9
0.47,-9.8,-1,-1.4,10
0.48,-9.8,-1,-1.4,10
0.49,-9.8,-1,-1.4,10
0.5,-9.8,-1,-1.4,10
0.51,-9.8,-1,-1.4,10
0.52,-9.8,-1.1,-1.4,10
