Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.7,-0.2,-1.9,9.9
0.010,-9.7,0.0,-1.9,9.9
0.020,-9.7,0.0,-1.9,9.9
0.030,-9.7,0.0,-1.9,9.9
0.040,-9.7,0.0,-1.9,9.9
0.050,-9.7,0.0,-1.9,9.9
0.060,-9.6,-0.1,-1.8,9.8
0.070,-9.6,-0.1,-1.8,9.8
0.080,-9.6,-0.1,-1.8,9.8
0.090,-9.6,-0.1,-1.8,9.8
0.100,-9.7,-0.3,-1.9,9.9
0.110,-9.7,-0.3,-1.9,9.9
0.120,-9.7,-0.3,-1.9,9.9
0.130,-9.7,-0.3,-1.9,9.9
0.140,-9.7,-0.3,-1.9,9.9
0.150,-9.7,-0.3,-2.1,9.9
0.160,-9.7,-0.3,-2.1,9.9
0.170,-9.7,-0.3,-2.1,9.9
0.180,-9.7,-0.3,-2.1,9.9
0.190,-9.7,-0.3,-2.1,9.9
0.200,-9.6,-0.2,-2.1,9.8
0.210,-9.5,-0.1,-1.8,9.6
0.220,-9.5,-0.1,-1.8,9.6
0.230,-9.5,-0.1,-1.8,9.6
0.240,-9.5,-0.1,-1.8,9.6
0.250,-9.5,-0.1,-1.8,9.6
0.260,-9.6,0.1,-1.9,9.8
0.270,-9.6,0.1,-1.9,9.8
0.280,-9.4,-0.5,-2.1,9.6
0.290,-9.4,-0.5,-2.1,9.6
0.300,-9.4,-0.5,-2.1,9.6
0.310,-9.4,-0.5,-2.1,9.6
0.320,-9.1,-0.3,-1.2,9.2
0.330,-9.1,-0.3,-1.2,9.2
0.340,-9.1,-0.3,-1.2,9.2
0.350,-9.1,-0.3,-1.2,9.2
0.360,-9.1,-0.3,-1.2,9.2
0.370,-9.1,-0.2,-1.0,9.1
0.380,-8.6,-0.5,-0.4,8.7
0.390,-8.6,-0.5,-0.4,8.7
0.400,-8.6,-0.5,-0.4,8.7
0.410,-8.6,-0.5,-0.4,8.7
0.420,-8.6,-0.5,-0.4,8.7
0.430,-8.0,0.1,1.0,8.0
0.440,-8.0,0.1,1.0,8.0
0.450,-8.0,0.1,1.0,8.0
0.460,-8.0,0.1,1.0,8.0
0.470,-12.1,0.3,4.5,13.0
0.480,-12.1,0.3,4.5,13.0
0.490,-12.1,0.3,4.5,13.0
0.500,-12.1,0.3,4.5,13.0
0.510,-12.1,0.3,4.5,13.0
0.520,-8.5,0.0,3.9,9.4
0.530,-8.5,0.0,3.9,9.4
0.540,-8.5,0.0,3.9,9.4
0.550,-8.5,0.0,3.9,9.4
0.560,-8.5,0.0,3.9,9.4
0.570,-8.8,0.2,2.4,9.1
0.580,-8.8,0.2,2.4,9.1
0.590,-8.8,0.2,2.4,9.1
0.600,-8.8,0.2,2.4,9.1
0.610,-8.8,0.2,2.4,9.1
0.620,-10.0,0.1,3.6,10.7
0.630,-10.0,0.1,3.6,10.7
0.640,-10.0,0.1,3.6,10.7
0.650,-10.0,0.1,3.6,10.7
0.660,-10.0,0.1,3.6,10.7
0.670,-9.0,0.2,3.0,9.5
0.680,-9.0,0.2,3.0,9.5
0.690,-9.0,0.2,3.0,9.5
0.700,-9.0,0.2,3.0,9.5
0.710,-9.5,0.2,3.2,10.0
0.720,-9.5,0.2,3.2,10.0
0.730,-9.5,0.2,3.2,10.0
0.740,-9.5,0.2,3.2,10.0
0.750,-9.5,0.2,3.2,10.0
0.760,-9.4,0.2,3.2,9.9
0.770,-9.4,0.2,3.2,9.9
0.780,-9.4,0.2,3.2,9.9
0.790,-9.4,0.2,3.2,9.9
0.800,-9.4,0.2,3.2,9.9
0.810,-9.4,0.2,3.0,9.9
0.820,-9.4,0.2,3.0,9.9
0.830,-9.4,0.2,3.0,9.9
0.840,-9.4,0.2,3.0,9.9
0.850,-9.4,0.2,3.0,9.9
0.860,-9.6,0.2,3.1,10.1
0.870,-9.6,0.2,3.1,10.1
0.880,-9.6,0.2,3.1,10.1
0.890,-9.6,0.2,3.1,10.1
0.900,-9.6,0.2,3.1,10.1
0.910,-9.7,0.3,2.7,10.1
0.920,-9.7,0.3,2.7,10.1
0.930,-9.7,0.3,2.7,10.1
0.940,-9.7,0.3,2.7,10.1
0.950,-9.7,0.3,2.7,10.1
0.960,-9.9,0.2,2.7,10.2
0.970,-9.9,0.2,2.7,10.2
0.980,-9.9,0.2,2.7,10.2
0.990,-9.9,0.2,2.7,10.2
1.000,-9.9,0.2,2.7,10.2
1.010,-10.6,0.1,1.9,10.8
1.020,-10.6,0.1,1.9,10.8
1.030,-10.6,0.1,1.9,10.8
1.040,-10.6,0.1,1.9,10.8
1.050,-8.7,-0.8,2.5,9.1
1.060,-8.7,-0.8,2.5,9.1
1.070,-8.7,-0.8,2.5,9.1
1.080,-8.7,-0.8,2.5,9.1
1.090,-8.7,-0.8,2.5,9.1
1.100,-9.2,-0.8,2.1,9.5
1.110,-9.2,-0.8,2.1,9.5
1.120,-9.2,-0.8,2.1,9.5
1.130,-9.2,-0.8,2.1,9.5
1.140,-10.2,-1.3,2.9,10.7
1.150,-10.2,-1.3,2.9,10.7
1.160,-10.2,-1.3,2.9,10.7
1.170,-10.2,-1.3,2.9,10.7
1.180,-10.2,-1.3,2.9,10.7
1.190,-9.5,-2.1,2.2,10.0
1.200,-9.5,-2.1,2.2,10.0
1.210,-9.5,-2.1,2.2,10.0
1.220,-9.5,-2.1,2.2,10.0
1.230,-9.5,-2.1,2.2,10.0
1.240,-9.1,-1.9,1.6,9.5
1.250,-9.1,-1.9,1.6,9.5
1.260,-9.1,-1.9,1.6,9.5
1.270,-9.1,-1.9,1.6,9.5
1.280,-9.1,-1.9,1.6,9.5
1.290,-9.5,-2.7,1.0,9.9
1.300,-9.5,-2.7,1.0,9.9
1.310,-9.5,-2.7,1.0,9.9
1.320,-9.5,-2.7,1.0,9.9
1.330,-11.4,-0.5,0.3,11.4
1.340,-11.4,-0.5,0.3,11.4
1.350,-11.4,-0.5,0.3,11.4
1.360,-11.4,-0.5,0.3,11.4
1.370,-10.9,1.0,2.3,11.2
1.380,-10.9,1.0,2.3,11.2
1.390,-10.9,1.0,2.3,11.2
1.400,-10.9,1.0,2.3,11.2
1.410,-10.9,1.0,2.3,11.2
1.420,-7.3,1.3,-0.6,7.5
1.430,-7.3,1.3,-0.6,7.5
1.440,-7.3,1.3,-0.6,7.5
1.450,-7.3,1.3,-0.6,7.5
1.460,-7.3,1.3,-0.6,7.5
1.470,-9.1,3.8,0.2,9.9
1.480,-9.1,3.8,0.2,9.9
1.490,-9.1,3.8,0.2,9.9
1.500,-9.1,3.8,0.2,9.9
1.510,-9.1,3.8,0.2,9.9
1.520,-8.2,3.2,0.0,8.8
1.530,-8.2,3.2,0.0,8.8
1.540,-8.2,3.2,0.0,8.8
1.550,-8.2,3.2,0.0,8.8
1.560,-8.2,3.2,0.0,8.8
1.570,-8.5,1.9,0.5,8.7
1.580,-8.5,1.9,0.5,8.7
1.590,-8.5,1.9,0.5,8.7
1.600,-8.5,1.9,0.5,8.7
1.610,-8.2,1.8,-0.7,8.4
1.620,-8.2,1.8,-0.7,8.4
1.630,-8.2,1.8,-0.7,8.4
1.640,-8.2,1.8,-0.7,8.4
1.650,-8.6,1.9,0.0,8.8
1.660,-8.6,1.9,0.0,8.8
1.670,-8.6,1.9,0.0,8.8
1.680,-8.6,1.9,0.0,8.8
1.690,-8.7,2.0,-0.4,8.9
1.700,-8.7,2.0,-0.4,8.9
1.710,-9.0,2.5,-0.7,9.3
1.720,-9.0,2.5,-0.7,9.3
1.730,-9.0,2.5,-0.7,9.3
1.740,-8.4,1.7,-0.9,8.6
1.750,-8.4,1.7,-0.9,8.6
1.760,-8.4,1.7,-0.9,8.6
1.770,-8.4,1.7,-0.9,8.6
1.780,-8.4,1.7,-0.9,8.6
1.790,-7.9,0.7,-1.6,8.1
1.800,-7.9,0.7,-1.6,8.1
1.810,-7.9,0.7,-1.6,8.1
1.820,-7.9,0.7,-1.6,8.1
1.830,-7.9,0.7,-1.6,8.1
1.840,-7.9,1.2,-1.8,8.2
1.850,-7.9,1.2,-1.8,8.2
1.860,-7.9,1.2,-1.8,8.2
1.870,-7.9,1.2,-1.8,8.2
1.880,-7.9,1.2,-1.8,8.2
1.890,-7.5,1.1,-2.1,7.9
1.900,-7.5,1.1,-2.1,7.9
1.910,-7.5,1.1,-2.1,7.9
1.920,-7.5,1.1,-2.1,7.9
1.930,-7.7,0.9,-1.9,8.0
1.940,-7.7,0.9,-1.9,8.0
1.950,-7.7,0.9,-1.9,8.0
1.960,-7.7,0.9,-1.9,8.0
1.970,-7.7,0.9,-1.9,8.0
1.980,-7.6,1.7,-2.0,8.1
1.990,-7.6,1.7,-2.0,8.1
2.000,-7.6,1.7,-2.0,8.1
2.010,-7.6,1.7,-2.0,8.1
2.020,-8.9,1.3,-1.5,9.2
2.030,-8.9,1.3,-1.5,9.2
2.040,-8.9,1.3,-1.5,9.2
2.050,-8.9,1.3,-1.5,9.2
2.060,-8.9,1.3,-1.5,9.2
2.070,-9.4,1.5,-1.6,9.6
2.080,-9.4,1.5,-1.6,9.6
2.090,-9.4,1.5,-1.6,9.6
2.100,-9.4,1.5,-1.6,9.6
2.110,-9.4,1.5,-1.6,9.6
2.120,-9.5,1.6,-1.4,9.7
2.130,-10.6,1.5,-1.6,10.8
2.140,-10.6,1.5,-1.6,10.8
2.150,-10.6,1.5,-1.6,10.8
2.160,-10.6,1.5,-1.6,10.8
2.170,-10.6,1.5,-1.6,10.8
2.180,-9.8,1.5,-1.0,9.9
2.190,-9.8,1.5,-1.0,9.9
2.200,-9.8,1.5,-1.0,9.9
2.210,-9.8,1.5,-1.0,9.9
2.220,-9.8,1.5,-1.0,9.9
2.230,-10.8,1.2,-1.4,11.0
2.240,-10.8,1.2,-1.4,11.0
2.250,-10.8,1.2,-1.4,11.0
2.260,-10.8,1.2,-1.4,11.0
2.270,-10.8,1.2,-1.4,11.0
2.280,-10.7,1.6,-0.6,10.9
2.290,-10.7,1.6,-0.6,10.9
2.300,-10.7,1.6,-0.6,10.9
2.310,-10.7,1.6,-0.6,10.9
2.320,-10.7,1.6,-0.6,10.9
2.330,-10.7,1.6,-0.6,10.9
2.340,-10.7,1.6,-0.6,10.9
2.350,-10.7,1.6,-0.6,10.9
2.360,-10.7,1.6,-0.6,10.9
2.370,-10.7,1.6,-0.6,10.9
2.380,-10.7,1.6,-0.6,10.9
2.390,-10.7,1.6,-0.6,10.9
2.400,-10.7,1.6,-0.6,10.9
2.410,-10.7,1.6,-0.6,10.9
