Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.6,0.6,-1.2,9.6
0.010,-10.3,0.4,-1.5,10.4
0.020,-10.3,0.4,-1.5,10.4
0.030,-10.3,0.4,-1.5,10.4
0.040,-10.3,0.4,-1.5,10.4
0.050,-10.3,0.4,-1.5,10.4
0.060,-9.9,0.7,-1.5,10.0
0.070,-9.9,0.7,-1.5,10.0
0.080,-9.9,0.7,-1.5,10.0
0.090,-9.9,0.7,-1.3,10.0
0.100,-9.9,0.7,-1.3,10.0
0.110,-9.9,0.7,-1.3,10.0
0.120,-9.9,0.7,-1.3,10.0
0.130,-9.9,0.7,-1.3,10.0
0.140,-10.1,0.4,-1.4,10.2
0.150,-10.1,0.4,-1.4,10.2
0.160,-10.1,0.4,-1.4,10.2
0.170,-10.1,0.4,-1.4,10.2
0.180,-9.5,0.4,-1.3,9.6
0.190,-9.5,0.4,-1.3,9.6
0.200,-9.5,0.4,-1.3,9.6
0.210,-9.5,0.4,-1.3,9.6
0.220,-9.5,0.4,-1.3,9.6
0.230,-9.1,0.3,-1.0,9.2
0.240,-9.1,0.3,-1.0,9.2
0.250,-9.1,0.3,-1.0,9.2
0.260,-9.1,0.3,-1.0,9.2
0.270,-9.1,0.3,-1.0,9.2
0.280,-11.3,1.2,-1.2,11.5
0.290,-11.3,1.2,-1.2,11.5
0.300,-11.3,1.2,-1.2,11.5
0.310,-11.3,1.2,-1.2,11.5
0.320,-11.3,1.2,-1.2,11.5
0.330,-10.3,0.5,-0.8,10.4
0.340,-10.3,0.5,-0.8,10.4
0.350,-10.3,0.5,-0.8,10.4
0.360,-10.3,0.5,-0.8,10.4
0.370,-9.3,0.5,-0.4,9.3
0.380,-9.3,0.5,-0.4,9.3
0.390,-9.3,0.5,-0.4,9.3
0.400,-9.3,0.5,-0.4,9.3
0.410,-9.3,0.5,-0.4,9.3
0.420,-10.2,0.8,-0.5,10.2
0.430,-10.2,0.8,-0.5,10.2
0.440,-10.2,0.8,-0.5,10.2
0.450,-10.2,0.8,-0.5,10.2
0.460,-9.8,0.6,-0.6,9.9
0.470,-9.8,0.6,-0.6,9.9
0.480,-9.8,0.6,-0.6,9.9
0.490,-9.8,0.6,-0.6,9.9
0.500,-9.8,0.6,-0.6,9.9
0.510,-9.7,0.7,-0.7,9.7
0.520,-9.7,0.7,-0.7,9.7
0.530,-9.7,0.7,-0.7,9.7
0.540,-9.8,0.6,-0.6,9.8
0.550,-9.9,0.5,-0.6,10.0
0.560,-9.9,0.5,-0.6,10.0
0.570,-9.9,0.5,-0.6,10.0
0.580,-9.9,0.5,-0.6,10.0
0.590,-9.9,0.4,-0.7,9.9
0.600,-9.9,0.4,-0.7,9.9
0.610,-9.9,0.4,-0.7,9.9
0.620,-9.7,0.6,-0.5,9.8
0.630,-9.7,0.6,-0.5,9.8
0.640,-9.7,0.6,-0.5,9.8
0.650,-9.7,0.6,-0.5,9.8
0.660,-10.0,0.7,-0.5,10.0
0.670,-10.0,0.7,-0.5,10.0
0.680,-10.0,0.7,-0.5,10.0
0.690,-10.0,0.7,-0.5,10.0
0.700,-10.0,0.7,-0.5,10.0
0.710,-9.8,0.5,-0.5,9.9
0.720,-9.8,0.5,-0.5,9.9
0.730,-9.8,0.5,-0.5,9.9
0.740,-9.8,0.5,-0.5,9.9
0.750,-10.3,0.7,-0.8,10.3
0.760,-10.3,0.7,-0.8,10.3
0.770,-10.3,0.7,-0.8,10.3
0.780,-10.3,0.7,-0.8,10.3
0.790,-10.3,0.7,-0.9,10.3
0.800,-10.3,0.7,-0.9,10.3
0.810,-9.6,0.5,-0.7,9.7
0.820,-9.6,0.5,-0.7,9.7
0.830,-9.6,0.5,-0.7,9.7
0.840,-9.6,0.5,-0.7,9.7
0.850,-9.6,0.5,-0.7,9.7
0.860,-9.5,0.5,-0.7,9.6
0.870,-9.5,0.5,-0.7,9.6
0.880,-9.5,0.5,-0.7,9.6
0.890,-9.5,0.5,-0.7,9.6
0.900,-9.5,0.5,-0.7,9.6
0.910,-9.8,0.6,-0.4,9.8
0.920,-9.8,0.6,-0.4,9.8
0.930,-9.8,0.6,-0.4,9.8
0.940,-9.8,0.6,-0.4,9.8
0.950,-9.8,0.6,-0.4,9.8
0.960,-9.9,0.4,-0.2,9.9
0.970,-9.9,0.4,-0.2,9.9
0.980,-9.9,0.4,-0.2,9.9
0.990,-9.9,0.4,-0.2,9.9
1.000,-10.1,0.6,-0.8,10.2
1.010,-10.1,0.6,-0.8,10.2
1.020,-10.1,0.6,-0.8,10.2
1.030,-10.1,0.6,-0.8,10.2
1.040,-10.2,1.2,-0.7,10.3
1.050,-10.2,1.2,-0.7,10.3
1.060,-10.2,1.2,-0.7,10.3
1.070,-10.2,1.2,-0.7,10.3
1.080,-10.0,1.3,-1.0,10.1
1.090,-10.0,1.3,-1.0,10.1
1.100,-10.0,1.3,-1.0,10.1
1.110,-10.0,1.3,-1.0,10.1
1.120,-10.0,1.3,-1.0,10.1
1.130,-10.0,0.7,-1.4,10.1
1.140,-10.0,0.7,-1.4,10.1
1.150,-10.0,0.7,-1.4,10.1
1.160,-10.0,0.7,-1.4,10.1
1.170,-10.0,0.7,-1.4,10.1
1.180,-8.9,0.2,-2.2,9.1
1.190,-8.9,0.2,-2.2,9.1
1.200,-8.9,0.2,-2.2,9.1
1.210,-8.9,0.2,-2.2,9.1
1.220,-7.9,0.7,-1.0,8.0
1.230,-7.9,0.7,-1.0,8.0
1.240,-7.9,0.7,-1.0,8.0
1.250,-7.9,0.7,-1.0,8.0
1.260,-7.9,0.7,-1.0,8.0
1.270,-8.8,1.3,-0.5,8.9
1.280,-8.8,1.3,-0.5,8.9
1.290,-8.8,1.3,-0.5,8.9
1.300,-12.0,3.2,0.5,12.4
1.310,-12.0,3.2,0.5,12.4
1.320,-12.0,3.2,0.5,12.4
1.330,-12.0,3.2,0.5,12.4
1.340,-11.8,4.7,0.3,12.8
1.350,-11.8,4.7,0.3,12.8
1.360,-11.8,4.7,0.3,12.8
1.370,-10.2,2.4,0.0,10.5
1.380,-10.2,2.4,0.0,10.5
1.390,-10.2,2.4,0.0,10.5
1.400,-10.2,2.4,0.0,10.5
1.410,-8.5,0.8,-1.5,8.7
1.420,-8.5,0.8,-1.5,8.7
1.430,-8.5,0.8,-1.5,8.7
1.440,-8.5,0.8,-1.5,8.7
1.450,-8.5,0.8,-1.5,8.7
1.460,-6.9,2.1,-1.3,7.3
1.470,-6.9,2.1,-1.3,7.3
1.480,-6.9,2.1,-1.3,7.3
1.490,-6.9,2.1,-1.3,7.3
1.500,-6.9,2.1,-1.3,7.3
1.510,-7.4,2.2,-1.5,7.8
1.520,-7.4,2.2,-1.5,7.8
1.530,-7.4,2.2,-1.5,7.8
1.540,-7.4,2.2,-1.5,7.8
1.550,-10.2,-0.6,-3.2,10.7
1.560,-10.2,-0.6,-3.2,10.7
1.570,-10.2,-0.6,-3.2,10.7
1.580,-10.2,-0.6,-3.2,10.7
1.590,-10.2,-0.6,-3.2,10.7
1.600,-9.8,-2.0,-3.6,10.6
1.610,-9.8,-2.0,-3.6,10.6
1.620,-9.8,-2.0,-3.6,10.6
1.630,-9.8,-2.0,-3.6,10.6
1.640,-9.8,-2.0,-3.6,10.6
1.650,-8.6,-0.9,-2.8,9.1
1.660,-8.6,-0.9,-2.8,9.1
1.670,-8.6,-0.9,-2.8,9.1
1.680,-8.6,-0.9,-2.8,9.1
1.690,-17.1,0.1,-1.7,17.2
1.700,-17.1,0.1,-1.7,17.2
1.710,-17.1,0.1,-1.7,17.2
1.720,-17.1,0.1,-1.7,17.2
1.730,-17.1,0.1,-1.7,17.2
1.740,-16.9,1.8,-0.2,16.9
1.750,-16.9,1.8,-0.2,16.9
1.760,-16.9,1.8,-0.2,16.9
1.770,-16.9,1.8,-0.2,16.9
1.780,-13.3,2.0,-1.4,13.5
1.790,-13.3,2.0,-1.4,13.5
1.800,-13.3,2.0,-1.4,13.5
1.810,-11.7,1.1,-1.5,11.9
1.820,-11.7,1.1,-1.5,11.9
1.830,-11.7,1.1,-1.5,11.9
1.840,-10.0,-1.5,-2.0,10.3
1.850,-10.0,-1.5,-2.0,10.3
1.860,-10.0,-1.5,-2.0,10.3
1.870,-10.0,-1.5,-2.0,10.3
1.880,-10.0,-1.5,-2.0,10.3
1.890,-6.5,-6.0,-5.4,10.4
1.900,-6.5,-6.0,-5.4,10.4
1.910,-6.5,-6.0,-5.4,10.4
1.920,-1.4,-1.8,-0.3,2.3
1.930,-1.4,-1.8,-0.3,2.3
1.940,-1.4,-1.8,-0.3,2.3
1.950,-1.4,-1.8,-0.3,2.3
1.960,-1.4,-1.8,-0.3,2.3
1.970,-0.5,-2.1,-1.2,2.4
1.980,-0.5,-2.1,-1.2,2.4
1.990,-0.5,-2.1,-1.2,2.4
2.000,-0.5,-2.1,-1.2,2.4
2.010,-1.5,-1.5,-0.8,2.3
2.020,-1.5,-1.5,-0.8,2.3
2.030,-1.5,-1.5,-0.8,2.3
2.040,-1.5,-1.5,-0.8,2.3
2.050,-6.7,4.8,-3.8,9.0
2.060,-6.7,4.8,-3.8,9.0
2.070,-6.7,4.8,-3.8,9.0
2.080,-6.7,4.8,-3.8,9.0
2.090,-28.9,9.2,-2.5,30.4
2.100,-28.9,9.2,-2.5,30.4
2.110,-28.9,9.2,-2.5,30.4
2.120,-28.9,9.2,-2.5,30.4
2.130,-12.6,-1.2,-1.6,12.8
2.140,-12.6,-1.2,-1.6,12.8
2.150,-12.6,-1.2,-1.6,12.8
2.160,-12.6,-1.2,-1.6,12.8
2.170,-12.6,-1.2,-1.6,12.8
2.180,-14.1,1.3,-2.8,14.4
2.190,-14.1,1.3,-2.8,14.4
2.200,-14.1,1.3,-2.8,14.4
2.210,-14.1,1.3,-2.8,14.4
2.220,-14.1,1.3,-2.8,14.4
2.230,-8.6,5.7,-1.7,10.4
2.240,-8.6,5.7,-1.7,10.4
2.250,-8.6,5.7,-1.7,10.4
2.260,-8.6,5.7,-1.7,10.4
2.270,-8.6,5.7,-1.7,10.4
2.280,-2.8,3.6,-0.2,4.5
2.290,-2.8,3.6,-0.2,4.5
2.300,-2.8,3.6,-0.2,4.5
2.310,-2.8,3.6,-0.2,4.5
2.320,-2.8,3.6,-0.2,4.5
2.330,0.7,0.5,-1.1,1.4
2.340,0.7,0.5,-1.1,1.4
2.350,0.7,0.5,-1.1,1.4
2.360,0.7,0.5,-1.1,1.4
2.370,0.7,0.5,-1.1,1.4
2.380,-0.2,-1.7,-2.0,2.7
2.390,-0.2,-1.7,-2.0,2.7
2.400,-0.2,-1.7,-2.0,2.7
2.410,-0.2,-1.7,-2.0,2.7
2.420,-0.2,-1.7,-2.0,2.7
2.430,-24.8,-9.8,-7.1,27.6
2.440,-24.8,-9.8,-7.1,27.6
2.450,-24.8,-9.8,-7.1,27.6
2.460,-24.8,-9.8,-7.1,27.6
2.470,-24.8,-9.8,-7.1,27.6
2.480,-14.8,3.8,1.7,15.4
2.490,-14.8,3.8,1.7,15.4
2.500,-14.8,3.8,1.7,15.4
2.510,-14.8,3.8,1.7,15.4
2.520,-14.8,3.8,1.7,15.4
2.530,-17.6,5.2,0.0,18.4
2.540,-17.6,5.2,0.0,18.4
2.550,-17.6,5.2,0.0,18.4
2.560,-17.6,5.2,0.0,18.4
2.570,-16.4,3.1,0.2,16.7
2.580,-16.4,3.1,0.2,16.7
2.590,-11.0,-0.9,-2.3,11.3
2.600,-11.0,-0.9,-2.3,11.3
2.610,-11.0,-0.9,-2.3,11.3
2.620,-11.0,-0.9,-2.3,11.3
2.630,-11.0,-0.9,-2.3,11.3
2.640,-5.8,-3.0,-2.3,6.9
2.650,-5.8,-3.0,-2.3,6.9
2.660,-5.8,-3.0,-2.3,6.9
2.670,-5.8,-3.0,-2.3,6.9
2.680,-5.8,-3.0,-2.3,6.9
