Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-10.1,0.4,-2.0,10.3
0.010,-9.6,0.8,-1.8,9.8
0.020,-9.6,0.8,-1.8,9.8
0.030,-9.6,0.8,-1.8,9.8
0.040,-9.6,0.8,-1.8,9.8
0.050,-9.6,0.8,-1.8,9.8
0.060,-9.7,1.1,-1.5,9.9
0.070,-9.7,1.1,-1.5,9.9
0.080,-9.7,1.1,-1.5,9.9
0.090,-9.7,1.1,-1.5,9.9
0.100,-9.8,1.0,-1.6,10.0
0.110,-9.8,1.0,-1.6,10.0
0.120,-9.8,1.0,-1.6,10.0
0.130,-9.8,1.0,-1.6,10.0
0.140,-9.8,1.0,-1.6,10.0
0.150,-9.5,0.5,-1.7,9.7
0.160,-9.5,0.5,-1.7,9.7
0.170,-9.5,0.5,-1.7,9.7
0.180,-9.5,0.5,-1.7,9.7
0.190,-9.5,0.5,-1.7,9.7
0.200,-9.3,0.5,-1.3,9.4
0.210,-9.3,0.5,-1.3,9.4
0.220,-9.3,0.5,-1.3,9.4
0.230,-9.3,0.5,-1.3,9.4
0.240,-9.3,0.5,-1.3,9.4
0.250,-9.0,0.5,-1.2,9.1
0.260,-8.8,1.4,-0.4,9.0
0.270,-8.8,1.4,-0.4,9.0
0.280,-8.8,1.4,-0.4,9.0
0.290,-8.8,1.4,-0.4,9.0
0.300,-8.8,1.4,-0.4,9.0
0.310,-12.0,1.6,-1.2,12.2
0.320,-12.0,1.6,-1.2,12.2
0.330,-12.0,1.6,-1.2,12.2
0.340,-12.0,1.6,-1.2,12.2
0.350,-12.0,1.6,-1.2,12.2
0.360,-9.3,1.0,0.0,9.4
0.370,-9.3,1.0,0.0,9.4
0.380,-9.3,1.0,0.0,9.4
0.390,-9.3,1.0,0.0,9.4
0.400,-9.3,1.0,0.0,9.4
0.410,-9.4,1.4,-0.2,9.5
0.420,-9.4,1.4,-0.2,9.5
0.430,-9.4,1.4,-0.2,9.5
0.440,-9.4,1.4,-0.2,9.5
0.450,-9.4,1.4,-0.2,9.5
0.460,-10.1,1.5,-0.3,10.2
0.470,-10.1,1.5,-0.3,10.2
0.480,-9.9,1.2,-0.5,10.0
0.490,-9.9,1.2,-0.5,10.0
0.500,-9.9,1.2,-0.5,10.0
0.510,-9.9,1.2,-0.5,10.0
0.520,-9.9,1.2,-0.5,10.0
0.530,-9.5,1.4,-0.2,9.6
0.540,-9.5,1.4,-0.2,9.6
0.550,-9.5,1.4,-0.2,9.6
0.560,-9.5,1.4,-0.2,9.6
0.570,-9.8,1.5,-0.2,9.9
0.580,-9.8,1.5,-0.2,9.9
0.590,-9.8,1.5,-0.2,9.9
0.600,-9.8,1.5,-0.2,9.9
0.610,-9.9,1.4,-0.2,10.0
0.620,-9.9,1.4,-0.2,10.0
0.630,-9.9,1.4,-0.2,10.0
0.640,-9.9,1.4,-0.2,10.0
0.650,-9.9,1.3,-0.1,10.0
0.660,-9.9,1.3,-0.1,10.0
0.670,-9.9,1.0,-0.4,9.9
0.680,-9.9,1.0,-0.4,9.9
0.690,-9.9,1.0,-0.4,9.9
0.700,-9.9,1.0,-0.4,9.9
0.710,-10.2,0.9,-0.6,10.2
0.720,-10.2,0.9,-0.6,10.2
0.730,-10.2,0.9,-0.6,10.2
0.740,-10.2,0.9,-0.6,10.2
0.750,-10.2,0.9,-0.6,10.2
0.760,-10.2,0.9,-0.9,10.3
0.770,-10.2,0.9,-0.9,10.3
0.780,-10.2,0.9,-0.9,10.3
0.790,-10.2,0.9,-0.9,10.3
0.800,-10.2,0.9,-0.9,10.3
0.810,-10.2,0.9,-1.8,10.4
0.820,-10.2,0.9,-1.8,10.4
0.830,-10.2,0.9,-1.8,10.4
0.840,-10.2,0.9,-1.8,10.4
0.850,-9.8,0.4,-2.1,10.0
0.860,-9.8,0.4,-2.1,10.0
0.870,-9.8,0.4,-2.1,10.0
0.880,-9.8,0.4,-2.1,10.0
0.890,-9.8,0.4,-2.1,10.0
0.900,-10.1,0.2,-1.6,10.3
0.910,-10.1,0.2,-1.6,10.3
0.920,-10.1,0.2,-1.6,10.3
0.930,-10.1,0.2,-1.6,10.3
0.940,-10.1,0.2,-1.6,10.3
0.950,-9.9,0.3,-1.9,10.1
0.960,-9.9,0.3,-1.9,10.1
0.970,-9.9,0.3,-1.9,10.1
0.980,-9.9,0.3,-1.9,10.1
0.990,-8.5,0.1,-1.3,8.6
1.000,-8.5,0.1,-1.3,8.6
1.010,-8.5,0.1,-1.3,8.6
1.020,-8.5,0.1,-1.3,8.6
1.030,-8.5,0.1,-1.3,8.6
1.040,-7.7,-0.5,-1.4,7.8
1.050,-7.7,-0.5,-1.4,7.8
1.060,-7.7,-0.5,-1.4,7.8
1.070,-7.7,-0.5,-1.4,7.8
1.080,-9.3,-0.6,-2.7,9.7
1.090,-9.3,-0.6,-2.7,9.7
1.100,-9.3,-0.6,-2.7,9.7
1.110,-9.3,-0.6,-2.7,9.7
1.120,-9.3,-0.6,-2.7,9.7
1.130,-10.6,0.6,-2.5,10.9
1.140,-10.6,0.6,-2.5,10.9
1.150,-10.6,0.6,-2.5,10.9
1.160,-10.6,0.6,-2.5,10.9
1.170,-10.6,0.6,-2.5,10.9
1.180,-8.5,0.6,-2.9,9.0
1.190,-8.5,0.6,-2.9,9.0
1.200,-8.5,0.6,-2.9,9.0
1.210,-8.5,0.6,-2.9,9.0
1.220,-8.4,-0.4,-4.1,9.4
1.230,-8.4,-0.4,-4.1,9.4
1.240,-8.4,-0.4,-4.1,9.4
1.250,-8.4,-0.4,-4.1,9.4
1.260,-8.4,-0.4,-4.1,9.4
1.270,-9.4,0.3,-3.5,10.1
1.280,-9.4,0.3,-3.5,10.1
1.290,-9.4,0.3,-3.5,10.1
1.300,-9.4,0.3,-3.5,10.1
1.310,-7.5,1.5,-4.5,8.8
1.320,-7.5,1.5,-4.5,8.8
1.330,-7.5,1.5,-4.5,8.8
1.340,-7.5,1.5,-4.5,8.8
1.350,-7.5,1.5,-4.5,8.8
1.360,-7.7,1.2,-5.3,9.5
1.370,-7.7,1.2,-5.3,9.5
1.380,-7.7,1.2,-5.3,9.5
1.390,-7.7,1.2,-5.3,9.5
1.400,-6.8,0.5,-4.9,8.4
1.410,-6.8,0.5,-4.9,8.4
1.420,-6.8,0.5,-4.9,8.4
1.430,-6.8,0.5,-4.9,8.4
1.440,-6.3,1.8,-5.1,8.3
1.450,-6.3,1.8,-5.1,8.3
1.460,-6.3,1.8,-5.1,8.3
1.470,-6.3,1.8,-5.1,8.3
1.480,-6.3,1.8,-5.1,8.3
1.490,-5.6,1.4,-4.8,7.6
1.500,-5.6,1.4,-4.8,7.6
1.510,-5.6,1.4,-4.8,7.6
1.520,-6.1,0.3,-5.8,8.4
1.530,-6.1,0.3,-5.8,8.4
1.540,-6.1,0.3,-5.8,8.4
1.550,-6.1,0.3,-5.8,8.4
1.560,-6.1,0.3,-5.8,8.4
1.570,-6.1,-0.2,-5.9,8.5
1.580,-6.1,-0.2,-5.9,8.5
1.590,-6.1,-0.2,-5.9,8.5
1.600,-6.1,-0.2,-5.9,8.5
1.610,-6.1,-0.2,-5.9,8.5
1.620,-7.0,-0.1,-6.9,9.8
1.630,-7.0,-0.1,-6.9,9.8
1.640,-7.0,-0.1,-6.9,9.8
1.650,-7.0,-0.1,-6.9,9.8
1.660,-6.0,-1.4,-6.1,8.7
1.670,-6.0,-1.4,-6.1,8.7
1.680,-6.0,-1.4,-6.1,8.7
1.690,-6.0,-1.4,-6.1,8.7
1.700,-6.0,-1.4,-6.1,8.7
1.710,-5.2,-1.1,-6.3,8.2
1.720,-5.2,-1.1,-6.3,8.2
1.730,-5.2,-1.1,-6.3,8.2
