Run 2,Run 2,Run 2,Run 2,Run 2
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0,-9.7,0.4,-0.1,9.7
0.01,-10.2,0.4,-0.4,10.2
0.02,-10.2,0.4,-0.4,10.2
0.03,-10.2,0.4,-0.4,10.2
0.04,-10.2,0.4,-0.4,10.2
0.05,-10.2,0.4,-0.4,10.2
0.06,-9.8,0.4,-0.2,9.8
0.07,-9.8,0.4,-0.2,9.8
0.08,-9.8,0.4,-0.2,9.8
0.09,-9.8,0.4,-0.2,9.8
0.1,-10.1,0.4,-0.4,10.2
0.11,-10.1,0.4,-0.4,10.2
0.12,-10.1,0.4,-0.4,10.2
0.13,-10.1,0.4,-0.4,10.2
0.14,-10.1,0.4,-0.4,10.2
0.15,-9.6,0.3,-0.1,9.6
0.16,-9.6,0.3,-0.1,9.6
0.17,-9.6,0.3,-0.1,9.6
0.18,-9.6,0.3,-0.1,9.6
0.19,-9.6,0.3,-0.1,9.6
0.2,-9.5,0.2,0,9.5
0.21,-9.5,0.2,0,9.5
0.22,-9.5,0.2,0,9.5
0.23,-9.5,0.2,0,9.5
0.24,-9,0.2,0.1,9
0.25,-9,0.2,0.1,9
0.26,-9,0.2,0.1,9
0.27,-9,0.2,0.1,9
0.28,-11.3,1.1,0.2,11.3
0.29,-11.3,1.1,0.2,11.3
0.3,-11.3,1.1,0.2,11.3
0.31,-11.3,1.1,0.2,11.3
0.32,-11.3,1.1,0.2,11.3
0.33,-11.3,1.1,0.2,11.3
0.34,-9.7,0.4,0.4,9.7
0.35,-9.7,0.4,0.4,9.7
0.36,-9.7,0.4,0.4,9.7
0.37,-9.7,0.4,0.4,9.7
0.38,-9.4,0.4,0.4,9.4
0.39,-9.4,0.4,0.4,9.4
0.4,-9.4,0.4,0.4,9.4
0.41,-10.1,0.9,0.3,10.1
0.42,-10.1,0.9,0.3,10.1
0.43,-10.1,0.9,0.3,10.1
0.44,-10.1,0.9,0.3,10.1
0.45,-10.1,0.9,0.3,10.1
0.46,-9.8,0.5,0.3,9.8
0.47,-9.8,0.5,0.3,9.8
0.48,-9.8,0.5,0.3,9.8
0.49,-9.8,0.5,0.3,9.8
0.5,-9.8,0.5,0.3,9.8
0.51,-9.7,0.7,0.4,9.8
0.52,-9.7,0.7,0.4,9.8
0.53,-9.7,0.7,0.4,9.8
0.54,-9.7,0.7,0.4,9.8
0.55,-9.7,0.7,0.4,9.8
0.56,-9.9,0.6,0.3,10
0.57,-9.9,0.6,0.3,10
0.58,-9.9,0.6,0.3,10
0.59,-9.9,0.6,0.3,10
0.6,-9.8,0.6,0.3,9.8
0.61,-9.8,0.6,0.3,9.8
0.62,-9.8,0.6,0.3,9.8
0.63,-9.8,0.6,0.3,9.8
0.64,-9.8,0.6,0.3,9.8
0.65,-9.9,0.4,0.2,9.9
0.66,-9.9,0.4,0.2,9.9
0.67,-9.9,0.4,0.2,9.9
0.68,-9.9,0.4,0.2,9.9
0.69,-9.9,0.4,0.2,9.9
0.7,-10,0.4,0.3,10
0.71,-10,0.4,0.3,10
0.72,-10,0.4,0.3,10
0.73,-10,0.4,0.3,10
0.74,-10,0.4,0.3,10
0.75,-10,0.5,0.2,10
0.76,-10,0.5,0.2,10
0.77,-10,0.5,0.2,10
0.78,-10,0.5,0.2,10
0.79,-10,0.5,0.2,10
0.8,-10,0.3,0,10
0.81,-10,0.3,0,10
0.82,-10,0.3,0,10
0.83,-10,0.3,0,10
0.84,-9.6,0.2,0.1,9.6
0.85,-9.6,0.2,0.1,9.6
0.86,-9.6,0.2,0.1,9.6
0.87,-9.6,0.2,0.1,9.6
0.88,-9.6,0.2,0.1,9.6
0.89,-9.5,0.1,0.1,9.5
0.9,-9.5,0.1,0.1,9.5
0.91,-9.5,0.1,0.1,9.5
0.92,-9.5,0.1,0.1,9.5
0.93,-9.5,0.1,0.1,9.5
0.94,-9.7,0.2,0.3,9.7
0.95,-9.7,0.2,0.3,9.7
0.96,-9.7,0.2,0.3,9.7
0.97,-9.7,0.2,0.3,9.7
0.98,-9.9,0.3,0.4,9.9
0.99,-9.9,0.3,0.4,9.9
1,-9.9,0.3,0.4,9.9
1.01,-10.4,0.5,0.3,10.4
1.02,-10.4,0.5,0.3,10.4
1.03,-10.4,0.5,0.3,10.4
1.04,-10.4,0.5,0.3,10.4
1.05,-10.3,0.4,0.1,10.3
1.06,-10.3,0.4,0.1,10.3
1.07,-10.3,0.4,0.1,10.3
1.08,-10.3,0.4,0.1,10.3
1.09,-10.3,0.4,0.1,10.3
1.1,-9.9,0.1,0,9.9
1.11,-9.9,0.1,0,9.9
1.12,-9.9,0.1,0,9.9
1.13,-9.9,0.1,0,9.9
1.14,-9.5,-0.4,0.1,9.5
1.15,-9.5,-0.4,0.1,9.5
1.16,-9.5,-0.4,0.1,9.5
1.17,-9.5,-0.4,0.1,9.5
1.18,-9.8,-1,0.5,9.9
1.19,-9.8,-1,0.5,9.9
1.2,-9.8,-1,0.5,9.9
1.21,-9.8,-1,0.5,9.9
1.22,-9.8,-1,0.5,9.9
1.23,-9.9,-1.1,0.9,10
1.24,-9.9,-1.1,0.9,10
1.25,-9.9,-1.1,0.9,10
1.26,-9.9,-1.1,0.9,10
1.27,-9.9,-1.1,0.9,10
1.28,-9.7,-0.9,0.9,9.8
1.29,-9.7,-0.9,0.9,9.8
1.3,-9.7,-0.9,0.9,9.8
1.31,-9.7,-0.9,0.9,9.8
1.32,-9.7,-0.9,0.9,9.8
1.33,-9.3,-0.7,0.5,9.4
1.34,-9.3,-0.7,0.5,9.4
1.35,-9.3,-0.7,0.5,9.4
1.36,-9.3,-0.7,0.5,9.4
1.37,-9.3,-0.7,0.5,9.4
1.38,-9.6,-0.6,0.2,9.6
1.39,-9.6,-0.6,0.2,9.6
1.4,-9.6,-0.6,0.2,9.6
1.41,-9.6,-0.6,0.2,9.6
1.42,-9.6,-0.6,0.2,9.6
1.43,-9.9,-0.1,0.2,9.9
1.44,-9.9,-0.1,0.2,9.9
1.45,-9.9,-0.1,0.2,9.9
1.46,-10.2,0.3,0.3,10.2
1.47,-10.2,0.3,0.3,10.2
1.48,-10.2,0.3,0.3,10.2
1.49,-10.6,1.1,0.1,10.6
1.5,-10.6,1.1,0.1,10.6
1.51,-10.6,1.1,0.1,10.6
1.52,-10.6,1.1,0.1,10.6
1.53,-10.7,1.3,-0.1,10.8
1.54,-10.7,1.3,-0.1,10.8
1.55,-10.7,1.3,-0.1,10.8
1.56,-10.7,1.3,-0.1,10.8
1.57,-10.7,1.3,-0.1,10.8
1.58,-10,0.9,-0.7,10
1.59,-10,0.9,-0.7,10
1.6,-10,0.9,-0.7,10
1.61,-10,0.9,-0.7,10
1.62,-10,0.9,-0.7,10
1.63,-10.1,0.6,-0.6,10.1
1.64,-10.1,0.6,-0.6,10.1
1.65,-10.1,0.6,-0.6,10.1
1.66,-10.1,0.6,-0.6,10.1
1.67,-10.1,0.6,-0.6,10.1
1.68,-10.4,1.6,0.3,10.5
1.69,-10.4,1.6,0.3,10.5
1.7,-10.4,1.6,0.3,10.5
1.71,-10.4,1.6,0.3,10.5
1.72,-10.3,1.8,0.5,10.5
1.73,-10.3,1.8,0.5,10.5
1.74,-9.3,2.2,0.6,9.6
1.75,-9.3,2.2,0.6,9.6
1.76,-9.3,2.2,0.6,9.6
1.77,-9.3,2.2,0.6,9.6
1.78,-10,3,0.7,10.4
1.79,-10,3,0.7,10.4
1.8,-10,3,0.7,10.4
1.81,-10,3,0.7,10.4
1.82,-10,3,0.7,10.4
1.83,-10.4,2.4,1.1,10.8
1.84,-10.4,2.4,1.1,10.8
1.85,-10.4,2.4,1.1,10.8
1.86,-10.4,2.4,1.1,10.8
1.87,-10.4,2.4,1.1,10.8
1.88,-9.3,1.3,0.9,9.4
1.89,-9.3,1.3,0.9,9.4
1.9,-9.3,1.3,0.9,9.4
1.91,-9.3,1.3,0.9,9.4
1.92,-9.3,1.3,0.9,9.4
1.93,-8.3,1.8,0.6,8.5
1.94,-8.3,1.8,0.6,8.5
1.95,-8.3,1.8,0.6,8.5
1.96,-8.3,1.8,0.6,8.5
1.97,-8.3,1.8,0.6,8.5
1.98,-9,3.3,0.5,9.6
1.99,-9,3.3,0.5,9.6
2,-9,3.3,0.5,9.6
2.01,-9,3.3,0.5,9.6
2.02,-9.3,2.3,0.2,9.6
2.03,-9.3,2.3,0.2,9.6
2.04,-9.3,2.3,0.2,9.6
2.05,-9.3,2.3,0.2,9.6
2.06,-9.3,2.3,0.2,9.6
2.07,-9.6,2.3,0.1,9.9
2.08,-9.6,2.3,0.1,9.9
2.09,-9.6,2.3,0.1,9.9
2.1,-9.6,2.3,0.1,9.9
2.11,-9.6,2.3,0.1,9.9
2.12,-9.1,3.2,0.2,9.6
2.13,-9.1,3.2,0.2,9.6
2.14,-9.1,3.2,0.2,9.6
2.15,-9.1,3.2,0.2,9.6
2.16,-9.1,3.2,0.2,9.6
2.17,-8.9,3.2,0.1,9.4
2.18,-8.9,3.2,0.1,9.4
2.19,-8.9,3.2,0.1,9.4
2.2,-8.9,3.2,0.1,9.4
2.21,-9.1,2.8,0.1,9.6
2.22,-9.1,2.8,0.1,9.6
2.23,-9.1,2.8,0.1,9.6
2.24,-9.1,2.8,0.1,9.6
2.25,-9.5,2.2,0,9.8
2.26,-9.5,2.2,0,9.8
2.27,-9.5,2.2,0,9.8
2.28,-9.5,2.2,0,9.8
2.29,-9.5,2.2,0,9.8
2.3,-11,1,0.2,11
2.31,-11,1,0.2,11
2.32,-11,1,0.2,11
2.33,-11,1,0.2,11
2.34,-11,1,0.2,11
2.35,-12,0.7,0.2,12
2.36,-12,0.7,0.2,12
2.37,-12,0.7,0.2,12
2.38,-11.8,0.8,0.8,11.8
2.39,-11.8,0.8,0.8,11.8
2.4,-11.8,0.8,0.8,11.8
2.41,-11.8,0.8,0.8,11.8
2.42,-11.8,0.8,0.8,11.8
2.43,-7.1,1.8,0.2,7.3
2.44,-7.1,1.8,0.2,7.3
2.45,-7.1,1.8,0.2,7.3
2.46,-7.1,1.8,0.2,7.3
2.47,-7.1,1.8,0.2,7.3
2.48,-9.6,0.1,0.3,9.6
2.49,-9.6,0.1,0.3,9.6
2.5,-9.6,0.1,0.3,9.6
2.51,-9.6,0.1,0.3,9.6
2.52,-9.6,0.1,0.3,9.6
2.53,-10.9,0.1,1.4,10.9
2.54,-10.9,0.1,1.4,10.9
2.55,-10.9,0.1,1.4,10.9
2.56,-10.9,0.1,1.4,10.9
2.57,-10.9,0.1,1.4,10.9
2.58,-9.4,0.2,1.7,9.5
2.59,-9.4,0.2,1.7,9.5
2.6,-9.4,0.2,1.7,9.5
2.61,-9.4,0.2,1.7,9.5
2.62,-9.4,0.2,1.7,9.5
2.63,-10.2,0.4,0.8,10.2
2.64,-10.2,0.4,0.8,10.2
2.65,-10.2,0.4,0.8,10.2
2.66,-10.2,0.4,0.8,10.2
2.67,-10.2,0.4,0.8,10.2
2.68,-9.8,0.6,1,9.9
2.69,-9.8,0.6,1,9.9
2.7,-9.8,0.6,1,9.9
2.71,-9.8,0.6,1,9.9
2.72,-9.6,0.3,1.3,9.7
2.73,-9.6,0.3,1.3,9.7
2.74,-9.6,0.3,1.3,9.7
2.75,-9.6,0.3,1.3,9.7
2.76,-10,0.2,0.8,10.1
2.77,-10,0.2,0.8,10.1
2.78,-10,0.2,0.8,10.1
2.79,-10,0.2,0.8,10.1
2.8,-10,0.2,0.8,10.1
2.81,-9.8,0.1,0.5,9.8
2.82,-9.8,0.1,0.5,9.8
2.83,-9.8,0.1,0.5,9.8
2.84,-9.8,0.1,0.5,9.8
2.85,-9.8,0.1,0.5,9.8
2.86,-9.4,0.8,0.7,9.4
2.87,-9.4,0.8,0.7,9.4
2.88,-9.4,0.8,0.7,9.4
2.89,-9.4,0.8,0.7,9.4
2.9,-9.4,0.8,0.7,9.4
2.91,-9.4,0.5,0.6,9.4
2.92,-9.4,0.5,0.6,9.4
2.93,-9.4,0.5,0.6,9.4
2.94,-9.8,0.6,0.6,9.8
2.95,-9.8,0.6,0.6,9.8
2.96,-9.8,0.6,0.6,9.8
2.97,-9.8,0.6,0.6,9.8
2.98,-9.8,0.6,0.6,9.8
2.99,-10.2,1.2,0.5,10.3
3,-10.2,1.2,0.5,10.3
3.01,-10.2,1.2,0.5,10.3
3.02,-10.2,1.2,0.5,10.3
3.03,-10.2,1,0.6,10.3
3.04,-10.2,1,0.6,10.3
3.05,-10.2,1,0.6,10.3
3.06,-10.5,-0.5,0.2,10.5
3.07,-10.5,-0.5,0.2,10.5
3.08,-10.5,-0.5,0.2,10.5
3.09,-10.5,-0.5,0.2,10.5
3.1,-10.5,-0.5,0.2,10.5
3.11,-9.9,-0.2,0.7,10
3.12,-9.9,-0.2,0.7,10
3.13,-9.9,-0.2,0.7,10
3.14,-9.9,-0.2,0.7,10
3.15,-9.9,-0.2,0.7,10
3.16,-9.5,-0.2,1.3,9.6
3.17,-9.5,-0.2,1.3,9.6
3.18,-9.5,-0.2,1.3,9.6
3.19,-9.5,-0.2,1.3,9.6
3.2,-9.5,-0.2,1.3,9.6
3.21,-10.2,-0.2,1.4,10.3
3.22,-10.2,-0.2,1.4,10.3
3.23,-10.2,-0.2,1.4,10.3
3.24,-9.9,-0.3,1.4,10
3.25,-9.9,-0.3,1.4,10
3.26,-9.9,-0.3,1.4,10
3.27,-9.9,-0.3,1.4,10
3.28,-9.9,-0.3,1.4,10
3.29,-9.1,0.3,1.3,9.2
3.3,-9.1,0.3,1.3,9.2
3.31,-9.1,0.3,1.3,9.2
3.32,-9.1,0.3,1.3,9.2
3.33,-9.1,0.3,1.3,9.2
3.34,-9.1,0.5,1.2,9.2
3.35,-9.1,0.5,1.2,9.2
3.36,-9.1,0.5,1.2,9.2
3.37,-10.2,1.5,0.3,10.3
3.38,-10.2,1.5,0.3,10.3
3.39,-10.2,1.5,0.3,10.3
3.4,-10.2,1.5,0.3,10.3
3.41,-10.2,1.5,0.3,10.3
3.42,-11,2.1,0.3,11.2
3.43,-11,2.1,0.3,11.2
3.44,-11,2.1,0.3,11.2
3.45,-11,2.1,0.3,11.2
3.46,-11.1,2.3,0,11.4
3.47,-11.1,2.3,0,11.4
3.48,-10.8,2.7,0.1,11.1
3.49,-10.8,2.7,0.1,11.1
3.5,-10.8,2.7,0.1,11.1
3.51,-10.8,2.7,0.1,11.1
3.52,-10.8,2.7,0.1,11.1
3.53,-9.1,0.2,1.5,9.2
3.54,-9.1,0.2,1.5,9.2
3.55,-9.1,0.2,1.5,9.2
3.56,-9.1,0.2,1.5,9.2
3.57,-9.1,0.2,1.5,9.2
3.58,-8.4,0.3,0,8.4
3.59,-8.4,0.3,0,8.4
3.6,-8.4,0.3,0,8.4
3.61,-8.4,0.3,0,8.4
3.62,-10.9,1.7,0,11.1
3.63,-10.9,1.7,0,11.1
3.64,-10.9,1.7,0,11.1
3.65,-10.9,1.7,0,11.1
3.66,-10.9,1.7,0,11.1
3.67,-10.8,1.6,-0.3,10.9
3.68,-10.8,1.6,-0.3,10.9
3.69,-10.8,1.6,-0.3,10.9
3.7,-10.8,1.6,-0.3,10.9
3.71,-9.3,1.5,0.1,9.4
3.72,-9.3,1.5,0.1,9.4
3.73,-9.3,1.5,0.1,9.4
3.74,-9.3,1.5,0.1,9.4
3.75,-9.1,1.8,0.1,9.3
3.76,-9.1,1.8,0.1,9.3
3.77,-9.1,1.8,0.1,9.3
3.78,-9.1,1.8,0.1,9.3
3.79,-9.1,1.8,0.1,9.3
3.8,-9.5,2.4,0.1,9.8
3.81,-9.5,2.4,0.1,9.8
3.82,-9.5,2.4,0.1,9.8
3.83,-9.5,2.4,0.1,9.8
3.84,-9.5,2.4,0.1,9.8
3.85,-9.2,1.9,0.4,9.4
3.86,-9.2,1.9,0.4,9.4
3.87,-9.2,1.9,0.4,9.4
3.88,-9.2,1.9,0.4,9.4
3.89,-8.9,1.3,0.2,9
3.9,-8.9,1.3,0.2,9
3.91,-8.9,1.3,0.2,9
3.92,-8.9,1.3,0.2,9
3.93,-8.9,1.3,0.2,9
3.94,-10.2,1.2,0.3,10.2
3.95,-10.2,1.2,0.3,10.2
3.96,-10.2,1.2,0.3,10.2
3.97,-10.2,1.2,0.3,10.2
3.98,-10.2,1.2,0.3,10.2
3.99,-11.4,1,0.2,11.4
4,-11.4,1,0.2,11.4
4.01,-11.4,1,0.2,11.4
4.02,-11.4,1,0.2,11.4
4.03,-11.4,1,0.2,11.4
4.04,-10.2,0.8,0.2,10.2
4.05,-10.2,0.8,0.2,10.2
4.06,-10.2,0.8,0.2,10.2
4.07,-10.2,0.8,0.2,10.2
4.08,-10.2,0.8,0.2,10.2
4.09,-9.6,1.5,0.1,9.7
4.1,-9.6,1.5,0.1,9.7
4.11,-9.6,1.5,0.1,9.7
4.12,-9.6,1.5,0.1,9.7
4.13,-9.5,2.6,0.5,9.9
4.14,-9.5,2.6,0.5,9.9
4.15,-9.5,2.6,0.5,9.9
4.16,-9.5,2.6,0.5,9.9
4.17,-9.5,2.6,0.5,9.9
4.18,-8.7,4,0.6,9.6
4.19,-8.7,4,0.6,9.6
4.2,-8.7,4,0.6,9.6
4.21,-8.7,4,0.6,9.6
4.22,-8.7,4,0.6,9.6
4.23,-9,3.4,0.2,9.6
4.24,-9,3.4,0.2,9.6
4.25,-9,3.4,0.2,9.6
4.26,-9,3.4,0.2,9.6
4.27,-9.2,3.3,0.2,9.8
4.28,-9.2,3.3,0.2,9.8
4.29,-9.2,3.3,0.2,9.8
4.3,-9.2,3.3,0.2,9.8
4.31,-9.2,3.3,0.2,9.8
4.32,-10,2.3,1,10.3
4.33,-10,2.3,1,10.3
4.34,-10,2.3,1,10.3
4.35,-10,2.3,1,10.3
4.36,-10,2.3,1,10.3
4.37,-11.7,0.6,0.5,11.7
4.38,-11.7,0.6,0.5,11.7
4.39,-11.7,0.6,0.5,11.7
4.4,-11.7,0.6,0.5,11.7
4.41,-10.5,0.2,3.00E-04,10.5
4.42,-10.5,0.2,3.00E-04,10.5
4.43,-10.5,0.2,3.00E-04,10.5
4.44,-10.5,0.2,3.00E-04,10.5
4.45,-10.5,0.2,3.00E-04,10.5
4.46,-8.3,1.7,-0.2,8.4
4.47,-8.3,1.7,-0.2,8.4
4.48,-8.3,1.7,-0.2,8.4
4.49,-8.3,1.7,-0.2,8.4
4.5,-8.9,1.3,0.1,9
4.51,-8.9,1.3,0.1,9
4.52,-8.9,1.3,0.1,9
4.53,-8.9,1.3,0.1,9
4.54,-8.9,1.3,0.1,9
4.55,-10.2,1.1,0.5,10.3
4.56,-10.2,1.1,0.5,10.3
4.57,-10.2,1.1,0.5,10.3
4.58,-10.2,1.1,0.5,10.3
4.59,-10,1.7,1.1,10.2
4.6,-10,1.7,1.1,10.2
4.61,-10,1.7,1.1,10.2
4.62,-10,1.7,1.1,10.2
4.63,-10,1.7,1.1,10.2
4.64,-9.6,1.3,1.2,9.8
4.65,-9.6,1.3,1.2,9.8
4.66,-9.6,1.3,1.2,9.8
4.67,-9.5,1,0.2,9.6
4.68,-9.5,1,0.2,9.6
4.69,-9.5,1,0.2,9.6
4.7,-9.5,1,0.2,9.6
4.71,-9.8,1.3,0,9.9
4.72,-9.8,1.3,0,9.9
4.73,-9.8,1.3,0,9.9
4.74,-9.8,1.3,0,9.9
4.75,-9.8,1.3,0,9.9
4.76,-9.6,1.2,0.3,9.7
