Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-9.9,0.0,-1.8,10.1
0.010,-9.6,0.0,-2.0,9.8
0.020,-9.6,0.0,-2.0,9.8
0.030,-9.6,0.0,-2.0,9.8
0.040,-9.6,0.0,-2.0,9.8
0.050,-9.7,-0.1,-2.1,10.0
0.060,-9.7,-0.1,-2.1,10.0
0.070,-9.7,-0.1,-2.1,10.0
0.080,-9.7,-0.1,-2.1,10.0
0.090,-9.7,-0.1,-2.1,10.0
0.100,-9.7,-0.3,-2.0,9.9
0.110,-9.7,-0.3,-2.0,9.9
0.120,-9.7,0.0,-2.0,10.0
0.130,-9.7,0.0,-2.0,10.0
0.140,-9.7,0.0,-2.0,10.0
0.150,-9.7,0.0,-2.0,10.0
0.160,-9.7,0.0,-2.0,10.0
0.170,-9.7,-0.1,-2.1,9.9
0.180,-9.7,-0.1,-2.1,9.9
0.190,-9.7,-0.1,-2.1,9.9
0.200,-9.7,-0.1,-2.1,9.9
0.210,-9.7,-0.1,-2.1,9.9
0.220,-9.7,-0.2,-2.2,9.9
0.230,-9.7,-0.2,-2.2,9.9
0.240,-9.7,-0.2,-2.2,9.9
0.250,-9.7,-0.4,-1.9,9.9
0.260,-9.7,-0.4,-1.9,9.9
0.270,-9.7,-0.4,-1.9,9.9
0.280,-9.7,-0.4,-1.9,9.9
0.290,-9.7,-0.4,-1.9,9.9
0.300,-9.5,-0.6,-1.8,9.7
0.310,-9.5,-0.6,-1.8,9.7
0.320,-10.0,0.6,-2.2,10.2
0.330,-10.0,0.6,-2.2,10.2
0.340,-10.0,0.6,-2.2,10.2
0.350,-10.0,0.6,-2.2,10.2
0.360,-10.0,0.6,-2.2,10.2
0.370,-10.2,0.8,-2.2,10.4
0.380,-10.2,0.8,-2.2,10.4
0.390,-9.5,-0.1,-1.7,9.7
0.400,-9.5,-0.1,-1.7,9.7
0.410,-9.5,-0.1,-1.7,9.7
0.420,-9.5,-0.1,-1.7,9.7
0.430,-9.8,0.1,-1.9,10.0
0.440,-9.8,0.1,-1.9,10.0
0.450,-9.8,0.1,-1.9,10.0
0.460,-9.8,0.1,-1.9,10.0
0.470,-9.8,0.1,-1.9,10.0
0.480,-9.8,0.1,-2.0,10.0
0.490,-9.8,0.1,-2.0,10.0
0.500,-9.8,0.1,-2.0,10.0
0.510,-9.8,0.1,-2.0,10.0
0.520,-9.8,0.1,-2.0,10.0
0.530,-9.8,0.0,-1.9,9.9
0.540,-9.8,0.0,-1.9,9.9
0.550,-9.8,0.0,-1.9,9.9
0.560,-9.8,0.0,-1.9,9.9
0.570,-9.8,0.0,-1.9,9.9
0.580,-9.9,-0.1,-1.9,10.1
0.590,-9.9,-0.1,-1.9,10.1
0.600,-9.9,-0.1,-1.9,10.1
0.610,-9.9,-0.1,-1.9,10.1
0.620,-9.9,-0.1,-1.9,10.1
0.630,-9.9,-0.4,-1.9,10.0
0.640,-9.9,-0.4,-1.9,10.0
0.650,-9.9,-0.4,-1.9,10.0
0.660,-9.9,-0.4,-1.9,10.0
0.670,-9.8,-0.6,-1.9,10.0
0.680,-9.8,-0.6,-1.9,10.0
0.690,-9.8,-0.6,-1.9,10.0
0.700,-9.7,-0.7,-1.9,9.9
0.710,-9.7,-0.7,-1.9,9.9
0.720,-9.7,-0.7,-1.9,9.9
0.730,-9.7,-0.7,-1.9,9.9
0.740,-9.7,-0.7,-1.9,9.9
0.750,-9.6,-1.0,-2.0,9.8
0.760,-9.6,-1.0,-2.0,9.8
0.770,-9.6,-1.0,-2.0,9.8
0.780,-9.6,-1.0,-2.0,9.8
0.790,-9.2,-1.2,-2.0,9.5
0.800,-9.2,-1.2,-2.0,9.5
0.810,-9.2,-1.2,-2.0,9.5
0.820,-9.2,-1.2,-2.0,9.5
0.830,-9.2,-1.2,-2.0,9.5
0.840,-9.8,-1.2,-2.0,10.1
0.850,-9.8,-1.2,-2.0,10.1
0.860,-9.8,-1.2,-2.0,10.1
0.870,-9.8,-1.2,-2.0,10.1
0.880,-9.9,-0.7,-2.0,10.2
0.890,-9.9,-0.7,-2.0,10.2
0.900,-9.9,-0.7,-2.0,10.2
0.910,-9.9,-0.7,-2.0,10.2
0.920,-9.9,-0.7,-2.0,10.2
0.930,-8.9,-0.3,-1.6,9.0
0.940,-8.9,-0.3,-1.6,9.0
0.950,-8.9,-0.3,-1.6,9.0
0.960,-8.9,-0.3,-1.6,9.0
0.970,-9.4,0.9,-1.8,9.6
0.980,-9.4,0.9,-1.8,9.6
0.990,-9.4,0.9,-1.8,9.6
1.000,-9.4,0.9,-1.8,9.6
1.010,-9.4,0.9,-1.8,9.6
1.020,-10.1,1.9,-2.3,10.5
1.030,-10.1,1.9,-2.3,10.5
1.040,-10.1,1.9,-2.3,10.5
1.050,-10.1,1.9,-2.3,10.5
1.060,-10.9,2.2,-2.3,11.4
1.070,-10.9,2.2,-2.3,11.4
1.080,-10.9,2.2,-2.3,11.4
1.090,-10.9,2.2,-2.3,11.4
1.100,-10.9,2.2,-2.3,11.4
1.110,-10.2,1.6,-1.4,10.4
1.120,-10.2,1.6,-1.4,10.4
1.130,-10.2,1.6,-1.4,10.4
1.140,-10.0,1.7,-1.5,10.2
1.150,-10.0,1.7,-1.5,10.2
1.160,-10.0,1.7,-1.5,10.2
1.170,-10.0,1.7,-1.5,10.2
1.180,-9.5,2.6,-2.6,10.2
1.190,-9.5,2.6,-2.6,10.2
1.200,-9.5,2.6,-2.6,10.2
1.210,-9.5,2.6,-2.6,10.2
1.220,-9.5,2.6,-2.6,10.2
1.230,-8.8,2.6,-2.8,9.6
1.240,-7.1,1.9,-4.1,8.4
1.250,-7.1,1.9,-4.1,8.4
1.260,-7.1,1.9,-4.1,8.4
1.270,-7.1,1.9,-4.1,8.4
1.280,-7.1,1.9,-4.1,8.4
1.290,-7.5,0.4,-4.3,8.7
1.300,-7.5,0.4,-4.3,8.7
1.310,-7.5,0.4,-4.3,8.7
1.320,-7.5,0.4,-4.3,8.7
1.330,-7.5,0.4,-4.3,8.7
1.340,-7.6,-1.9,-1.1,7.9
1.350,-7.6,-1.9,-1.1,7.9
1.360,-7.6,-1.9,-1.1,7.9
1.370,-7.6,-1.9,-1.1,7.9
1.380,-7.6,-1.9,-1.1,7.9
1.390,-8.6,-3.0,-1.3,9.2
1.400,-10.1,-1.0,-2.1,10.4
1.410,-10.1,-1.0,-2.1,10.4
1.420,-10.1,-1.0,-2.1,10.4
1.430,-10.1,-1.0,-2.1,10.4
1.440,-10.1,-1.0,-2.1,10.4
1.450,-8.3,-0.1,-2.3,8.6
1.460,-8.3,-0.1,-2.3,8.6
1.470,-8.3,-0.1,-2.3,8.6
1.480,-8.3,-0.1,-2.3,8.6
1.490,-8.3,-0.1,-2.3,8.6
1.500,-7.6,-0.6,-2.9,8.1
1.510,-7.6,-0.6,-2.9,8.1
1.520,-7.6,-0.6,-2.9,8.1
1.530,-7.6,-0.6,-2.9,8.1
1.540,-7.6,-0.6,-2.9,8.1
1.550,-7.6,-0.3,-3.2,8.2
1.560,-7.6,-0.3,-3.2,8.2
1.570,-7.6,-0.3,-3.2,8.2
1.580,-6.3,0.8,-3.8,7.4
1.590,-6.3,0.8,-3.8,7.4
1.600,-6.3,0.8,-3.8,7.4
1.610,-6.3,0.8,-3.8,7.4
1.620,-6.3,0.8,-3.6,7.2
1.630,-6.3,0.8,-3.6,7.2
1.640,-6.3,0.8,-3.6,7.2
1.650,-7.9,1.9,-4.1,9.1
1.660,-7.9,1.9,-4.1,9.1
1.670,-7.9,1.9,-4.1,9.1
1.680,-7.9,1.9,-4.1,9.1
1.690,-7.9,1.9,-4.1,9.1
1.700,-7.2,1.5,-4.0,8.4
1.710,-7.2,1.5,-4.0,8.4
