Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0.000,-1.3,9.4,1.5,9.6
0.010,-1.3,9.5,1.6,9.7
0.020,-1.3,9.5,1.6,9.7
0.030,-1.3,9.5,1.6,9.7
0.040,-1.2,9.6,1.6,9.8
0.050,-1.2,9.6,1.6,9.8
0.060,-1.2,9.6,1.6,9.8
0.070,-1.2,9.6,1.6,9.8
0.080,-1.2,9.6,1.6,9.8
0.090,-1.3,9.6,1.6,9.8
0.100,-1.3,9.6,1.6,9.8
0.110,-1.3,9.6,1.6,9.8
0.120,-1.3,9.6,1.6,9.8
0.130,-1.1,9.3,1.7,9.5
0.140,-1.1,9.3,1.7,9.5
0.150,-1.1,9.3,1.7,9.5
0.160,-1.1,9.3,1.7,9.5
0.170,-1.1,9.3,1.7,9.5
0.180,-1.4,9.5,1.6,9.8
0.190,-1.4,9.5,1.6,9.8
0.200,-1.4,9.5,1.6,9.8
0.210,-1.4,9.5,1.6,9.8
0.220,-1.3,9.5,1.5,9.7
0.230,-1.3,9.5,1.5,9.7
0.240,-1.3,9.5,1.5,9.7
0.250,-1.3,9.5,1.5,9.7
0.260,-1.6,9.5,1.5,9.8
0.270,-1.6,9.5,1.5,9.8
0.280,-1.6,9.5,1.5,9.8
0.290,-1.6,9.5,1.5,9.8
0.300,-1.6,9.1,1.7,9.4
0.310,-1.6,9.1,1.7,9.4
0.320,-1.6,9.1,1.7,9.4
0.330,-1.6,9.1,1.7,9.4
0.340,-1.6,9.1,1.7,9.4
0.350,-1.4,8.5,1.3,8.7
0.360,-1.4,8.5,1.3,8.7
0.370,-1.4,8.5,1.3,8.7
0.380,-1.4,8.5,1.3,8.7
0.390,-1.4,8.5,1.3,8.7
0.400,-1.1,9.7,-0.1,9.8
0.410,-1.1,9.7,-0.1,9.8
0.420,-1.1,9.7,-0.1,9.8
0.430,-1.1,9.7,-0.1,9.8
0.440,-1.5,9.5,1.4,9.7
0.450,-1.5,9.5,1.4,9.7
0.460,-1.5,9.5,1.4,9.7
0.470,-1.5,9.5,1.4,9.7
0.480,-1.5,9.5,1.4,9.7
0.490,-1.4,9.5,1.7,9.8
0.500,-1.4,9.5,1.7,9.8
0.510,-1.4,9.5,1.7,9.8
0.520,-1.4,9.5,1.7,9.8
0.530,-1.4,9.5,1.7,9.8
0.540,-1.5,9.6,1.7,9.9
0.550,-1.5,9.6,1.7,9.9
0.560,-1.6,9.5,1.7,9.7
0.570,-1.6,9.5,1.7,9.7
0.580,-1.6,9.5,1.7,9.7
0.590,-1.6,9.5,1.7,9.7
0.600,-1.5,9.5,1.7,9.8
0.610,-1.5,9.5,1.7,9.8
0.620,-1.5,9.5,1.7,9.8
0.630,-1.5,9.5,1.7,9.8
0.640,-1.5,9.5,1.7,9.8
0.650,-1.6,9.5,1.7,9.8
0.660,-1.6,9.5,1.7,9.8
0.670,-1.6,9.5,1.7,9.8
0.680,-1.6,9.5,1.7,9.8
0.690,-1.6,9.5,1.7,9.8
0.700,-1.5,9.5,1.7,9.8
0.710,-1.5,9.5,1.7,9.8
0.720,-1.5,9.5,1.7,9.8
0.730,-1.5,9.5,1.7,9.8
0.740,-1.5,9.5,1.7,9.8
0.750,-1.5,9.5,1.6,9.7
0.760,-1.5,9.5,1.6,9.7
0.770,-1.5,9.5,1.6,9.7
0.780,-1.5,9.5,1.6,9.7
0.790,-1.5,9.5,1.6,9.7
0.800,-1.3,9.3,1.6,9.6
0.810,-1.3,9.3,1.6,9.6
0.820,-1.3,9.3,1.6,9.6
0.830,-1.3,9.3,1.6,9.6
0.840,-1.8,9.9,1.6,10.2
0.850,-1.8,9.9,1.6,10.2
